App,Package,Start Time,Duration,Filename
"CellMate",edu.berkeley.cs.sdb.cellmate,"Dec 4, 2017 @ 03:22:20 PM","1 min 58 sec",""

Time  [ms],"Mobile Data State",Time  [ms],"CPU1 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"Battery Status",Time  [ms],"Bluetooth State",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",
1,0,0,13,2,3,1,9,3,8,5,7,4,118,7,243457,7,4,9,5,10,8,9,1,11,0,10,5,11,550000,11,23,11,691200,11,691200,12,691200,12,691200,12,1804800,12,1804800,12,1804800,12,1804800,
17,0,49,20,18,3,50,20,51,16,53,20,52,118,55,2706946,55,80,56,50,57,60,19,1,58,0,58,80,58,550000,59,23,59,1401600,59,1401600,59,1401600,59,1401600,59,1804800,60,1804800,60,1804800,60,1804800,
49,0,149,22,50,3,150,22,150,10,152,10,151,118,153,4435470,153,70,154,70,156,44,56,1,157,0,157,70,157,550000,158,23,158,1305600,158,1305600,159,1305600,159,1305600,159,1804800,160,1804800,160,1804800,160,1804800,
149,0,248,18,150,3,249,16,250,0,251,0,250,118,252,3946085,252,45,252,45,253,36,155,1,254,0,254,41,254,550000,254,23,255,691200,255,691200,255,691200,255,691200,255,1804800,255,1804800,255,1804800,255,1804800,
248,0,349,0,249,3,350,0,350,0,352,0,351,118,353,3007399,353,25,355,36,355,27,253,1,356,0,356,0,356,550000,357,23,357,691200,357,691200,357,691200,357,691200,357,1804800,357,1804800,358,1804800,358,1804800,
349,0,449,0,350,3,450,0,451,0,453,0,451,118,456,2537087,456,33,457,36,458,36,355,1,459,0,458,30,459,550000,459,47,459,691200,460,691200,460,691200,460,691200,461,1804800,461,1804800,461,1804800,461,1804800,
449,0,551,50,450,3,554,36,556,36,559,36,557,118,561,5022299,561,70,562,90,563,70,457,1,564,0,564,63,564,550000,565,47,565,691200,565,691200,565,691200,566,691200,566,1804800,566,1804800,566,1804800,566,1804800,
552,0,651,50,554,3,653,28,655,25,659,45,655,118,661,6210432,661,80,662,90,663,50,562,1,664,0,663,77,664,550000,664,47,664,1401600,664,1401600,664,1401600,665,1401600,665,1804800,665,1804800,665,1804800,665,1804800,
651,0,750,33,653,3,752,45,753,0,755,36,754,118,756,6363378,756,60,758,70,759,63,662,1,760,0,760,54,760,550000,761,47,761,1017600,761,1017600,761,1017600,761,1017600,761,1804800,761,1804800,762,1804800,762,1804800,
751,0,851,11,752,3,852,0,853,10,854,10,853,118,855,5418451,855,50,856,58,857,37,758,1,858,0,858,45,858,550000,859,47,859,1190400,859,1190400,859,1190400,860,1190400,860,1804800,860,1804800,860,1804800,860,1804800,
