App,Package,Start Time,Duration,Filename
"CellMate",edu.berkeley.cs.sdb.cellmate,"Dec 4, 2017 @ 03:43:03 PM","1 min 17 sec",""

Time  [ms],"Mobile Data State",Time  [ms],"CPU1 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"Battery Status",Time  [ms],"Bluetooth State",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",
0,0,0,23,2,3,2,12,4,11,7,3,5,118,7,2250265,7,0,8,0,10,4,8,0,12,0,11,0,12,266666,13,27,13,1305600,14,1305600,14,1305600,15,1305600,15,0,16,0,16,883200,17,883200,
77,0,102,44,77,3,104,36,105,20,106,40,106,118,108,1499428,107,0,109,0,111,20,78,0,115,0,115,27,116,550000,117,27,117,691200,117,691200,118,691200,118,691200,118,0,118,0,118,1612800,118,1612800,
102,0,201,20,105,3,202,20,203,27,205,9,203,118,205,2406345,205,0,205,0,206,60,109,0,207,0,207,50,207,550000,207,27,208,691200,208,691200,208,691200,208,691200,208,0,209,0,209,1612800,209,1612800,
201,0,302,0,202,3,303,0,304,0,305,0,304,118,306,2735081,306,0,306,0,307,40,205,0,308,0,308,27,308,550000,309,27,309,691200,309,691200,309,691200,310,691200,310,0,310,0,310,1113600,310,1113600,
302,0,408,20,303,3,410,25,411,11,416,16,412,118,419,2318259,418,0,419,0,421,66,306,0,425,0,423,72,426,550000,426,30,426,1190400,426,1190400,427,1190400,427,1401600,427,0,427,0,428,1804800,428,1804800,
408,0,505,30,410,3,505,0,506,33,507,0,506,118,507,3644068,507,0,507,0,508,80,419,0,509,0,509,62,509,550000,510,30,511,691200,511,1305600,511,1305600,512,1305600,512,0,512,0,513,1113600,514,1113600,
505,0,605,18,505,3,606,20,607,0,608,0,607,118,608,2813017,608,0,609,0,609,60,507,0,611,0,610,33,611,550000,612,30,612,691200,612,691200,612,691200,612,691200,613,0,613,0,613,1113600,613,1113600,
605,0,706,22,606,3,707,27,709,11,710,0,709,118,711,2585963,711,0,712,0,714,40,609,0,716,0,716,50,717,550000,719,30,719,1401600,720,1401600,720,1401600,721,1401600,721,0,722,0,722,883200,722,883200,
706,0,808,63,707,3,809,42,812,37,815,40,813,118,816,3437766,815,0,816,0,818,0,712,0,820,0,819,0,820,480000,821,30,822,1401600,822,1401600,823,1401600,824,1401600,825,0,825,0,826,883200,826,883200,
808,0,947,85,810,3,950,76,954,83,960,83,955,118,961,3666389,960,0,961,0,963,46,816,0,968,0,968,28,968,300000,969,30,969,1401600,969,1401600,969,1401600,969,1401600,970,0,970,0,970,1804800,970,1804800,
947,0,1046,70,950,3,1048,57,1051,66,1059,66,1052,118,1060,3149593,1060,0,1061,0,1063,55,961,0,1065,0,1065,44,1066,266666,1067,30,1068,1401600,1069,1401600,1070,1401600,1071,1401600,1072,0,1073,0,1073,1804800,1073,1804800,
1047,0,1153,75,1049,3,1156,70,1158,72,1161,77,1159,118,1162,3477381,1162,0,1162,0,1164,63,1061,0,1166,0,1166,54,1167,266666,1170,30,1171,1401600,1171,1401600,1172,1401600,1173,1401600,1173,0,1174,0,1174,1382400,1175,1382400,
1153,0,1251,72,1156,3,1253,87,1254,80,1256,72,1255,118,1257,3356747,1257,0,1257,0,1259,33,1163,0,1260,0,1260,60,1261,266666,1261,30,1262,1401600,1262,1401600,1262,1401600,1263,1401600,1264,0,1264,0,1265,1804800,1265,1804800,
1251,0,1353,55,1253,3,1355,44,1356,54,1358,72,1357,118,1359,3005886,1358,0,1359,0,1360,60,1257,0,1362,0,1362,27,1362,266666,1363,30,1364,1401600,1364,1401600,1364,1401600,1365,1401600,1365,0,1365,0,1366,1382400,1366,1382400,
1354,0,1454,63,1355,3,1455,50,1457,66,1463,63,1457,118,1464,2763713,1464,0,1466,0,1467,81,1359,0,1469,0,1469,27,1469,266666,1470,40,1470,1401600,1471,1401600,1471,1401600,1471,1401600,1472,0,1472,0,1473,1382400,1473,1382400,
1454,0,1556,77,1456,3,1560,66,1562,71,1565,66,1563,118,1565,3299295,1565,0,1565,0,1567,22,1466,0,1568,0,1568,0,1569,266666,1569,40,1570,1401600,1570,1401600,1570,1401600,1570,1401600,1570,0,1571,0,1571,883200,1571,883200,
1557,0,1655,72,1560,3,1657,60,1658,72,1660,57,1659,118,1661,2611435,1661,0,1661,0,1663,66,1566,0,1665,0,1665,11,1665,266666,1666,40,1666,1401600,1667,1401600,1667,1401600,1668,1401600,1668,0,1669,0,1669,1056000,1669,1056000,
1655,0,1757,69,1657,3,1759,77,1761,80,1763,70,1761,118,1764,3052765,1764,0,1764,0,1766,60,1662,0,1768,0,1768,33,1769,266666,1770,40,1771,1401600,1772,1401600,1772,1401600,1772,1401600,1773,0,1773,0,1773,1382400,1773,1382400,
1757,0,1857,60,1759,3,1859,63,1861,80,1863,72,1861,118,1864,3180703,1863,0,1864,0,1866,55,1765,0,1867,0,1867,20,1867,266666,1868,40,1868,1401600,1868,1401600,1869,1401600,1869,1401600,1869,0,1869,0,1870,1804800,1870,1804800,
