App,Package,Start Time,Duration,Filename
"CellMate",edu.berkeley.cs.sdb.cellmate,"Dec 4, 2017 @ 02:56:24 PM","54 sec",""

Time  [ms],"Mobile Data State",Time  [ms],"CPU1 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"Battery Status",Time  [ms],"Bluetooth State",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",
0,0,0,34,2,3,2,15,5,16,8,7,5,118,11,1186321,11,3,13,0,14,0,13,0,14,0,14,0,14,266666,15,33,15,1401600,15,1401600,16,1401600,16,1401600,16,883200,16,883200,17,0,17,0,
81,0,101,50,81,3,103,54,105,33,109,30,106,118,114,1939759,114,30,117,30,117,0,82,0,118,0,118,0,119,550000,121,33,122,691200,122,691200,123,1305600,123,1305600,123,1382400,124,1382400,124,0,124,0,
102,0,201,25,103,3,202,22,203,11,204,11,203,118,205,2947492,205,50,206,70,207,0,117,0,207,0,207,0,207,550000,208,33,208,1190400,208,1190400,208,1190400,208,1190400,209,1804800,209,1804800,209,0,209,0,
201,0,301,0,202,3,304,0,306,0,307,0,306,118,309,3011080,308,11,310,38,310,0,207,0,310,0,310,0,311,550000,311,33,311,691200,311,691200,312,691200,312,691200,312,1113600,312,1113600,313,0,313,0,
302,0,402,22,305,3,405,10,408,10,410,18,408,118,412,2840219,412,72,415,90,416,0,310,0,416,0,416,0,417,550000,418,33,418,1305600,418,1305600,418,1401600,418,1401600,418,1113600,419,1113600,419,0,419,0,
403,0,502,55,406,3,505,22,506,12,508,20,506,118,509,3542820,509,72,511,70,511,0,415,0,511,0,511,0,511,550000,512,45,512,691200,512,691200,512,691200,513,691200,513,1113600,513,1113600,513,0,513,0,
503,0,603,18,505,3,604,0,606,9,608,0,606,118,609,3509258,609,40,611,50,611,0,511,0,611,0,611,0,612,550000,612,45,612,691200,612,691200,613,691200,613,691200,613,1113600,613,1113600,613,0,614,0,
603,0,705,20,605,3,709,18,713,0,717,0,714,118,721,3419107,720,33,723,36,725,0,611,0,726,0,726,0,727,550000,728,45,729,1305600,729,1305600,729,1305600,730,1305600,730,883200,730,883200,730,0,731,0,
705,0,809,75,710,3,812,50,815,66,820,66,816,118,822,4508187,822,9,825,0,825,0,724,0,826,0,826,0,826,432000,828,45,828,1401600,828,1401600,828,1401600,829,1401600,829,883200,829,883200,829,0,829,0,
809,0,944,78,813,3,945,73,947,69,950,64,948,118,952,3839967,952,23,953,0,954,0,825,0,955,0,955,0,955,300000,956,45,957,1401600,957,1401600,957,1401600,958,1401600,958,883200,958,883200,958,0,959,0,
