App,Package,Start Time,Duration,Filename
"RTAB-Map",com.introlab.rtabmap,"Dec 4, 2017 @ 03:52:46 PM","2 min 48 sec",""

Time  [ms],"Mobile Data State",Time  [ms],"CPU1 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"Battery Status",Time  [ms],"Bluetooth State",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",
0,0,0,15,2,3,2,11,3,9,8,8,4,118,10,243457,9,0,10,0,12,11,10,1,15,0,15,5,15,266666,16,76,16,1305600,16,1305600,17,1305600,17,1305600,17,0,17,0,18,883200,18,883200,
81,0,100,44,82,3,101,46,102,40,103,22,102,118,104,2493106,103,5,105,6,106,40,82,1,108,0,107,30,108,550000,109,76,110,1305600,110,1305600,110,1401600,110,1401600,110,1804800,111,1804800,111,1804800,111,1804800,
100,0,200,10,101,3,201,9,201,10,202,9,202,118,203,6275619,203,50,204,40,205,41,105,1,207,0,206,33,207,550000,207,76,208,1305600,208,1305600,208,1305600,208,1305600,208,1804800,209,1804800,209,1804800,209,1804800,
200,0,300,0,201,3,301,0,302,0,303,0,302,118,304,6317250,304,40,305,36,307,33,205,1,308,0,308,22,308,550000,309,76,309,691200,309,691200,309,691200,309,691200,309,1804800,310,1804800,310,1804800,310,1804800,
300,0,400,10,301,3,401,0,402,0,404,0,402,118,406,5866861,406,12,407,22,409,22,305,1,410,0,410,36,410,550000,410,76,411,691200,411,691200,411,691200,411,691200,411,1804800,411,1804800,411,1804800,411,1804800,
400,0,501,0,401,3,502,0,503,0,504,0,503,118,506,5939156,506,33,507,36,509,12,408,1,510,0,509,30,510,550000,510,76,510,691200,510,691200,510,691200,511,691200,511,1804800,511,1804800,511,1804800,511,1804800,
501,0,601,11,502,3,602,0,603,0,604,0,603,118,604,5638308,604,0,605,33,606,25,507,1,607,0,607,0,607,550000,608,48,608,691200,608,691200,608,691200,608,691200,608,1804800,608,1804800,609,1804800,609,1804800,
601,0,701,20,602,3,702,0,703,0,704,0,704,118,705,4006294,705,27,706,30,707,36,605,1,708,0,708,27,708,550000,709,48,709,691200,709,691200,709,691200,709,691200,710,1804800,710,1804800,710,1804800,710,1804800,
702,0,802,20,702,3,803,10,804,0,805,0,804,118,806,4561082,806,50,807,44,810,61,706,1,812,0,812,33,812,550000,813,0,813,691200,813,691200,813,691200,813,691200,814,1804800,814,1804800,814,1804800,814,1804800,
802,0,902,42,803,3,904,37,905,45,906,25,905,118,909,2578331,908,83,911,83,912,75,807,1,913,0,913,77,913,550000,914,0,914,1401600,914,1401600,915,1401600,915,1401600,916,1804800,916,1804800,917,1804800,917,1804800,
903,0,1003,60,904,3,1005,55,1008,44,1011,54,1009,118,1014,4460672,1014,83,1016,80,1017,87,911,1,1018,0,1018,80,1019,550000,1019,0,1019,1401600,1019,1401600,1019,1401600,1020,1401600,1020,1804800,1020,1804800,1020,1804800,1020,1804800,
1003,0,1103,42,1006,3,1104,33,1105,12,1107,25,1106,118,1109,3860726,1109,72,1111,60,1114,60,1016,1,1116,0,1116,60,1116,550000,1117,0,1118,1401600,1118,1401600,1119,1401600,1119,1401600,1119,1804800,1119,1804800,1119,1804800,1120,1804800,
1103,0,1203,44,1104,3,1204,25,1205,30,1208,22,1206,118,1209,3186485,1209,60,1211,60,1212,60,1111,1,1214,0,1213,50,1214,550000,1214,0,1214,1190400,1214,1190400,1215,1190400,1215,1190400,1215,1804800,1215,1804800,1215,1804800,1215,1804800,
