App,Package,Start Time,Duration,Filename
"CellMate",edu.berkeley.cs.sdb.cellmate,"Dec 8, 2017 @ 04:15:29 PM","1 min 15 sec",""

Time  [ms],"Mobile Data State",Time  [ms],"CPU1 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"Battery Status",Time  [ms],"Bluetooth State",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",
0,0,0,8,2,3,1,5,3,4,5,3,4,10,6,589964,6,0,8,2,9,0,9,0,11,0,11,0,12,266666,12,24,13,1305600,13,1305600,13,1305600,13,1305600,13,0,14,883200,14,0,14,883200,
69,0,99,41,70,3,100,40,101,11,102,10,101,10,103,1012090,103,21,103,33,104,50,70,0,105,0,105,37,105,550000,106,24,106,1401600,107,1401600,107,1401600,107,1401600,108,1804800,109,1804800,109,1804800,109,1804800,
99,0,200,10,100,3,201,10,202,9,203,9,202,10,203,3167216,203,37,204,37,205,50,104,0,206,0,206,72,206,550000,207,24,207,691200,207,691200,208,691200,208,691200,208,1804800,208,1804800,208,1804800,209,1804800,
200,0,301,0,201,3,302,0,303,0,304,0,303,10,305,3417558,305,50,306,30,307,55,204,0,308,0,308,12,309,550000,309,39,309,691200,309,691200,309,691200,310,691200,310,1804800,310,1804800,310,1804800,310,1804800,
301,0,400,0,302,3,401,0,402,0,403,0,402,10,404,3487632,404,20,405,20,406,22,306,0,407,0,407,0,407,550000,408,39,408,691200,408,691200,408,691200,408,691200,408,1804800,409,1804800,409,1804800,409,1804800,
400,0,501,0,401,3,502,0,503,0,504,0,503,10,505,2998876,505,22,506,0,507,20,405,0,508,0,508,33,508,550000,508,0,509,691200,509,691200,509,691200,509,691200,509,1804800,509,1804800,509,1804800,510,1804800,
501,0,601,0,502,3,602,10,603,0,604,0,603,10,605,1082619,605,60,606,60,607,44,506,0,611,0,611,55,612,550000,614,0,614,691200,614,691200,614,691200,614,691200,614,1804800,615,1804800,615,1804800,615,1804800,
601,0,701,20,602,3,702,20,703,20,703,20,703,10,704,2107374,704,50,705,40,705,40,606,0,706,0,706,30,707,550000,707,0,707,691200,708,691200,708,691200,708,1305600,709,1804800,709,1804800,709,1804800,710,1804800,
701,0,801,22,702,3,802,27,803,18,804,18,803,10,805,1634004,804,40,805,54,806,60,705,0,807,0,807,40,807,550000,808,0,808,1305600,809,1305600,809,691200,809,691200,809,1804800,810,1804800,810,1804800,810,1804800,
802,0,902,20,802,3,903,27,903,10,904,11,903,10,905,2140664,905,44,905,40,906,40,805,0,907,0,907,45,908,550000,908,0,909,691200,909,691200,909,691200,909,691200,910,1804800,912,1804800,912,1804800,913,1804800,
902,0,1003,25,903,3,1003,12,1004,27,1005,20,1004,10,1006,1875576,1006,58,1006,70,1008,81,905,0,1009,0,1009,66,1009,550000,1010,0,1010,1305600,1010,1305600,1010,1305600,1011,1305600,1011,1804800,1011,1804800,1013,1804800,1014,1804800,
1003,0,1103,50,1004,3,1104,45,1105,45,1106,40,1105,10,1106,3568902,1106,63,1107,70,1109,69,1007,0,1110,0,1110,72,1111,550000,1112,0,1113,1305600,1114,1305600,1114,691200,1114,806400,1114,1804800,1115,1804800,1115,1804800,1115,1804800,
1103,0,1203,27,1104,3,1204,18,1205,10,1206,10,1205,10,1207,2594205,1207,37,1208,40,1209,37,1107,0,1216,0,1215,45,1216,550000,1217,0,1217,691200,1218,691200,1218,691200,1218,691200,1219,1804800,1219,1804800,1219,1804800,1219,1804800,
1204,0,1304,0,1204,3,1305,11,1305,10,1306,0,1306,10,1307,1685508,1307,54,1307,50,1309,50,1208,0,1311,0,1310,55,1311,550000,1313,0,1313,691200,1314,691200,1314,691200,1315,691200,1317,1804800,1317,1804800,1317,1804800,1318,1804800,
1304,0,1404,11,1305,3,1405,11,1406,10,1407,0,1406,10,1408,1818085,1407,33,1408,44,1410,40,1308,0,1411,0,1411,45,1411,550000,1412,0,1413,1401600,1414,1190400,1415,1305600,1416,1190400,1417,1804800,1417,1804800,1418,1804800,1418,1804800,
1404,0,1504,20,1405,3,1505,0,1506,11,1507,0,1507,10,1509,1851006,1509,50,1511,50,1512,77,1409,0,1513,0,1513,45,1514,550000,1514,0,1514,691200,1515,691200,1515,691200,1515,691200,1515,1804800,1515,1804800,1516,1804800,1516,1804800,
1505,0,1605,33,1506,3,1605,36,1606,11,1607,0,1606,10,1608,2347141,1608,63,1608,60,1610,70,1511,0,1612,0,1611,66,1612,550000,1612,24,1613,1305600,1613,1305600,1614,1305600,1614,1305600,1615,1804800,1615,1804800,1615,1804800,1615,1804800,
1605,0,1705,0,1606,3,1706,11,1707,0,1708,0,1707,10,1708,3863917,1708,55,1710,33,1711,50,1609,0,1712,0,1712,27,1712,550000,1713,24,1713,691200,1714,1401600,1715,1401600,1716,806400,1717,1804800,1717,1804800,1717,1804800,1718,1804800,
1705,0,1805,36,1706,3,1806,33,1807,33,1808,38,1807,10,1809,3604644,1809,58,1810,63,1811,69,1710,0,1812,0,1812,66,1813,550000,1813,24,1813,1401600,1814,1017600,1814,1401600,1814,1401600,1814,1804800,1815,1804800,1816,1804800,1816,1804800,
1805,0,1906,11,1806,3,1907,0,1907,0,1908,0,1907,10,1909,3843553,1909,50,1911,40,1912,60,1810,0,1913,0,1913,28,1915,550000,1916,24,1916,1382400,1916,1382400,1916,1382400,1917,1382400,1917,1804800,1917,1804800,1918,1804800,1918,1804800,
1906,0,2006,12,1907,3,2007,0,2008,10,2009,11,2008,10,2010,3363126,2010,54,2011,60,2012,90,1911,0,2013,0,2013,60,2013,550000,2014,24,2015,1401600,2015,1401600,2015,1401600,2015,1401600,2015,1804800,2015,1804800,2015,1804800,2016,1804800,
2006,0,2107,40,2007,3,2108,30,2109,40,2109,30,2109,10,2110,4547825,2110,30,2111,22,2111,30,2011,0,2112,0,2112,60,2112,480000,2112,24,2113,1401600,2113,1401600,2113,1401600,2113,1401600,2113,1804800,2113,1804800,2113,1804800,2113,1804800,
2107,0,2208,50,2108,3,2209,44,2210,44,2211,44,2210,10,2212,3616042,2212,33,2213,0,2213,30,2111,0,2214,0,2214,0,2214,432000,2214,24,2214,1382400,2215,1382400,2215,1382400,2215,1382400,2215,1113600,2215,0,2216,1113600,2216,0,
2208,0,2309,60,2209,3,2311,50,2313,50,2316,63,2314,10,2318,2512094,2318,20,2318,0,2322,45,2213,0,2323,0,2323,0,2324,300000,2324,24,2325,1401600,2325,1401600,2325,1401600,2325,1401600,2326,1382400,2326,0,2326,1382400,2326,0,
2309,0,2409,55,2311,3,2411,44,2413,45,2415,58,2413,10,2418,2086612,2418,9,2419,0,2420,50,2319,0,2420,0,2420,0,2421,266666,2421,24,2421,1401600,2422,1401600,2422,1401600,2422,1401600,2422,1382400,2423,0,2423,1382400,2423,0,
2409,0,2510,66,2411,3,2512,55,2515,50,2523,64,2520,10,2524,2170980,2524,0,2525,0,2527,77,2419,0,2528,0,2528,0,2528,266666,2529,24,2529,1305600,2530,1305600,2530,1305600,2530,1305600,2530,1804800,2531,0,2531,1804800,2531,0,
2510,0,2612,60,2513,3,2621,72,2622,90,2624,66,2623,10,2626,3120529,2626,44,2626,0,2628,63,2525,0,2629,0,2629,0,2629,266666,2630,31,2630,1401600,2631,1401600,2631,1401600,2631,1401600,2632,1382400,2632,0,2632,1382400,2633,0,
2615,0,2712,55,2621,3,2715,57,2718,42,2720,37,2718,10,2721,2463790,2721,60,2722,0,2723,18,2626,0,2723,0,2723,0,2724,266666,2724,31,2725,1401600,2725,1401600,2725,1401600,2725,1401600,2726,1382400,2726,0,2726,1382400,2726,0,
2713,0,2813,54,2715,3,2815,37,2817,37,2820,37,2817,10,2823,1982714,2822,50,2823,0,2824,18,2722,0,2825,0,2825,0,2825,266666,2826,31,2826,1305600,2827,1305600,2827,1305600,2827,1305600,2827,1056000,2828,0,2828,1056000,2828,0,
2813,0,2913,50,2815,3,2915,55,2918,44,2920,40,2919,10,2922,1921505,2922,66,2923,0,2924,20,2823,0,2925,0,2924,0,2925,266666,2925,31,2926,1401600,2926,1401600,2926,1401600,2927,1401600,2927,1190400,2927,0,2928,1190400,2928,0,
2914,0,3015,44,2915,3,3020,54,3022,63,3025,55,3023,10,3027,2328280,3026,75,3028,0,3030,0,2923,0,3031,0,3030,0,3031,266666,3032,31,3033,1401600,3033,1401600,3035,1401600,3036,1401600,3036,1612800,3036,0,3037,1612800,3038,0,
3015,0,3115,81,3020,3,3115,72,3116,70,3117,70,3116,10,3119,2902568,3118,72,3119,0,3120,37,3028,0,3120,0,3120,0,3120,266666,3121,31,3121,1401600,3121,1401600,3121,1401600,3122,1401600,3122,883200,3122,0,3122,883200,3122,0,
3115,0,3216,66,3116,3,3219,66,3221,69,3223,69,3222,10,3225,2350692,3225,10,3225,0,3227,63,3119,0,3227,0,3227,0,3227,266666,3228,31,3228,1401600,3229,1401600,3229,1401600,3229,1401600,3229,1190400,3229,0,3230,1190400,3230,0,
3217,0,3318,61,3220,3,3320,60,3322,44,3323,33,3322,10,3325,2071885,3325,0,3326,0,3328,50,3225,0,3329,0,3328,0,3329,266666,3330,31,3330,1305600,3330,1305600,3331,1305600,3331,1305600,3331,940800,3332,0,3332,940800,3333,0,
3318,0,3419,58,3320,3,3421,37,3422,30,3423,44,3422,10,3424,1652825,3424,0,3424,0,3425,75,3326,0,3426,0,3426,0,3426,266666,3426,31,3426,1401600,3427,1401600,3427,1401600,3427,1401600,3427,1113600,3427,0,3428,1113600,3428,0,
3419,0,3520,50,3421,3,3523,40,3525,50,3527,40,3525,10,3529,2020930,3528,9,3529,0,3530,75,3424,0,3531,0,3531,0,3531,266666,3532,31,3532,1401600,3533,1401600,3533,1401600,3533,1401600,3533,1056000,3534,0,3534,1056000,3534,0,
3521,0,3622,66,3523,3,3623,62,3624,70,3625,55,3624,10,3625,2398639,3625,0,3626,0,3626,77,3529,0,3627,0,3627,0,3627,266666,3627,38,3627,1305600,3627,1305600,3628,1305600,3628,1305600,3628,1612800,3628,0,3628,1612800,3628,0,
3622,0,3724,60,3623,3,3725,57,3727,55,3729,71,3727,10,3730,3177223,3730,75,3731,0,3732,50,3626,0,3733,0,3733,0,3733,266666,3734,38,3734,1401600,3734,1401600,3735,1401600,3735,1401600,3736,1804800,3736,0,3736,1804800,3737,0,
3724,0,3824,50,3725,3,3825,50,3827,50,3828,50,3827,10,3830,3027330,3830,70,3830,0,3832,0,3731,0,3833,0,3832,0,3833,266666,3833,38,3834,1401600,3834,1401600,3834,1401600,3834,1401600,3835,1056000,3835,0,3836,1056000,3836,0,
3824,0,3926,55,3825,3,3927,44,3928,54,3929,37,3928,10,3930,1997714,3930,36,3930,0,3931,40,3830,0,3931,0,3931,0,3932,266666,3932,38,3932,1401600,3932,1401600,3932,1401600,3933,1401600,3933,1190400,3933,0,3933,1190400,3933,0,
3926,0,4044,41,3927,3,4046,36,4051,27,4054,25,4052,10,4057,1792767,4056,25,4057,0,4059,73,3930,0,4059,0,4059,0,4060,266666,4060,38,4061,1401600,4061,1401600,4061,1401600,4061,1401600,4061,1612800,4062,0,4062,1612800,4062,0,
4044,0,4129,77,4046,3,4131,66,4133,71,4136,62,4134,10,4139,3217457,4139,37,4140,0,4142,75,4057,0,4142,0,4142,0,4143,266666,4143,38,4143,1401600,4143,1401600,4144,1401600,4144,1401600,4144,1804800,4144,0,4145,1804800,4145,0,
4130,0,4229,44,4131,3,4231,28,4233,37,4235,55,4233,10,4238,2598100,4237,22,4239,0,4241,60,4140,0,4241,0,4241,0,4242,266666,4242,38,4242,1401600,4243,1401600,4243,1401600,4243,1401600,4244,1382400,4244,0,4244,1382400,4244,0,
4229,0,4330,60,4231,3,4332,25,4333,50,4335,44,4334,10,4339,2501534,4338,60,4339,0,4341,0,4239,0,4341,0,4341,0,4341,266666,4342,38,4342,1401600,4343,1401600,4343,1401600,4343,1401600,4343,1612800,4343,0,4344,1612800,4344,0,
4330,0,4431,54,4332,3,4433,54,4435,66,4437,50,4435,10,4440,2530375,4440,61,4440,0,4442,0,4339,0,4443,0,4443,0,4443,266666,4444,38,4444,1401600,4444,1401600,4444,1401600,4445,1401600,4445,1248000,4445,0,4445,1248000,4446,0,
4431,0,4531,71,4433,3,4533,50,4535,58,4537,61,4536,10,4539,2326539,4539,33,4540,0,4541,27,4441,0,4542,0,4542,0,4542,266666,4543,38,4543,1401600,4544,1401600,4544,1401600,4544,1401600,4544,1382400,4545,0,4545,1382400,4545,0,
4532,0,4633,44,4534,3,4634,50,4636,66,4640,55,4637,10,4642,2583063,4642,70,4642,0,4644,50,4540,0,4645,0,4645,0,4645,266666,4645,38,4646,1401600,4646,1401600,4646,1401600,4646,1401600,4646,1804800,4647,0,4647,1804800,4647,0,
4633,0,4734,44,4635,3,4735,37,4738,50,4740,33,4738,10,4742,2810201,4742,70,4742,0,4744,9,4643,0,4744,0,4744,0,4745,266666,4745,38,4745,1401600,4746,1401600,4746,1401600,4746,1401600,4746,1113600,4746,0,4747,1113600,4747,0,
4734,0,4834,44,4736,3,4836,44,4838,54,4841,44,4839,10,4843,2135118,4842,63,4843,0,4844,0,4743,0,4845,0,4844,0,4845,266666,4845,38,4846,1401600,4846,1401600,4846,1401600,4846,1401600,4847,1113600,4847,0,4847,1113600,4847,0,
4834,0,4935,50,4836,3,4937,40,4938,54,4940,44,4939,10,4942,2055868,4942,50,4942,0,4944,0,4843,0,4944,0,4944,0,4945,266666,4945,38,4945,1401600,4946,1401600,4946,1401600,4946,1401600,4947,883200,4947,0,4947,883200,4948,0,
4935,0,5036,40,4937,3,5038,53,5040,55,5042,40,5040,10,5043,2079128,5043,80,5044,0,5045,0,4943,0,5045,0,5045,0,5046,266666,5046,38,5047,1401600,5047,1401600,5047,1401600,5048,1401600,5048,1382400,5048,0,5049,1382400,5049,0,
5036,0,5136,72,5038,3,5139,72,5141,70,5144,63,5142,10,5145,2650433,5145,45,5146,0,5147,81,5044,0,5148,0,5147,0,5148,266666,5149,38,5149,1401600,5150,1401600,5150,1401600,5150,1401600,5153,1804800,5154,0,5154,1804800,5155,0,
5137,0,5237,58,5140,3,5240,50,5242,50,5244,63,5243,10,5246,2794338,5246,0,5246,0,5248,54,5146,0,5249,0,5249,0,5249,266666,5250,38,5250,1401600,5251,1401600,5251,1401600,5252,1401600,5252,940800,5253,0,5254,940800,5256,0,
5238,0,5337,50,5240,3,5338,55,5340,30,5341,50,5340,10,5342,2033853,5342,10,5342,0,5343,60,5247,0,5344,0,5344,0,5344,266666,5344,38,5344,1401600,5345,1401600,5345,1401600,5345,1401600,5345,1056000,5345,0,5345,1056000,5346,0,
5337,0,5441,44,5339,3,5443,37,5444,33,5446,54,5445,10,5448,2185422,5448,60,5448,0,5450,20,5342,0,5451,0,5451,0,5451,266666,5452,38,5453,1401600,5453,1401600,5454,1401600,5454,1401600,5456,883200,5457,0,5458,883200,5458,0,
5441,0,5540,60,5443,3,5542,40,5544,55,5547,44,5545,10,5549,2180092,5548,72,5549,0,5551,0,5448,0,5552,0,5552,0,5553,266666,5555,38,5556,1305600,5556,1305600,5557,1305600,5558,1305600,5559,1612800,5559,0,5560,1612800,5561,0,
5540,0,5641,70,5543,3,5643,70,5646,70,5648,77,5646,10,5650,2841788,5650,77,5651,0,5655,12,5550,0,5656,0,5655,0,5656,266666,5656,38,5657,1401600,5657,1401600,5657,1401600,5658,1401600,5658,1804800,5658,0,5658,1804800,5658,0,
5641,0,5741,54,5643,3,5744,50,5745,45,5747,37,5746,10,5749,2048376,5748,11,5749,0,5751,36,5651,0,5752,0,5752,0,5752,266666,5754,38,5755,1401600,5755,1401600,5756,1401600,5756,1401600,5757,1804800,5757,0,5758,883200,5758,0,
5742,0,5842,58,5744,3,5844,69,5846,50,5848,45,5846,10,5850,2655237,5850,54,5851,0,5855,10,5749,0,5856,0,5856,0,5856,266666,5857,38,5858,1401600,5858,1401600,5858,1401600,5858,1401600,5859,883200,5859,0,5859,883200,5859,0,
5842,0,5943,63,5844,3,5945,63,5946,50,5948,50,5947,10,5950,2262162,5950,54,5951,0,5953,50,5851,0,5954,0,5953,0,5954,266666,5956,38,5956,1401600,5957,1401600,5957,1401600,5958,1401600,5958,1612800,5958,0,5959,1612800,5959,0,
5943,0,6044,44,5945,3,6046,44,6047,33,6049,50,6047,10,6051,2431734,6051,40,6051,0,6054,20,5951,0,6056,0,6055,0,6056,266666,6057,38,6057,1401600,6058,1401600,6058,1401600,6058,1401600,6059,1382400,6059,0,6059,1382400,6060,0,
6044,0,6145,55,6046,3,6147,58,6154,40,6158,50,6155,10,6160,2528374,6160,80,6161,0,6164,41,6052,0,6165,0,6165,0,6166,266666,6166,38,6167,1401600,6167,1401600,6168,1401600,6168,1401600,6168,1804800,6168,0,6169,1804800,6169,0,
6145,0,6245,72,6148,3,6247,66,6249,44,6251,42,6249,10,6253,2747880,6253,33,6253,0,6256,22,6162,0,6257,0,6257,0,6257,266666,6258,38,6259,1401600,6259,1401600,6260,1401600,6260,1401600,6260,1804800,6261,0,6261,1804800,6261,0,
6246,0,6346,50,6247,3,6347,60,6349,30,6351,33,6349,10,6353,2145183,6353,20,6354,0,6357,30,6254,0,6358,0,6357,0,6358,266666,6359,38,6359,1401600,6360,1401600,6360,1401600,6360,1401600,6360,1190400,6361,0,6361,1190400,6361,0,
6346,0,6446,50,6348,3,6448,66,6450,50,6452,50,6450,10,6454,2248201,6454,20,6455,0,6458,66,6354,0,6458,0,6458,0,6459,266666,6459,38,6460,1401600,6460,1401600,6460,1401600,6460,1401600,6461,1382400,6461,0,6461,1382400,6461,0,
6446,0,6548,55,6448,3,6549,63,6551,54,6554,54,6552,10,6556,2531495,6556,11,6557,0,6559,27,6455,0,6559,0,6559,0,6559,266666,6560,38,6560,1305600,6560,1305600,6561,1305600,6561,1305600,6561,1382400,6561,0,6562,1382400,6562,0,
6548,0,6648,53,6550,3,6650,45,6652,55,6659,57,6655,10,6661,2590382,6661,100,6661,0,6663,18,6557,0,6664,0,6664,0,6664,266666,6665,36,6665,1401600,6665,1401600,6665,1401600,6666,1401600,6666,1804800,6666,0,6666,1804800,6667,0,
6648,0,6749,55,6650,3,6751,45,6753,50,6756,40,6754,10,6759,2238865,6759,27,6759,0,6761,50,6661,0,6761,0,6761,0,6761,266666,6762,36,6762,1401600,6762,1401600,6762,1401600,6763,1401600,6763,1804800,6763,0,6763,1804800,6763,0,
6749,0,6849,54,6751,3,6851,45,6853,50,6860,37,6853,10,6862,2260849,6862,0,6862,0,6864,63,6759,0,6865,0,6864,0,6865,266666,6866,36,6866,1401600,6866,1401600,6866,1401600,6867,1401600,6867,998400,6867,0,6867,998400,6867,0,
6849,0,6950,50,6851,3,6954,63,6961,50,6963,33,6962,10,6965,2219666,6965,40,6966,0,6968,22,6863,0,6968,0,6968,0,6969,266666,6969,36,6970,1190400,6970,1190400,6970,1190400,6971,1190400,6971,1382400,6971,0,6972,1382400,6972,0,
6950,0,7051,60,6956,3,7053,55,7055,54,7061,50,7055,10,7063,2078753,7063,44,7064,0,7066,10,6966,0,7067,0,7066,0,7067,266666,7068,36,7068,1382400,7069,1382400,7069,1382400,7069,1382400,7069,1612800,7069,0,7070,1612800,7070,0,
7051,0,7152,55,7053,3,7154,50,7157,50,7163,69,7160,10,7166,2455839,7166,50,7167,0,7169,50,7064,0,7169,0,7169,0,7169,266666,7170,36,7171,1401600,7171,1401600,7171,1401600,7171,1401600,7172,1804800,7172,0,7172,1804800,7173,0,
7152,0,7253,69,7154,3,7255,63,7257,55,7259,58,7258,10,7264,2893353,7263,30,7265,0,7267,60,7167,0,7268,0,7267,0,7268,266666,7269,36,7269,1401600,7269,1401600,7269,1401600,7270,1401600,7270,1804800,7270,0,7270,1804800,7270,0,
7253,0,7364,55,7255,3,7366,45,7369,45,7370,44,7369,10,7372,2371161,7372,0,7373,0,7374,45,7265,0,7375,0,7375,0,7375,266666,7376,36,7376,1401600,7377,1401600,7378,1401600,7378,1401600,7379,1382400,7379,0,7380,1382400,7380,0,
