App,Package,Start Time,Duration,Filename
"CellMate",edu.berkeley.cs.sdb.cellmate,"Dec 8, 2017 @ 04:42:59 PM","1 min 52 sec",""

Time  [ms],"Mobile Data State",Time  [ms],"CPU1 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"Battery Status",Time  [ms],"Bluetooth State",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",
0,0,0,15,2,3,2,17,4,9,7,5,4,10,8,1095914,8,15,10,41,11,0,10,0,11,0,11,0,11,300000,12,53,12,1401600,12,1401600,12,1401600,13,1401600,13,883200,13,883200,13,0,14,0,
62,0,99,27,63,3,100,25,101,18,102,0,101,10,103,1845327,103,40,104,45,104,14,63,0,107,0,107,55,107,550000,108,53,109,691200,109,691200,110,691200,110,691200,110,1804800,110,1804800,111,1804800,111,1804800,
99,0,199,25,100,3,200,0,201,0,202,0,201,10,203,4901888,203,58,204,22,206,63,104,0,207,0,207,40,207,550000,207,34,208,691200,208,691200,208,691200,208,691200,208,1804800,209,1804800,209,1804800,209,1804800,
200,0,301,18,200,3,302,18,303,9,304,9,304,10,306,3777813,305,45,307,57,308,55,204,0,310,0,310,38,310,550000,311,34,311,1401600,311,1401600,312,1401600,312,1401600,312,1804800,312,1804800,312,1804800,312,1804800,
301,0,401,0,302,3,402,0,403,0,404,0,403,10,405,3670228,405,20,406,20,406,0,307,0,407,0,407,20,407,550000,408,34,408,691200,408,691200,408,691200,408,691200,408,1804800,408,1804800,408,1804800,408,1804800,
402,0,502,0,402,3,504,0,505,0,506,0,505,10,507,2471393,507,0,508,11,509,11,406,0,510,0,510,11,511,550000,511,34,511,691200,511,691200,511,691200,512,691200,512,1804800,512,1804800,512,1804800,512,1804800,
502,0,602,22,504,3,603,11,604,10,605,0,604,10,606,2999709,606,55,607,62,608,66,508,0,609,0,609,60,609,550000,610,34,610,1401600,611,1401600,611,1401600,611,1401600,611,1804800,611,1804800,611,1804800,611,1804800,
603,0,743,14,603,3,744,0,746,14,748,7,746,10,749,4508408,749,50,750,40,751,30,607,0,752,0,752,35,752,550000,752,34,753,1305600,753,1305600,753,1305600,753,1305600,753,1804800,753,1804800,753,1804800,753,1804800,
743,0,845,11,745,3,846,25,847,30,848,0,847,10,849,4006044,849,63,850,66,851,55,750,0,852,0,852,44,852,550000,852,34,852,1017600,853,1017600,853,1017600,853,1017600,853,1804800,853,1804800,853,1804800,854,1804800,
845,0,945,20,846,3,946,11,947,0,948,0,947,10,950,4039958,950,33,951,40,953,33,850,0,955,0,955,33,955,550000,956,34,956,691200,956,691200,956,691200,956,691200,957,1804800,957,1804800,958,1804800,959,1804800,
945,0,1045,33,946,3,1046,36,1047,22,1049,33,1048,10,1050,3935718,1050,66,1052,80,1053,70,951,0,1054,0,1054,80,1054,550000,1055,34,1055,691200,1055,691200,1055,691200,1056,1305600,1056,1804800,1056,1804800,1056,1804800,1057,1804800,
1045,0,1146,44,1046,3,1148,40,1149,33,1151,27,1150,10,1152,5247088,1152,70,1153,77,1154,70,1052,0,1156,0,1156,83,1156,550000,1157,34,1157,1017600,1158,1017600,1158,1017600,1159,1017600,1160,1804800,1162,1804800,1163,1804800,1164,1804800,
1146,0,1246,40,1148,3,1248,46,1249,36,1250,30,1249,10,1252,5434314,1252,72,1253,66,1254,80,1153,0,1255,0,1255,81,1255,550000,1256,34,1256,1305600,1256,1305600,1256,1305600,1257,1305600,1257,1804800,1257,1804800,1257,1804800,1258,1804800,
1247,0,1347,45,1248,3,1348,46,1350,30,1352,36,1351,10,1353,5591889,1353,60,1354,72,1355,80,1253,0,1356,0,1356,63,1357,550000,1357,29,1357,691200,1357,691200,1358,1401600,1358,691200,1358,1804800,1358,1804800,1359,1804800,1359,1804800,
1347,0,1448,46,1348,3,1448,36,1449,30,1450,22,1450,10,1453,4748164,1453,63,1453,80,1454,58,1354,0,1455,0,1455,75,1456,550000,1456,29,1457,691200,1457,691200,1457,691200,1457,691200,1457,1804800,1458,1804800,1458,1804800,1458,1804800,
