App,Package,Start Time,Duration,Filename
"CellMate",edu.berkeley.cs.sdb.cellmate,"Dec 8, 2017 @ 03:10:00 PM","1 min 15 sec",""

Time  [ms],"Mobile Data State",Time  [ms],"CPU1 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"Battery Status",Time  [ms],"Bluetooth State",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",
0,0,0,16,3,3,3,7,6,4,9,4,6,118,11,1176694,11,0,12,0,12,0,12,0,14,0,14,0,15,266666,16,30,17,1305600,17,1305600,18,1305600,18,1305600,19,883200,19,0,20,0,21,883200,
29,0,101,33,30,3,105,30,108,27,110,18,109,118,111,1538223,111,58,111,0,111,0,30,0,112,0,112,33,112,550000,113,30,113,691200,113,691200,113,691200,114,691200,114,1382400,114,0,114,0,114,1382400,
102,0,201,0,105,3,202,0,204,10,205,0,204,118,206,2294897,206,0,207,0,207,0,111,0,208,0,208,12,209,550000,209,30,209,691200,210,691200,210,691200,210,691200,210,1113600,210,0,211,0,211,1113600,
201,0,302,0,202,3,303,0,304,0,305,0,304,118,309,2267195,308,33,309,0,309,0,207,0,310,0,310,40,311,550000,311,30,311,691200,311,691200,312,691200,312,691200,316,1113600,317,0,317,0,317,1113600,
302,0,353,0,303,3,354,20,356,0,358,16,357,118,360,2650214,360,80,361,0,361,0,309,0,363,0,363,83,363,550000,364,30,364,1017600,364,1017600,365,1017600,365,1017600,365,1190400,366,0,366,0,366,1190400,
353,0,456,33,355,3,457,25,461,44,464,30,461,118,467,3243613,466,66,468,0,469,0,361,0,474,0,473,69,474,550000,475,0,475,1401600,475,1401600,476,1401600,476,1305600,476,1113600,476,0,476,0,477,1113600,
456,0,556,22,458,3,558,18,559,0,560,10,560,118,562,961749,561,33,562,0,562,0,468,0,563,0,563,14,563,550000,564,0,564,691200,564,691200,564,691200,564,691200,565,1113600,565,0,565,0,565,1113600,
556,0,658,30,558,3,660,20,662,10,664,10,662,118,666,544792,666,25,666,0,667,0,562,0,668,0,668,14,669,550000,669,34,670,1305600,670,1305600,670,1305600,670,1305600,670,883200,671,0,671,0,671,883200,
658,0,758,54,660,3,760,41,762,53,764,53,762,118,766,3444618,766,0,767,0,767,0,666,0,770,0,770,9,770,266666,771,34,772,1190400,772,1190400,772,1190400,772,1190400,773,883200,773,0,773,0,774,883200,
759,0,898,69,761,3,900,50,902,68,903,60,902,118,905,2031264,905,0,906,0,906,0,767,0,908,0,907,0,908,266666,909,0,909,1401600,910,1401600,910,1401600,910,1401600,911,883200,911,0,912,0,912,883200,
898,0,999,60,900,3,1001,60,1003,50,1007,70,1004,118,1011,1768876,1011,27,1012,0,1012,0,906,0,1018,0,1014,0,1019,266666,1020,0,1020,1017600,1021,1017600,1024,1017600,1024,1017600,1025,883200,1026,0,1026,0,1027,883200,
999,0,1100,70,1001,3,1101,70,1103,50,1106,55,1104,118,1108,1153673,1108,10,1108,0,1109,0,1012,0,1111,0,1110,0,1111,266666,1112,0,1112,1305600,1113,1305600,1113,1305600,1113,1305600,1113,883200,1114,0,1114,0,1114,883200,
1100,0,1200,63,1102,3,1202,33,1204,69,1207,44,1205,118,1210,1365281,1210,0,1211,0,1211,0,1109,0,1214,0,1214,0,1214,266666,1215,0,1215,1401600,1216,1401600,1216,1401600,1217,1401600,1217,883200,1217,0,1219,0,1219,883200,
1201,0,1301,75,1202,3,1303,69,1304,72,1306,66,1305,118,1308,1944301,1308,0,1309,0,1309,0,1211,0,1311,0,1311,0,1311,266666,1312,0,1312,1401600,1313,1401600,1313,1401600,1313,1401600,1313,883200,1314,0,1317,0,1319,883200,
1301,0,1401,69,1303,3,1403,72,1405,72,1407,69,1405,118,1409,2117395,1409,60,1410,0,1411,0,1309,0,1414,0,1414,10,1415,266666,1415,0,1416,1305600,1416,1305600,1417,1305600,1418,1305600,1419,1612800,1420,0,1421,0,1421,1612800,
1402,0,1502,80,1404,3,1504,66,1506,62,1508,77,1507,118,1510,2192397,1510,45,1511,0,1513,0,1410,0,1515,0,1515,11,1516,266666,1517,0,1517,1401600,1517,1401600,1518,1401600,1518,1401600,1518,883200,1519,0,1519,0,1519,883200,
1503,0,1603,62,1505,3,1605,62,1607,62,1614,75,1608,118,1619,2039779,1618,66,1621,0,1625,0,1512,0,1629,0,1629,16,1629,266666,1629,0,1630,1305600,1630,1305600,1630,1305600,1630,1305600,1630,1382400,1630,0,1630,0,1631,1382400,
1604,0,1704,80,1605,3,1706,80,1708,90,1710,66,1708,118,1716,2446639,1715,70,1716,0,1717,0,1621,0,1720,0,1719,0,1721,266666,1721,0,1722,1401600,1723,1401600,1724,1401600,1724,1401600,1725,1382400,1726,0,1727,0,1728,1382400,
1704,0,1805,71,1706,3,1809,55,1812,72,1820,55,1813,118,1827,1981636,1826,36,1827,0,1829,0,1717,0,1830,0,1830,33,1830,266666,1830,0,1830,1401600,1831,1401600,1831,1401600,1831,1401600,1831,1382400,1831,0,1831,0,1831,1382400,
1805,0,1906,80,1809,3,1908,66,1910,77,1917,62,1911,118,1921,2286657,1921,22,1921,0,1922,0,1828,0,1923,0,1923,60,1924,266666,1924,41,1924,1401600,1924,1401600,1925,1401600,1925,1401600,1925,1612800,1925,0,1925,0,1926,1612800,
1906,0,2007,66,1908,3,2009,70,2010,66,2013,80,2011,118,2015,3302601,2015,20,2017,0,2019,0,1921,0,2021,0,2021,44,2021,266666,2022,41,2022,1401600,2023,1401600,2023,1401600,2023,1401600,2023,883200,2024,0,2024,0,2024,883200,
2007,0,2110,66,2009,3,2112,60,2116,69,2120,58,2117,118,2122,2644911,2122,0,2123,0,2124,0,2018,0,2128,0,2127,60,2129,266666,2130,41,2130,1305600,2131,1305600,2131,1305600,2131,1305600,2132,998400,2132,0,2132,0,2133,998400,
2110,0,2212,80,2113,3,2215,50,2219,77,2223,66,2219,118,2225,2705266,2225,11,2226,0,2227,0,2124,0,2230,0,2230,72,2231,266666,2232,41,2232,1305600,2232,1305600,2233,1305600,2233,1305600,2233,1612800,2234,0,2234,0,2235,1612800,
2212,0,2312,90,2215,3,2314,88,2316,90,2319,71,2317,118,2324,3436610,2324,10,2325,0,2325,0,2226,0,2327,0,2327,54,2328,266666,2330,41,2330,1401600,2331,1401600,2331,1401600,2332,1401600,2332,1382400,2332,0,2333,0,2333,1382400,
2312,0,2413,70,2315,3,2415,62,2418,62,2421,66,2419,118,2423,2878561,2423,0,2423,0,2424,0,2325,0,2427,0,2426,50,2427,266666,2429,41,2429,1401600,2429,1401600,2430,1401600,2430,1401600,2431,1382400,2431,0,2432,0,2432,1382400,
2413,0,2513,57,2415,3,2515,62,2518,62,2520,66,2518,118,2522,2776571,2522,0,2523,0,2523,0,2424,0,2525,0,2524,60,2525,266666,2525,41,2526,1401600,2526,1401600,2526,1401600,2527,1401600,2527,883200,2527,0,2527,0,2528,883200,
2513,0,2613,50,2515,3,2615,54,2617,55,2620,50,2619,118,2623,2425689,2622,0,2623,0,2623,0,2523,0,2625,0,2625,60,2625,266666,2626,41,2626,1401600,2627,1401600,2627,1401600,2628,1401600,2628,1382400,2629,0,2630,0,2630,1056000,
2613,0,2715,70,2615,3,2719,60,2722,61,2724,60,2723,118,2726,2734769,2726,0,2727,0,2727,0,2623,0,2729,0,2729,66,2729,266666,2730,41,2730,1401600,2730,1401600,2731,1401600,2731,1401600,2731,1113600,2731,0,2732,0,2732,1113600,
2715,0,2816,83,2719,3,2818,72,2820,75,2825,57,2821,118,2827,3088296,2827,22,2827,0,2828,0,2727,0,2830,0,2829,60,2830,266666,2831,41,2831,1401600,2831,1401600,2832,1401600,2832,1401600,2832,1612800,2833,0,2833,0,2833,1612800,
2816,0,2916,63,2818,3,2919,60,2921,50,2924,44,2922,118,2926,2826727,2925,9,2926,0,2926,0,2827,0,2928,0,2928,45,2928,266666,2929,41,2929,1401600,2930,1401600,2930,1401600,2931,1401600,2931,1612800,2932,0,2932,0,2932,1612800,
2917,0,3016,75,2920,3,3020,70,3023,62,3025,62,3023,118,3027,3490944,3027,70,3028,0,3029,0,2926,0,3031,0,3030,0,3031,266666,3031,52,3032,1401600,3032,1401600,3033,1401600,3033,1401600,3033,1382400,3034,0,3034,0,3034,1382400,
3017,0,3118,55,3021,3,3120,44,3121,70,3124,50,3122,118,3126,2885175,3126,63,3126,0,3127,0,3028,0,3128,0,3128,0,3129,266666,3129,52,3129,1401600,3130,1401600,3130,1401600,3130,1401600,3131,1382400,3131,0,3131,0,3131,1382400,
3118,0,3219,60,3120,3,3221,44,3223,55,3226,33,3224,118,3228,2763598,3228,70,3228,0,3229,0,3126,0,3231,0,3231,0,3231,266666,3232,52,3232,1401600,3232,1401600,3232,1401600,3233,1401600,3233,1612800,3233,0,3233,0,3233,1612800,
3219,0,3320,75,3221,3,3322,55,3324,62,3326,60,3324,118,3329,3048127,3329,44,3330,0,3330,0,3229,0,3332,0,3332,30,3332,266666,3333,52,3333,1401600,3334,1401600,3334,1401600,3335,1401600,3335,940800,3336,0,3336,0,3336,940800,
3320,0,3419,72,3322,3,3421,77,3425,70,3427,70,3425,118,3429,3117284,3429,27,3430,0,3430,0,3330,0,3432,0,3431,40,3432,266666,3433,52,3433,1401600,3434,1401600,3434,1401600,3434,1401600,3434,1382400,3435,0,3435,0,3435,1382400,
