App,Package,Start Time,Duration,Filename
"CellMate",edu.berkeley.cs.sdb.cellmate,"Dec 8, 2017 @ 04:40:33 PM","1 min 22 sec",""

Time  [ms],"Mobile Data State",Time  [ms],"CPU1 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"Battery Status",Time  [ms],"Bluetooth State",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",
0,0,0,20,2,3,2,12,4,7,7,5,4,10,11,855490,11,5,12,0,12,0,12,0,14,0,14,2,14,266666,15,34,15,1305600,15,1305600,16,1305600,16,1305600,16,883200,16,0,16,0,17,883200,
75,0,99,33,76,3,101,30,102,18,104,11,102,10,106,1227542,105,30,107,60,108,66,76,0,110,0,110,33,111,550000,111,34,112,691200,112,691200,112,691200,112,691200,112,1804800,112,1804800,112,1804800,112,1804800,
100,0,200,11,101,3,200,11,202,0,203,10,202,10,204,4296512,204,72,206,63,207,71,107,0,208,0,208,66,209,550000,209,34,210,691200,210,691200,210,691200,210,691200,211,1804800,211,1804800,211,1804800,211,1804800,
200,0,300,0,201,3,301,0,302,0,303,0,302,10,305,4509412,305,61,307,50,309,22,206,0,311,0,310,66,311,550000,311,34,312,691200,312,691200,312,691200,312,691200,312,1804800,312,1804800,313,1804800,313,1804800,
300,0,400,0,301,3,401,10,402,0,403,0,402,10,404,3773147,404,41,404,30,405,11,307,0,406,0,406,11,406,550000,406,34,406,691200,406,691200,406,691200,407,691200,407,1804800,407,1804800,407,1804800,407,1804800,
400,0,500,0,401,3,501,0,502,0,503,0,502,10,504,2858709,504,30,505,10,505,0,404,0,506,0,506,10,506,550000,507,34,507,691200,507,691200,507,691200,507,691200,507,1804800,507,1804800,507,1804800,508,1804800,
501,0,605,18,501,3,606,16,607,0,608,0,607,10,609,3009444,609,71,610,69,611,55,505,0,612,0,612,40,612,550000,612,0,612,1401600,612,1401600,613,1401600,613,1401600,613,1804800,613,1804800,613,1804800,613,1804800,
605,0,701,0,606,3,704,0,707,10,708,0,707,10,709,2054412,709,50,710,45,711,25,610,0,712,0,712,40,713,550000,713,0,713,691200,713,691200,713,691200,714,691200,714,1804800,714,1804800,714,1804800,714,1804800,
701,0,802,11,704,3,803,18,804,10,807,16,805,10,810,1605698,810,50,810,54,812,40,711,0,814,0,814,45,814,550000,814,0,815,691200,815,691200,815,691200,815,691200,815,1804800,815,1804800,815,1804800,815,1804800,
802,0,902,0,803,3,903,0,905,10,906,11,905,10,907,1759282,907,45,910,44,911,45,811,0,914,0,913,44,914,550000,915,41,915,691200,915,691200,915,691200,915,691200,916,1804800,916,1804800,916,1804800,916,1804800,
