App,Package,Start Time,Duration,Filename
"CellMate",edu.berkeley.cs.sdb.cellmate,"Dec 8, 2017 @ 03:12:50 PM","1 min 17 sec",""

Time  [ms],"Mobile Data State",Time  [ms],"CPU1 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"Battery Status",Time  [ms],"Bluetooth State",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",
0,0,0,11,2,3,2,7,3,5,5,3,4,118,6,1085573,6,0,8,3,10,1,8,0,10,0,10,0,11,266666,12,39,13,1305600,13,1305600,13,1305600,13,1305600,14,0,14,883200,14,883200,15,0,
78,0,100,20,78,3,101,33,103,10,104,0,103,118,105,1305221,105,62,107,40,108,30,78,0,110,0,109,22,110,550000,111,39,111,1190400,111,691200,111,691200,112,1401600,112,1804800,112,1804800,112,1804800,112,1804800,
100,0,200,20,101,3,201,10,202,0,204,0,203,118,205,4283864,205,75,206,44,207,60,107,0,208,0,208,80,208,550000,209,39,209,691200,209,691200,210,691200,210,691200,210,1804800,210,1804800,210,1804800,211,1804800,
200,0,300,0,201,3,301,0,302,0,303,0,302,118,305,4438979,304,12,305,50,306,20,206,0,307,0,307,0,307,550000,308,39,308,691200,308,691200,308,691200,308,691200,308,1804800,308,1804800,308,1804800,309,1804800,
301,0,401,0,302,3,402,0,403,0,404,0,403,118,405,3369250,404,10,405,10,406,11,305,0,407,0,407,0,407,550000,407,39,407,691200,407,691200,407,691200,408,691200,408,1804800,408,1804800,408,1804800,408,1804800,
401,0,501,0,402,3,502,0,503,0,504,0,503,118,505,2917381,505,10,506,0,506,0,405,0,507,0,507,0,507,550000,508,39,508,691200,508,691200,508,691200,508,691200,508,1804800,508,1804800,508,1804800,509,1804800,
501,0,601,0,502,3,602,0,603,0,604,0,603,118,605,2935825,605,33,606,0,606,40,506,0,607,0,607,12,607,550000,607,0,608,691200,608,691200,608,691200,608,691200,608,1804800,608,1804800,608,1804800,608,1804800,
602,0,702,9,602,3,703,10,703,9,704,9,703,118,705,1073360,705,30,706,25,706,18,606,0,707,0,707,16,707,550000,708,0,708,691200,708,691200,708,691200,708,691200,708,1804800,708,1804800,709,1804800,709,1804800,
702,0,803,0,703,3,806,0,807,0,809,0,808,118,810,1018088,809,25,810,22,811,27,706,0,812,0,812,36,813,550000,813,0,813,1401600,814,1401600,814,1401600,814,1401600,814,1804800,815,1804800,815,1804800,815,1804800,
803,0,902,20,806,3,903,18,904,0,906,10,905,118,908,1731797,908,45,910,58,911,54,810,0,912,0,912,58,912,550000,912,0,912,691200,913,691200,913,691200,913,691200,913,1804800,913,1804800,913,1804800,913,1804800,
902,0,1002,20,903,3,1003,20,1004,18,1006,0,1005,118,1007,2341699,1007,45,1007,45,1008,40,910,0,1009,0,1009,14,1010,550000,1010,0,1010,691200,1010,691200,1011,691200,1011,691200,1011,1804800,1011,1804800,1011,1804800,1011,1804800,
1003,0,1103,30,1003,3,1104,20,1105,20,1107,20,1106,118,1108,1723039,1108,42,1110,50,1112,66,1008,0,1114,0,1113,61,1114,550000,1114,0,1114,806400,1115,806400,1115,691200,1115,691200,1115,1804800,1115,1804800,1115,1804800,1116,1804800,
1103,0,1203,33,1104,3,1204,18,1205,10,1207,9,1205,118,1209,2539566,1209,54,1211,50,1211,37,1110,0,1212,0,1212,61,1212,550000,1213,0,1213,691200,1213,691200,1214,691200,1214,691200,1214,1804800,1214,1804800,1214,1804800,1214,1804800,
1203,0,1305,41,1204,3,1306,30,1307,33,1309,25,1308,118,1310,2529262,1310,72,1311,55,1312,60,1211,0,1313,0,1313,58,1313,550000,1313,0,1313,691200,1314,691200,1314,691200,1314,691200,1314,1804800,1314,1804800,1314,1804800,1314,1804800,
1305,0,1405,27,1306,3,1407,25,1409,0,1410,0,1409,118,1411,2246749,1411,33,1412,61,1413,53,1311,0,1414,0,1413,45,1414,550000,1414,31,1414,691200,1414,691200,1414,691200,1414,691200,1415,1804800,1415,1804800,1415,1804800,1415,1804800,
1406,0,1506,0,1407,3,1509,9,1511,0,1512,0,1511,118,1514,3828727,1513,22,1514,30,1515,25,1412,0,1516,0,1516,20,1516,550000,1516,31,1517,691200,1517,691200,1517,691200,1517,691200,1517,1804800,1518,1804800,1518,1804800,1518,1804800,
1506,0,1607,11,1509,3,1608,0,1611,10,1613,0,1612,118,1614,3520650,1614,70,1614,44,1615,50,1514,0,1616,0,1616,55,1617,550000,1617,31,1617,691200,1617,691200,1618,691200,1618,691200,1619,1804800,1619,1804800,1619,1804800,1619,1804800,
1607,0,1707,25,1609,3,1708,22,1710,22,1713,11,1711,118,1714,4256058,1714,63,1715,72,1716,83,1615,0,1717,0,1717,50,1717,550000,1717,31,1718,1401600,1719,1401600,1719,1401600,1719,1401600,1719,1804800,1719,1804800,1719,1804800,1720,1804800,
1707,0,1807,11,1708,3,1808,0,1810,0,1811,0,1810,118,1812,4467337,1812,40,1813,50,1813,25,1715,0,1814,0,1814,14,1814,550000,1815,31,1815,691200,1815,691200,1815,691200,1815,691200,1815,1804800,1815,1804800,1816,1804800,1816,1804800,
1807,0,1908,20,1809,3,1909,10,1910,0,1911,0,1910,118,1912,3427919,1912,44,1913,28,1913,45,1813,0,1914,0,1914,30,1914,550000,1915,31,1915,691200,1915,691200,1915,691200,1915,691200,1915,1804800,1915,1804800,1915,1804800,1916,1804800,
1908,0,2008,25,1909,3,2009,10,2010,18,2011,9,2010,118,2012,3620779,2012,44,2013,45,2014,46,1913,0,2015,0,2015,45,2015,550000,2015,31,2015,691200,2015,691200,2015,691200,2016,691200,2016,1804800,2016,1804800,2016,1804800,2016,1804800,
2008,0,2110,50,2009,3,2112,40,2114,33,2116,50,2115,118,2118,3832704,2118,10,2119,0,2120,0,2013,0,2122,0,2122,16,2123,480000,2124,31,2124,1401600,2126,1401600,2127,1401600,2128,1401600,2129,883200,2129,0,2130,0,2132,883200,
2110,0,2210,63,2113,3,2212,63,2214,70,2216,66,2214,118,2218,3400598,2218,11,2219,0,2220,0,2119,0,2223,0,2223,0,2224,432000,2225,31,2225,1401600,2226,1401600,2226,1401600,2227,1401600,2227,883200,2227,0,2229,0,2232,883200,
2210,0,2311,72,2212,3,2313,66,2315,63,2317,60,2315,118,2319,3069526,2319,0,2327,0,2328,0,2219,0,2333,0,2332,0,2333,300000,2334,31,2334,1401600,2334,1401600,2334,1401600,2335,1401600,2335,883200,2335,0,2335,0,2335,883200,
2311,0,2412,75,2313,3,2415,57,2417,72,2419,63,2418,118,2426,2589411,2426,18,2427,0,2428,0,2328,0,2430,0,2430,0,2431,266666,2432,33,2433,1401600,2433,1401600,2433,1401600,2434,1401600,2434,883200,2434,0,2435,0,2435,883200,
2412,0,2514,72,2415,3,2516,60,2518,66,2522,55,2519,118,2530,2573852,2530,70,2530,0,2531,0,2427,0,2532,0,2532,40,2532,266666,2533,33,2533,1401600,2533,1401600,2533,1401600,2533,1401600,2533,1382400,2533,0,2534,0,2534,1382400,
2514,0,2614,75,2516,3,2617,72,2618,69,2621,72,2619,118,2625,2983913,2625,28,2626,0,2626,0,2531,0,2628,0,2628,0,2629,266666,2630,33,2630,1401600,2630,1401600,2631,1401600,2631,1401600,2632,1382400,2632,0,2632,0,2633,1382400,
2615,0,2716,76,2617,3,2718,66,2719,72,2722,75,2720,118,2724,2824865,2723,40,2724,0,2725,0,2626,0,2730,0,2729,20,2730,266666,2731,33,2732,1401600,2732,1401600,2733,1401600,2733,1401600,2733,998400,2733,0,2734,0,2734,998400,
2716,0,2817,60,2718,3,2819,60,2826,66,2831,63,2829,118,2833,2627081,2833,60,2834,0,2834,0,2725,0,2837,0,2836,9,2837,266666,2838,33,2838,1401600,2839,1401600,2839,1401600,2839,1401600,2840,1382400,2840,0,2840,0,2840,1382400,
2817,0,2917,70,2820,3,2919,50,2921,57,2923,50,2922,118,2928,2633686,2928,62,2928,0,2929,0,2834,0,2931,0,2931,0,2931,266666,2932,33,2932,1401600,2933,1401600,2933,1401600,2934,1401600,2934,1382400,2935,0,2935,0,2935,1382400,
2917,0,3017,55,2919,3,3019,33,3023,66,3029,63,3024,118,3031,2479042,3031,55,3031,0,3032,0,2929,0,3035,0,3034,9,3035,266666,3036,33,3036,1401600,3037,1401600,3037,1401600,3038,1401600,3038,1113600,3038,0,3039,0,3039,1113600,
3017,0,3118,62,3020,3,3120,66,3122,50,3126,63,3123,118,3129,2590076,3129,61,3130,0,3132,0,3032,0,3135,0,3134,10,3135,266666,3137,33,3138,1401600,3138,1401600,3138,1401600,3139,1401600,3139,883200,3140,0,3140,0,3141,883200,
3118,0,3219,60,3120,3,3223,44,3225,62,3228,50,3226,118,3230,2229526,3230,18,3230,0,3231,0,3130,0,3234,0,3234,63,3234,266666,3235,33,3235,1401600,3236,1401600,3236,1401600,3237,1401600,3237,1612800,3238,0,3238,0,3239,1612800,
3219,0,3319,80,3224,3,3323,66,3325,63,3328,63,3326,118,3330,3538266,3329,75,3330,0,3332,0,3230,0,3335,0,3335,0,3335,266666,3337,33,3338,1401600,3338,1401600,3339,1401600,3339,1401600,3339,1190400,3339,0,3340,0,3340,1190400,
3319,0,3419,66,3323,3,3422,66,3427,77,3430,66,3428,118,3432,2689388,3432,40,3434,0,3435,0,3331,0,3437,0,3437,27,3437,266666,3438,48,3438,1401600,3439,1401600,3439,1401600,3439,1401600,3439,1612800,3440,0,3440,0,3440,1612800,
3419,0,3520,70,3422,3,3522,63,3524,50,3528,50,3525,118,3531,3233950,3530,66,3532,0,3533,0,3434,0,3536,0,3535,22,3537,266666,3538,48,3539,1401600,3540,1401600,3540,1401600,3540,1401600,3541,1382400,3541,0,3541,0,3541,1382400,
