App,Package,Start Time,Duration,Filename
"CellMate",edu.berkeley.cs.sdb.cellmate,"Dec 4, 2017 @ 03:02:54 PM","1 min 28 sec",""

Time  [ms],"Mobile Data State",Time  [ms],"CPU1 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"Battery Status",Time  [ms],"Bluetooth State",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",
0,0,0,14,2,3,2,8,4,6,6,6,5,118,7,1046731,7,0,9,4,11,18,9,1,12,0,12,0,12,266666,13,22,14,1305600,14,1305600,15,1305600,15,1305600,15,0,16,883200,16,883200,16,0,
67,0,99,41,68,3,100,33,101,20,102,33,102,118,103,1390286,103,5,104,33,105,33,68,1,106,0,106,36,107,550000,107,22,108,1401600,109,806400,110,806400,110,806400,110,1804800,110,1804800,111,1804800,111,1804800,
100,0,200,11,101,3,201,20,202,20,203,0,202,118,204,3306576,204,66,205,60,206,45,104,1,207,0,207,28,207,550000,208,22,208,691200,208,1401600,209,691200,209,691200,209,1804800,209,1804800,210,1804800,210,1804800,
200,0,300,10,201,3,301,16,302,10,302,10,302,118,303,3277653,303,33,304,25,305,36,205,1,306,0,306,27,306,550000,306,22,307,691200,307,691200,307,691200,307,691200,307,1804800,307,1804800,308,1804800,308,1804800,
300,0,400,0,301,3,401,0,402,0,403,0,402,118,403,2651069,403,27,404,20,405,11,304,1,406,0,406,27,407,550000,407,48,407,691200,407,691200,408,691200,408,691200,408,1804800,408,1804800,408,1804800,408,1804800,
400,0,501,20,401,3,503,0,506,10,510,0,508,118,512,4238319,512,50,513,44,515,54,404,1,516,0,516,41,516,550000,517,48,517,1017600,517,1017600,517,1017600,517,1017600,517,1804800,518,1804800,518,1804800,518,1804800,
502,0,601,22,504,3,602,25,602,20,603,11,603,118,604,5206115,604,50,605,70,606,50,513,1,607,0,607,44,607,550000,609,48,610,1305600,610,691200,610,691200,610,691200,610,1804800,611,1804800,611,1804800,611,1804800,
601,0,703,22,602,3,706,27,707,0,708,0,707,118,709,5327940,709,50,711,70,712,66,605,1,714,0,714,70,715,550000,715,48,715,1401600,716,1401600,716,1401600,716,1401600,716,1804800,716,1804800,716,1804800,716,1804800,
704,0,802,12,706,3,803,11,803,0,804,0,804,118,805,5626767,805,44,806,50,807,25,711,1,809,0,809,45,809,550000,810,48,810,806400,811,806400,811,806400,811,806400,811,1804800,811,1804800,811,1804800,811,1804800,
802,0,902,11,803,3,904,20,907,10,910,0,908,118,911,4807109,911,45,912,44,913,44,806,1,914,0,914,54,914,550000,915,48,915,1017600,915,1017600,916,1017600,916,1017600,916,1804800,916,1804800,916,1804800,916,1804800,
