App,Package,Start Time,Duration,Filename
"CellMate",edu.berkeley.cs.sdb.cellmate,"Dec 4, 2017 @ 04:34:03 PM","2 min 16 sec",""

Time  [ms],"Mobile Data State",Time  [ms],"CPU1 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"Battery Status",Time  [ms],"Bluetooth State",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",
1,0,0,15,3,3,2,12,4,9,6,9,4,118,9,243457,8,5,9,0,11,14,10,1,12,0,12,0,12,266666,13,46,13,1190400,13,1190400,14,1190400,14,1190400,14,883200,14,0,15,883200,15,0,
116,0,149,33,117,3,151,26,152,35,153,14,152,118,154,1688999,154,23,155,8,156,21,118,1,157,0,157,5,158,550000,159,46,159,691200,159,691200,160,691200,160,691200,160,1804800,160,1804800,160,1804800,160,1804800,
150,0,251,30,151,3,252,27,253,0,255,11,253,118,257,4219228,257,77,258,80,259,75,155,1,261,0,260,66,261,550000,261,46,262,691200,262,691200,262,691200,263,691200,263,1804800,263,1804800,264,1804800,264,1804800,
251,0,300,0,252,3,301,0,302,0,303,20,302,118,304,5506868,304,40,305,40,306,100,258,1,307,0,307,100,307,550000,308,46,308,691200,308,691200,309,691200,309,691200,309,1804800,309,1804800,310,1804800,310,1804800,
300,0,400,0,301,3,401,0,402,0,403,0,403,118,405,5734454,404,50,405,37,407,40,305,1,408,0,408,25,409,550000,410,46,410,1401600,411,1401600,411,1401600,412,1401600,412,1804800,412,1804800,413,1804800,413,1804800,
401,0,501,10,402,3,501,18,502,18,503,10,502,118,504,4799601,504,50,506,40,507,33,406,1,509,0,509,30,509,550000,510,46,510,691200,510,691200,510,691200,510,691200,510,1804800,511,1804800,511,1804800,511,1804800,
501,0,601,0,501,3,602,0,602,0,603,0,603,118,604,4120638,604,12,604,20,605,18,506,1,606,0,606,10,606,550000,606,46,606,691200,607,691200,607,691200,607,691200,607,1804800,607,1804800,607,1804800,607,1804800,
601,0,704,25,602,3,705,0,706,0,707,0,706,118,708,3921457,708,40,709,30,710,53,605,1,711,0,711,40,711,550000,712,46,712,1401600,712,1401600,712,806400,712,806400,713,1804800,713,1804800,713,1804800,713,1804800,
704,0,801,12,705,3,803,20,804,27,805,10,804,118,806,5033601,806,60,807,55,809,50,709,1,811,0,811,50,811,550000,812,46,812,691200,812,691200,812,691200,812,691200,812,1804800,812,1804800,812,1804800,813,1804800,
802,0,902,11,803,3,903,0,904,0,907,0,905,118,908,5046291,908,58,910,44,912,45,807,1,914,0,913,44,914,550000,914,34,914,1401600,914,1401600,915,1401600,915,1401600,915,1804800,915,1804800,915,1804800,915,1804800,
