App,Package,Start Time,Duration,Filename
"CellMate",edu.berkeley.cs.sdb.cellmate,"Apr 4, 2018 @ 04:59:00 PM","1 min 49 sec",""

Time  [ms],"Mobile Data State",Time  [ms],"CPU1 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"Battery Status",Time  [ms],"CPU8 Load [%]",Time  [ms],"Bluetooth State",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",
2,0,2,13,4,3,3,7,5,8,7,3,6,104,9,357782,9,0,10,0,13,0,10,0,14,0,0,2,15,266666,16,22,16,1305600,16,1305600,17,1305600,17,1305600,17,883200,18,0,18,883200,18,0,
85,0,102,41,85,3,104,22,106,0,107,27,106,104,108,1162800,108,22,109,38,110,22,85,0,111,5,14,2,111,550000,112,22,113,1401600,113,1401600,113,1401600,114,1401600,114,1804800,114,1804800,114,1804800,114,1804800,
103,0,202,0,104,3,203,0,204,0,205,0,204,104,205,2529966,205,40,206,80,207,30,109,0,207,11,111,2,208,550000,208,22,208,691200,208,691200,209,691200,209,691200,209,1804800,209,1804800,209,1804800,210,1804800,
202,0,302,0,203,3,303,0,304,0,305,0,304,104,305,2861951,305,20,306,100,307,0,206,0,308,10,208,2,308,550000,308,22,308,691200,308,691200,309,691200,309,691200,309,1804800,309,1804800,309,1804800,309,1804800,
302,0,402,9,303,3,403,9,404,9,405,9,404,104,405,2979784,405,36,406,77,407,20,306,0,408,40,308,2,408,550000,408,55,408,691200,409,691200,409,1305600,409,691200,410,1804800,410,1804800,410,1804800,410,1804800,
402,0,503,0,403,3,504,0,504,0,505,0,505,104,507,4937939,507,10,508,0,509,0,406,0,510,100,408,2,510,550000,510,55,511,691200,511,691200,511,691200,511,691200,511,1804800,511,1804800,512,1804800,512,1804800,
503,0,603,0,504,3,603,0,604,0,605,0,604,104,606,4845721,606,37,607,30,607,36,508,0,608,10,510,2,608,550000,609,0,609,691200,609,691200,609,691200,609,691200,609,1804800,609,1804800,609,1804800,610,1804800,
603,0,703,0,604,3,704,0,705,0,706,0,705,104,707,1376519,707,50,708,30,709,30,607,0,709,10,608,2,710,550000,710,0,710,691200,710,691200,711,691200,711,691200,711,1804800,711,1804800,711,1804800,711,1804800,
703,0,803,0,704,3,804,0,805,0,806,0,806,104,807,1597842,807,80,808,9,809,36,708,0,809,0,709,2,810,550000,810,0,810,691200,810,691200,810,691200,811,691200,811,1804800,811,1804800,811,1804800,811,1804800,
804,0,904,0,805,3,905,0,906,0,907,0,906,104,908,813989,908,20,909,80,909,10,808,0,910,0,809,2,911,550000,911,0,911,691200,911,691200,912,691200,912,691200,912,1804800,912,1804800,912,1804800,912,1804800,
904,0,1004,0,905,3,1005,0,1006,0,1007,0,1006,104,1008,1348854,1008,33,1008,60,1009,33,909,0,1010,62,910,2,1010,550000,1011,0,1011,691200,1011,691200,1011,691200,1011,691200,1012,1804800,1012,1804800,1012,1804800,1012,1804800,
1004,0,1105,0,1005,3,1106,0,1107,0,1108,0,1107,104,1109,1643951,1109,0,1110,10,1111,90,1009,0,1111,18,1010,2,1112,550000,1112,0,1112,691200,1112,691200,1112,691200,1113,691200,1113,1804800,1113,1804800,1113,1804800,1113,1804800,
1105,0,1205,0,1106,3,1205,0,1206,0,1207,0,1207,104,1208,1487181,1208,20,1209,20,1210,37,1110,0,1210,0,1111,2,1211,550000,1211,0,1211,691200,1211,691200,1211,691200,1211,691200,1211,1804800,1212,1804800,1212,1804800,1212,1804800,
1205,0,1305,0,1206,3,1306,0,1307,9,1308,0,1307,104,1309,1311454,1309,60,1310,35,1311,50,1209,0,1312,11,1210,2,1312,550000,1313,0,1313,691200,1313,691200,1313,691200,1313,691200,1314,1804800,1314,1804800,1314,1804800,1314,1804800,
1305,0,1405,0,1306,3,1406,0,1407,0,1408,0,1407,104,1409,1487181,1408,42,1409,0,1410,10,1310,0,1411,0,1312,2,1411,550000,1411,0,1411,691200,1411,691200,1412,691200,1412,691200,1412,1804800,1412,1804800,1412,1804800,1412,1804800,
1405,0,1506,0,1406,3,1507,0,1507,0,1508,0,1508,104,1509,611109,1509,33,1510,20,1511,0,1409,0,1511,18,1411,2,1512,550000,1512,0,1512,691200,1512,691200,1512,691200,1512,691200,1513,1804800,1513,1804800,1513,1804800,1513,1804800,
1506,0,1606,22,1507,3,1607,0,1608,0,1609,0,1608,104,1610,1069921,1610,50,1611,55,1612,72,1510,0,1613,81,1511,2,1613,550000,1614,0,1614,691200,1614,691200,1615,691200,1615,691200,1615,1804800,1615,1804800,1615,1804800,1615,1804800,
1606,0,1707,20,1607,3,1709,11,1711,0,1714,9,1712,104,1715,2710377,1715,54,1716,69,1717,72,1611,0,1718,63,1613,2,1719,550000,1719,0,1720,1401600,1720,1401600,1720,1401600,1721,1401600,1721,1804800,1721,1804800,1721,1804800,1721,1804800,
1707,0,1807,27,1709,3,1808,22,1809,18,1810,0,1810,104,1811,3007121,1811,55,1812,37,1814,70,1716,0,1818,60,1718,2,1819,550000,1821,0,1821,691200,1822,691200,1822,691200,1822,691200,1822,1804800,1822,1804800,1823,1804800,1823,1804800,
