App,Package,Start Time,Duration,Filename
"System",,"Apr 4, 2018 @ 05:29:08 PM","1 min 44 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"Mobile Data State",Time  [ms],"CPU2 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"Battery Status",Time  [ms],"Bluetooth State",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",
2,15,0,0,4,7,1,3,6,6,8,8,6,104,10,969973,9,5,10,0,11,0,2,0,12,2,12,6,12,266666,13,39,13,1305600,13,1305600,14,1305600,14,1305600,14,883200,14,0,15,0,15,883200,
103,45,2,0,107,50,4,3,110,30,114,10,111,104,117,1668571,116,0,117,0,118,0,10,0,121,2,121,0,122,266666,123,36,123,1305600,123,1305600,123,1305600,124,1305600,124,883200,124,0,124,0,124,883200,
152,60,104,0,155,75,107,3,158,40,160,0,158,104,163,1811191,163,0,163,0,164,0,118,0,166,2,166,0,166,266666,167,36,168,1305600,168,1305600,169,1305600,170,1305600,170,883200,171,0,171,0,172,883200,
254,54,153,0,256,36,155,3,259,30,262,30,260,104,264,1677002,264,0,264,0,265,0,163,0,267,2,266,0,267,266666,268,36,269,1190400,269,1190400,270,1190400,271,1190400,271,883200,272,0,272,0,272,883200,
357,40,254,0,361,11,257,3,366,40,372,10,367,104,376,1338455,376,0,377,0,378,0,265,0,382,2,381,0,382,300000,383,36,384,1305600,385,1305600,386,1305600,386,1305600,387,883200,387,0,387,0,388,883200,
457,40,357,0,459,22,361,3,463,22,466,20,463,104,469,1566718,468,0,469,0,470,0,377,0,473,2,473,0,473,300000,474,36,475,691200,475,691200,476,691200,476,691200,476,883200,477,0,477,0,478,883200,
560,41,457,0,563,38,460,3,566,11,569,11,567,104,573,1209713,572,0,574,0,574,0,470,0,577,2,577,0,578,266666,578,36,579,691200,579,691200,580,691200,580,691200,580,883200,581,0,581,0,582,883200,
658,27,560,0,660,0,563,3,663,0,667,18,664,104,670,961519,669,0,671,0,671,0,574,0,674,2,674,0,675,266666,676,36,676,691200,677,691200,677,691200,678,691200,678,883200,678,0,679,0,679,883200,
760,33,658,0,764,30,660,3,767,0,770,10,767,104,774,1017303,773,0,774,0,775,0,671,0,778,2,778,0,779,266666,779,36,780,691200,780,691200,781,691200,781,691200,782,883200,782,0,783,0,783,883200,
859,11,761,0,862,22,764,3,866,9,869,9,866,104,872,973473,872,0,873,0,874,0,774,0,877,2,876,0,877,266666,878,36,879,691200,879,691200,880,691200,880,691200,881,883200,881,0,882,0,882,883200,
962,12,860,0,965,9,863,3,969,20,973,9,970,104,976,971480,976,0,977,0,978,0,873,0,981,2,980,0,981,266666,982,36,983,691200,983,691200,984,691200,984,691200,985,883200,985,0,985,0,986,883200,
1062,45,962,0,1065,30,966,3,1068,0,1071,18,1068,104,1075,1057150,1074,0,1076,0,1076,0,977,0,1080,2,1080,0,1082,266666,1083,0,1083,1305600,1083,1305600,1084,1305600,1084,1305600,1084,883200,1084,0,1084,0,1085,883200,
1163,38,1062,0,1166,12,1065,3,1169,10,1173,0,1170,104,1176,536626,1176,0,1177,0,1177,0,1076,0,1180,2,1180,0,1181,266666,1182,0,1183,691200,1183,691200,1183,1305600,1183,1305600,1184,883200,1184,0,1184,0,1184,883200,
1264,12,1164,0,1267,20,1167,3,1271,0,1275,0,1272,104,1278,278326,1278,0,1279,0,1280,0,1177,0,1283,2,1282,0,1283,266666,1284,0,1284,1305600,1284,1305600,1284,1305600,1285,1305600,1285,883200,1285,0,1285,0,1285,883200,
1365,58,1264,0,1369,10,1268,3,1372,0,1384,50,1374,104,1387,847946,1387,0,1388,0,1388,0,1279,0,1390,2,1390,0,1391,266666,1391,0,1392,1305600,1392,1305600,1393,1305600,1393,1305600,1394,883200,1394,0,1395,0,1395,883200,
1465,63,1366,0,1467,33,1369,3,1469,45,1472,28,1470,104,1474,1121693,1474,0,1474,0,1475,0,1388,0,1476,2,1476,0,1477,266666,1477,0,1477,1401600,1478,1401600,1478,1401600,1478,1401600,1478,883200,1479,0,1479,0,1479,883200,
1605,47,1465,0,1609,25,1467,3,1612,31,1614,7,1612,104,1616,878022,1615,0,1616,0,1616,0,1474,0,1618,2,1618,0,1618,266666,1618,0,1619,1401600,1619,1401600,1619,1401600,1619,1401600,1619,883200,1620,0,1620,0,1620,883200,
1706,60,1606,0,1710,30,1610,3,1713,44,1715,30,1713,104,1717,1232564,1716,10,1717,0,1717,0,1616,0,1720,2,1720,0,1721,266666,1722,0,1722,1401600,1722,1401600,1723,1401600,1723,1401600,1724,1382400,1724,0,1724,0,1725,1382400,
1806,50,1706,0,1809,50,1711,3,1812,41,1815,30,1813,104,1818,1298996,1817,9,1818,0,1819,0,1717,0,1821,2,1821,0,1822,266666,1823,0,1823,1305600,1824,1305600,1824,1305600,1825,1305600,1825,883200,1826,0,1827,0,1827,883200,
1906,60,1806,0,1909,40,1809,3,1913,40,1915,44,1913,104,1917,1228171,1917,9,1917,0,1918,0,1818,0,1919,2,1919,0,1920,266666,1920,49,1921,1305600,1921,1305600,1922,1305600,1922,1305600,1923,883200,1923,0,1923,0,1924,883200,
2007,63,1907,0,2009,22,1910,3,2011,36,2013,30,2011,104,2015,1919725,2015,0,2016,0,2016,0,1917,0,2018,2,2018,0,2018,266666,2019,49,2019,1401600,2019,1401600,2020,1401600,2020,1401600,2020,883200,2021,0,2021,0,2021,883200,
2108,22,2007,0,2109,36,2009,3,2111,30,2113,20,2112,104,2115,1760608,2115,0,2115,0,2116,0,2016,0,2117,2,2117,0,2117,266666,2118,49,2118,1401600,2118,1401600,2119,1401600,2119,1401600,2119,883200,2119,0,2119,0,2120,883200,
2212,0,2108,0,2215,11,2110,3,2217,27,2219,11,2218,104,2221,1404757,2221,0,2222,0,2222,0,2115,0,2224,2,2224,0,2224,266666,2225,49,2225,1401600,2225,1401600,2226,1401600,2226,1401600,2226,883200,2226,0,2226,0,2227,883200,
2313,40,2212,0,2316,45,2215,3,2319,22,2323,20,2320,104,2326,1875204,2326,0,2327,0,2327,0,2222,0,2329,2,2329,0,2329,266666,2330,49,2330,1305600,2331,1305600,2331,1305600,2331,1305600,2331,883200,2332,0,2332,0,2332,883200,
