App,Package,Start Time,Duration,Filename
"CellMate",edu.berkeley.cs.sdb.cellmate,"Apr 4, 2018 @ 05:43:40 PM","1 min 32 sec",""

Time  [ms],"Mobile Data State",Time  [ms],"CPU1 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"Battery Status",Time  [ms],"Bluetooth State",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",
1,0,0,12,3,3,2,13,5,7,8,5,5,104,9,1198272,8,0,10,7,13,5,11,0,13,2,13,0,13,266666,14,32,14,1305600,15,1305600,15,1305600,15,1305600,15,0,16,883200,16,883200,16,0,
67,0,101,20,67,3,102,25,103,11,104,22,103,104,106,1252122,106,16,108,54,110,22,67,0,111,2,111,4,112,550000,112,32,112,1305600,112,691200,113,691200,113,691200,113,1804800,113,1804800,113,1804800,113,1804800,
101,0,200,20,102,3,201,0,202,9,204,0,203,104,205,3239903,205,22,206,50,207,80,108,0,208,2,208,40,208,550000,209,32,209,691200,209,691200,209,691200,209,691200,209,1804800,209,1804800,210,1804800,210,1804800,
200,0,301,0,201,3,302,0,303,0,304,0,303,104,306,3833922,306,10,307,20,308,55,206,0,309,2,309,50,309,550000,310,32,310,691200,310,691200,310,691200,310,691200,310,1804800,311,1804800,311,1804800,311,1804800,
301,0,401,0,302,3,402,0,403,0,404,0,403,104,405,3418940,405,10,406,20,406,100,307,0,407,2,407,0,407,550000,408,32,408,691200,408,691200,408,691200,408,691200,408,1804800,409,1804800,409,1804800,409,1804800,
401,0,501,0,402,3,502,0,504,0,505,0,504,104,506,3382053,506,11,507,0,507,100,406,0,508,2,508,0,509,550000,509,32,509,691200,509,691200,509,691200,509,691200,510,1804800,510,1804800,510,1804800,510,1804800,
502,0,602,0,503,3,602,0,603,0,604,0,604,104,605,3594155,605,54,606,36,607,22,507,0,608,2,608,0,608,550000,608,0,609,691200,609,691200,609,691200,609,691200,609,1804800,609,1804800,609,1804800,610,1804800,
602,0,702,0,603,3,703,0,704,0,705,0,704,104,705,1358075,705,66,706,20,707,20,606,0,708,2,708,22,708,550000,709,0,709,691200,709,691200,709,691200,709,691200,709,1804800,709,1804800,709,1804800,709,1804800,
702,0,802,0,703,3,803,0,804,0,805,0,805,104,806,1247414,806,50,807,30,808,10,706,0,809,2,809,18,809,550000,809,0,809,691200,809,691200,810,691200,810,691200,810,1804800,810,1804800,810,1804800,810,1804800,
803,0,903,0,804,3,904,0,905,0,906,0,905,104,907,1210527,907,50,908,60,909,0,807,0,910,2,910,10,910,550000,911,0,911,691200,911,691200,911,691200,912,691200,912,1804800,912,1804800,912,1804800,913,1804800,
903,0,1003,0,904,3,1004,0,1005,9,1007,0,1006,104,1008,1127018,1008,27,1008,30,1009,11,908,0,1010,2,1010,70,1011,550000,1011,0,1011,691200,1011,691200,1011,691200,1012,691200,1012,1804800,1012,1804800,1012,1804800,1012,1804800,
1004,0,1103,0,1005,3,1104,0,1105,0,1106,0,1106,104,1108,1514846,1107,30,1108,54,1109,22,1009,0,1110,2,1110,9,1111,550000,1111,0,1111,691200,1111,691200,1111,691200,1112,691200,1112,1804800,1112,1804800,1112,1804800,1112,1804800,
1104,0,1204,0,1105,3,1205,0,1206,0,1207,0,1206,104,1208,1275079,1208,30,1208,55,1209,27,1108,0,1210,2,1210,20,1210,550000,1210,0,1211,691200,1211,691200,1211,691200,1211,691200,1211,1804800,1211,1804800,1211,1804800,1211,1804800,
1204,0,1308,0,1205,3,1308,0,1309,0,1310,0,1310,104,1311,1358075,1311,22,1312,37,1313,40,1208,0,1314,2,1314,45,1314,550000,1314,0,1315,691200,1315,691200,1315,691200,1315,691200,1315,1804800,1315,1804800,1316,1804800,1316,1804800,
1308,0,1408,0,1309,3,1409,0,1410,0,1410,0,1410,104,1411,1570177,1411,25,1412,20,1413,36,1312,0,1414,2,1414,22,1414,550000,1414,0,1414,691200,1414,691200,1414,691200,1415,691200,1415,1804800,1415,1804800,1415,1804800,1415,1804800,
1408,0,1509,0,1409,3,1510,0,1512,0,1513,8,1512,104,1514,1410901,1514,50,1515,22,1516,30,1412,0,1517,2,1517,12,1517,550000,1517,0,1518,691200,1518,691200,1518,691200,1518,691200,1518,1804800,1519,1804800,1519,1804800,1519,1804800,
1509,0,1609,40,1511,3,1610,11,1611,11,1612,0,1611,104,1613,1592261,1613,72,1613,70,1614,80,1515,0,1615,2,1615,55,1615,550000,1616,0,1616,691200,1616,691200,1616,691200,1616,691200,1616,1804800,1616,1804800,1616,1804800,1617,1804800,
1609,0,1759,8,1610,3,1760,14,1761,26,1762,0,1761,104,1762,2735538,1762,58,1763,60,1764,46,1614,0,1765,2,1765,61,1766,550000,1766,47,1766,691200,1766,691200,1766,691200,1767,691200,1767,1804800,1767,1804800,1767,1804800,1767,1804800,
1759,0,1860,27,1760,3,1863,33,1864,18,1866,16,1865,104,1867,5382327,1867,61,1868,58,1869,63,1763,0,1870,2,1869,42,1870,550000,1870,47,1870,1401600,1871,1401600,1871,1017600,1871,691200,1872,1804800,1872,1804800,1872,1804800,1873,1804800,
