App,Package,Start Time,Duration,Filename
"System",,"Apr 7, 2018 @ 11:52:36 PM","1 min 22 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU5 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU6 Load [%]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",
0,1305600,3,27,4,1305600,7,8,8,1305600,10,10,10,10,11,1305600,12,10,13,883200,14,0,14,900109,15,0,15,0,16,0,16,0,16,0,17,883200,18,0,18,266666,19,36,
101,1401600,103,50,103,1401600,104,50,105,1401600,107,55,107,10,107,1401600,109,33,109,883200,111,20,111,1869519,111,0,112,0,42,0,112,0,112,0,113,883200,114,0,114,266666,115,36,
202,1401600,204,45,204,1401600,207,27,207,1401600,210,40,210,10,210,1401600,212,27,213,883200,215,0,215,1516284,216,0,216,0,112,0,216,0,217,0,217,883200,219,0,219,266666,220,36,
303,1401600,304,40,305,1401600,307,62,307,1401600,310,20,310,10,311,1401600,312,0,313,1382400,315,10,315,1472708,316,0,316,0,216,0,316,0,317,0,317,1382400,319,0,319,266666,320,36,
404,691200,406,30,407,691200,410,22,412,691200,415,20,416,10,416,691200,419,10,420,883200,422,0,423,841294,423,0,424,0,316,0,425,0,425,0,426,883200,429,0,430,266666,431,36,
504,691200,507,30,508,691200,510,36,511,691200,513,10,514,10,515,691200,517,0,518,883200,520,0,521,829340,522,0,523,0,424,0,524,0,524,0,525,883200,528,0,529,266666,530,36,
605,806400,608,22,609,806400,611,22,612,806400,614,11,615,10,616,806400,618,0,618,883200,621,0,621,815983,622,0,623,0,523,0,623,0,624,0,624,883200,626,0,627,266666,628,0,
706,691200,709,22,709,691200,712,22,713,691200,716,0,716,10,717,691200,719,0,720,883200,723,0,723,108293,724,0,725,0,623,0,726,0,727,0,727,883200,732,0,735,266666,740,0,
806,1305600,808,36,808,1305600,810,33,810,1305600,812,11,812,10,813,1305600,814,11,814,883200,816,0,816,509082,816,0,817,0,725,0,817,0,817,0,818,883200,819,0,820,266666,820,0,
907,806400,910,33,910,806400,913,27,913,806400,916,20,916,10,917,806400,919,16,919,883200,922,0,922,261607,922,0,923,0,817,0,924,0,924,0,924,883200,927,0,927,266666,928,0,
