App,Package,Start Time,Duration,Filename
"CellMate",edu.berkeley.cs.sdb.cellmate,"Apr 7, 2018 @ 11:45:47 PM","1 min 30 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU5 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU6 Load [%]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",
0,1305600,2,16,2,1305600,4,11,5,1305600,7,9,7,10,7,1305600,9,10,9,883200,11,14,11,1079794,11,0,12,0,12,0,12,883200,14,14,14,0,15,0,15,266666,15,53,
101,691200,104,36,104,1305600,106,36,107,1401600,108,9,109,10,110,1401600,111,22,112,1804800,113,40,113,1849502,114,1804800,115,49,84,0,115,1804800,116,27,116,1804800,117,7,117,550000,118,53,
201,691200,202,10,202,691200,203,0,203,691200,204,0,204,10,205,691200,206,0,206,1804800,207,37,207,4392469,207,1804800,208,44,115,0,208,1804800,209,87,209,1804800,210,30,211,550000,211,53,
302,691200,302,0,303,691200,303,0,304,691200,305,0,305,10,305,691200,306,0,307,1804800,308,0,308,4750640,308,1804800,309,11,208,0,309,1804800,310,100,311,1804800,311,10,312,550000,312,56,
402,691200,403,0,403,691200,404,0,404,691200,405,0,405,10,405,691200,406,0,406,1804800,407,0,407,4565464,407,1804800,408,22,309,0,408,1804800,409,100,409,1804800,410,0,410,550000,410,56,
502,691200,503,0,504,691200,504,0,505,691200,506,0,506,10,506,691200,507,0,507,1804800,508,0,508,4574686,508,1804800,509,10,408,0,510,1804800,510,100,511,1804800,512,9,512,550000,512,56,
603,691200,603,0,604,691200,604,0,604,691200,605,0,605,10,605,691200,606,0,606,1804800,607,55,607,5054220,607,1804800,608,40,509,0,608,1804800,609,20,609,1804800,610,10,610,550000,610,0,
703,691200,704,0,704,691200,705,0,705,691200,706,0,706,10,707,691200,707,0,708,1804800,709,50,709,1127248,709,1804800,710,40,608,0,710,1804800,711,11,711,1804800,712,9,712,550000,712,0,
803,691200,804,0,804,691200,805,0,805,691200,806,0,806,10,807,691200,807,0,807,1804800,808,55,808,1081139,808,1804800,809,20,710,0,809,1804800,810,36,810,1804800,811,0,811,550000,812,0,
904,691200,905,0,905,691200,906,0,906,691200,907,0,907,10,908,691200,908,0,909,1804800,910,77,910,1247132,910,1804800,911,36,809,0,911,1804800,912,0,912,1804800,913,0,913,550000,914,0,
1004,691200,1005,0,1005,691200,1006,0,1006,691200,1007,0,1007,10,1007,691200,1008,0,1008,1804800,1009,22,1009,555496,1009,1804800,1010,18,911,0,1010,1804800,1011,11,1011,1804800,1012,80,1012,550000,1012,0,
1104,691200,1105,10,1105,691200,1106,0,1107,691200,1107,0,1108,10,1108,691200,1109,0,1109,1804800,1109,30,1110,1322386,1110,1804800,1111,11,1010,0,1111,1804800,1112,66,1112,1804800,1113,0,1113,550000,1114,0,
1205,691200,1205,0,1206,691200,1206,0,1207,691200,1207,0,1207,10,1207,691200,1208,0,1208,1804800,1209,30,1209,1007365,1209,1804800,1210,45,1111,0,1210,1804800,1211,36,1212,1804800,1212,36,1213,550000,1213,0,
1305,691200,1306,9,1306,691200,1307,9,1307,691200,1308,9,1308,10,1308,691200,1309,9,1309,1804800,1309,40,1309,1540178,1309,1804800,1310,20,1210,0,1310,1804800,1311,33,1311,1804800,1312,20,1312,550000,1312,0,
1405,691200,1406,0,1406,691200,1407,0,1407,691200,1408,0,1408,10,1408,691200,1409,0,1409,1804800,1409,0,1410,693823,1410,1804800,1410,0,1310,0,1411,1804800,1411,0,1412,1804800,1412,0,1412,550000,1413,0,
1506,1305600,1508,0,1508,691200,1509,0,1509,691200,1510,0,1510,10,1511,1382400,1511,0,1512,1804800,1513,50,1513,481722,1513,1804800,1514,40,1411,0,1515,1804800,1516,40,1516,1804800,1517,30,1517,550000,1518,0,
1606,691200,1607,0,1607,691200,1607,11,1608,691200,1609,0,1609,10,1609,1017600,1610,0,1610,1804800,1613,66,1613,1665585,1613,1804800,1614,80,1515,0,1615,1804800,1616,37,1617,1804800,1618,80,1619,550000,1619,0,
1706,1401600,1707,30,1707,1401600,1708,0,1708,1401600,1710,0,1710,10,1710,1401600,1711,0,1712,1804800,1713,44,1713,2424028,1713,1804800,1717,55,1614,0,1717,1804800,1718,63,1719,1804800,1719,70,1719,550000,1720,0,
1806,691200,1807,20,1807,691200,1808,20,1808,691200,1809,10,1810,10,1810,1190400,1811,0,1812,1804800,1813,40,1813,2222819,1813,1804800,1814,33,1717,0,1814,1804800,1815,44,1815,1804800,1816,25,1816,550000,1816,0,
1907,691200,1911,0,1912,691200,1916,9,1917,691200,1917,0,1918,10,1918,691200,1919,0,1919,1804800,1920,44,1920,1384946,1920,1804800,1921,41,1814,0,1921,1804800,1921,53,1922,1804800,1922,27,1922,550000,1923,0,
2007,691200,2008,10,2008,691200,2009,0,2009,691200,2010,0,2010,10,2011,691200,2011,0,2011,1804800,2012,12,2012,1267055,2012,1804800,2013,12,1921,0,2013,1804800,2014,30,2014,1804800,2015,22,2015,550000,2015,0,
2108,1401600,2110,30,2110,1401600,2112,27,2113,1401600,2114,11,2114,10,2115,1401600,2116,22,2117,0,2117,0,2117,1153650,2118,1804800,2119,18,2013,0,2119,0,2120,0,2120,1804800,2122,10,2122,266666,2123,0,
2209,1305600,2211,50,2211,1305600,2213,63,2214,1305600,2216,33,2216,10,2216,1305600,2218,45,2218,0,2219,0,2219,1304050,2219,883200,2221,8,2119,0,2222,0,2225,0,2227,883200,2230,0,2231,266666,2232,0,
2309,1401600,2311,50,2312,1401600,2313,54,2314,1401600,2316,72,2316,10,2317,1305600,2319,70,2319,0,2320,0,2320,1480962,2321,1382400,2324,0,2221,0,2325,0,2326,0,2326,1382400,2329,10,2330,266666,2331,0,
2410,1017600,2414,50,2415,1305600,2416,55,2417,1305600,2419,37,2419,10,2420,1305600,2422,50,2422,0,2423,0,2423,1021656,2424,1382400,2427,50,2324,0,2427,0,2428,0,2428,1382400,2430,20,2430,266666,2431,0,
2511,1401600,2513,77,2513,1401600,2515,72,2515,1401600,2517,55,2517,10,2517,1401600,2519,66,2520,0,2520,0,2520,2061796,2521,1804800,2534,90,2427,0,2535,0,2535,0,2536,1804800,2537,54,2538,266666,2538,0,
2611,1401600,2613,66,2613,1401600,2615,63,2616,1401600,2617,72,2618,10,2619,1401600,2626,72,2626,0,2627,0,2627,2995134,2627,1804800,2629,100,2535,0,2629,0,2630,0,2630,1804800,2632,44,2633,266666,2634,0,
2712,1305600,2713,70,2714,1305600,2716,55,2716,1305600,2718,55,2718,10,2719,1305600,2721,50,2721,0,2722,0,2723,2583116,2723,1804800,2725,90,2629,0,2726,0,2727,0,2727,1804800,2729,20,2730,266666,2731,0,
2812,1305600,2814,72,2814,1305600,2816,55,2817,1305600,2818,70,2819,10,2819,1305600,2821,75,2822,0,2823,0,2823,2495013,2823,1804800,2826,63,2726,0,2827,0,2828,0,2828,1804800,2830,66,2830,266666,2831,0,
2913,1401600,2914,55,2915,1401600,2917,44,2917,1401600,2919,44,2920,10,2921,1401600,2923,44,2924,0,2925,0,2925,2338110,2925,1804800,2929,40,2826,0,2930,0,2931,0,2932,1804800,2935,60,2935,266666,2937,17,
3013,1401600,3015,66,3015,1401600,3017,55,3017,1401600,3018,66,3019,10,3019,1401600,3020,75,3021,0,3021,0,3021,2833418,3023,1804800,3025,20,2929,0,3025,0,3026,0,3031,1804800,3033,75,3033,266666,3034,17,
3114,1401600,3115,70,3116,1401600,3117,54,3118,1401600,3122,50,3127,10,3128,691200,3130,66,3133,0,3134,0,3134,2388041,3134,1804800,3136,72,3025,0,3137,0,3137,0,3137,1804800,3139,54,3139,266666,3140,17,
3215,1305600,3216,63,3217,1305600,3218,44,3219,1305600,3220,50,3221,10,3221,1305600,3223,44,3223,0,3224,0,3225,2571851,3225,1804800,3227,33,3136,0,3228,0,3228,0,3229,1804800,3230,25,3231,266666,3231,17,
3315,1401600,3317,37,3317,1401600,3318,37,3319,1401600,3320,40,3320,10,3321,1401600,3322,33,3323,0,3323,0,3324,1752495,3325,1804800,3325,20,3227,0,3326,0,3326,0,3326,1804800,3327,100,3327,266666,3327,17,
3417,1401600,3418,44,3418,1401600,3419,70,3419,1401600,3420,50,3420,10,3420,1401600,3421,40,3421,0,3421,0,3421,2668035,3421,1804800,3422,0,3326,0,3422,0,3423,0,3423,1804800,3423,88,3424,266666,3424,17,
3518,1401600,3518,50,3519,1401600,3519,44,3520,1401600,3520,44,3521,10,3521,1401600,3522,33,3522,1804800,3523,27,3523,2422891,3523,1804800,3524,81,3422,0,3524,0,3525,0,3525,1804800,3525,91,3525,266666,3526,17,
3619,1305600,3619,44,3620,1305600,3620,54,3621,1305600,3621,33,3622,10,3622,1305600,3623,60,3623,1804800,3624,36,3624,3274363,3625,1804800,3625,10,3524,0,3626,0,3626,0,3626,1804800,3627,100,3627,266666,3628,17,
3720,1305600,3721,50,3721,1305600,3722,40,3722,1305600,3722,54,3723,10,3723,1305600,3724,20,3724,1804800,3724,22,3725,2428581,3725,0,3725,0,3626,0,3725,0,3725,0,3725,1804800,3726,18,3726,266666,3726,17,
3820,1401600,3821,58,3821,1401600,3822,45,3822,1401600,3822,50,3822,10,3823,1401600,3823,40,3823,1804800,3824,90,3824,2491028,3824,0,3824,0,3725,0,3824,0,3825,0,3825,1804800,3825,10,3825,266666,3826,17,
3921,1305600,3922,58,3922,1305600,3923,50,3923,1305600,3924,30,3924,10,3925,1305600,3925,33,3925,1804800,3926,72,3926,2005064,3926,0,3927,0,3824,0,3927,0,3927,0,3927,1804800,3928,60,3928,266666,3929,17,
4022,1305600,4022,28,4023,1305600,4024,33,4024,1305600,4025,44,4025,10,4025,1305600,4026,44,4026,1804800,4026,40,4027,2052970,4027,0,4027,0,3927,0,4027,0,4027,0,4027,1804800,4028,25,4028,266666,4028,20,
4122,1305600,4124,42,4124,1401600,4125,63,4125,1401600,4126,44,4127,10,4127,1401600,4128,25,4128,883200,4129,9,4129,1663881,4129,0,4129,0,4027,0,4129,0,4130,0,4130,883200,4131,63,4131,266666,4131,20,
4223,1305600,4225,54,4226,1305600,4227,50,4228,1305600,4230,50,4230,10,4231,1305600,4233,25,4234,1804800,4235,40,4236,1897211,4236,0,4237,0,4129,0,4237,0,4237,0,4238,1804800,4239,91,4240,266666,4240,20,
4324,1305600,4326,55,4327,1305600,4329,60,4329,1305600,4332,50,4332,10,4333,1305600,4335,63,4336,1804800,4337,50,4337,2909877,4338,0,4338,0,4237,0,4339,0,4339,0,4339,1804800,4340,88,4341,266666,4341,20,
4425,1401600,4427,50,4427,1401600,4431,40,4431,1401600,4433,63,4434,10,4434,1401600,4436,50,4436,1804800,4437,0,4438,2421680,4438,0,4438,0,4338,0,4439,0,4439,0,4439,1804800,4440,90,4441,266666,4441,20,
4526,1401600,4529,44,4530,1401600,4531,40,4532,1401600,4533,40,4534,10,4534,1401600,4535,37,4536,1804800,4539,60,4539,2740114,4540,0,4540,0,4438,0,4540,0,4541,0,4541,1804800,4542,70,4543,266666,4543,20,
4626,1401600,4628,28,4629,1401600,4631,37,4631,1401600,4633,37,4633,10,4634,1401600,4635,25,4635,1804800,4637,60,4637,2350612,4637,0,4638,0,4540,0,4638,0,4639,0,4639,1804800,4640,54,4641,266666,4641,20,
