App,Package,Start Time,Duration,Filename
"CellMate",edu.berkeley.cs.sdb.cellmate,"Apr 7, 2018 @ 11:38:49 PM","1 min 26 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU5 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU6 Load [%]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",
0,1305600,2,8,2,1305600,4,5,5,1305600,7,3,7,10,8,1305600,10,1,10,883200,12,1,12,1173323,12,883200,14,0,15,0,15,0,15,0,16,0,16,0,17,266666,18,36,
101,1401600,103,45,103,806400,104,25,105,691200,107,22,108,10,108,1401600,109,20,109,1804800,110,50,110,1637639,110,1804800,111,50,71,0,112,1804800,112,66,113,1804800,114,40,115,550000,117,36,
201,691200,202,27,202,691200,203,27,203,691200,204,0,204,10,204,691200,205,10,205,1804800,206,33,206,4095414,207,1804800,207,50,111,0,208,1804800,208,54,208,1804800,209,80,209,550000,209,36,
301,691200,302,0,303,691200,303,0,304,691200,305,0,305,10,305,691200,306,0,306,1804800,307,20,307,4106233,307,1804800,308,30,207,0,308,1804800,309,50,309,1804800,310,50,310,550000,310,53,
401,691200,402,0,402,691200,403,0,403,691200,404,0,404,10,404,691200,405,0,405,1804800,406,40,406,4833637,406,1804800,407,44,308,0,407,1804800,408,33,408,1804800,409,66,409,550000,409,53,
511,1401600,512,18,512,1401600,513,10,514,1401600,514,0,515,10,515,1401600,515,0,516,1804800,516,33,516,5057846,517,1804800,517,62,407,0,517,1804800,518,70,518,1804800,519,45,519,550000,519,53,
611,1017600,612,11,613,1017600,614,11,614,691200,616,10,617,10,618,1305600,619,10,619,1804800,620,33,620,5355251,620,1804800,621,40,517,0,621,1804800,622,20,622,1804800,623,41,623,550000,623,53,
712,691200,712,11,712,691200,714,11,714,691200,715,10,716,10,716,691200,716,10,717,1804800,717,33,717,4585329,718,1804800,718,22,621,0,719,1804800,719,12,719,1804800,720,22,720,550000,720,53,
812,691200,813,18,813,691200,815,10,815,691200,816,0,816,10,816,691200,817,10,817,1804800,818,50,818,4319149,819,1804800,820,50,718,0,820,1804800,821,41,821,1804800,822,41,822,550000,822,53,
912,691200,913,22,913,691200,914,12,915,691200,915,11,916,10,916,691200,916,9,916,1804800,917,44,917,4996552,917,1804800,918,37,820,0,918,1804800,919,25,919,1804800,920,30,920,550000,921,53,
1013,691200,1014,9,1014,691200,1015,0,1015,691200,1016,0,1016,10,1016,691200,1017,0,1017,1804800,1018,20,1018,4316703,1018,1804800,1019,20,918,0,1019,1804800,1020,22,1020,1804800,1021,0,1021,550000,1022,53,
