App,Package,Start Time,Duration,Filename
"CellMate",edu.berkeley.cs.sdb.cellmate,"Apr 7, 2018 @ 11:40:51 PM","1 min 22 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU5 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU6 Load [%]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",
0,1401600,2,16,2,1401600,4,8,5,691200,7,5,7,10,7,691200,9,2,9,1804800,10,50,10,1279456,10,1804800,12,25,12,0,12,1804800,13,2,13,1804800,15,0,16,550000,16,38,
100,1401600,101,12,101,1401600,102,27,102,1401600,103,18,104,10,104,1401600,105,11,105,1804800,106,44,106,3412330,106,1804800,107,70,28,0,107,1804800,108,90,108,1804800,109,42,109,550000,110,38,
150,691200,151,16,151,691200,152,0,153,691200,153,0,154,10,154,691200,155,0,155,1804800,156,0,156,4242130,156,1804800,157,100,107,0,157,1804800,158,20,158,1804800,159,40,159,550000,160,38,
251,691200,252,0,252,691200,253,0,253,691200,254,0,255,10,255,691200,256,0,256,1804800,257,10,257,3915156,257,1804800,258,100,157,0,258,1804800,259,18,259,1804800,260,25,260,550000,260,38,
351,691200,352,0,352,691200,352,0,353,691200,353,0,353,10,354,691200,354,0,354,1804800,355,11,355,3767607,355,1804800,356,80,258,0,356,1804800,357,25,357,1804800,358,50,358,550000,358,38,
451,691200,452,0,452,691200,453,0,454,691200,455,0,455,10,455,691200,456,0,456,1804800,457,9,457,3859825,457,1804800,458,10,356,0,459,1804800,459,18,460,1804800,461,100,461,550000,462,38,
551,691200,552,0,552,691200,553,0,553,691200,554,0,554,10,554,691200,555,0,555,1804800,556,37,556,3869047,557,1804800,557,10,458,0,558,1804800,558,54,558,1804800,559,10,559,550000,560,0,
652,691200,653,9,653,691200,654,9,654,691200,655,9,655,10,655,691200,656,0,656,1804800,657,70,657,1402364,657,1804800,658,18,557,0,658,1804800,659,41,659,1804800,660,18,660,550000,661,0,
752,691200,753,0,753,691200,754,0,754,691200,755,0,755,10,755,691200,756,0,756,1804800,757,83,757,1496120,757,1804800,758,0,658,0,758,1804800,759,0,759,1804800,760,10,760,550000,760,0,
852,691200,853,0,853,691200,854,0,854,691200,855,0,855,10,855,691200,856,0,856,1804800,857,22,857,315729,857,1804800,858,18,758,0,859,1804800,859,60,860,1804800,860,22,861,550000,861,0,
953,691200,953,0,954,691200,955,0,955,691200,956,0,956,10,956,691200,957,0,957,1804800,958,30,958,1219466,958,1804800,959,33,858,0,959,1804800,960,45,960,1804800,961,44,961,550000,962,0,
1053,691200,1055,0,1055,691200,1056,0,1056,691200,1057,0,1057,10,1058,691200,1058,0,1058,1804800,1059,11,1059,1247132,1059,1804800,1060,90,959,0,1060,1804800,1061,30,1061,1804800,1062,20,1062,550000,1063,0,
1153,691200,1154,0,1154,691200,1155,0,1155,691200,1156,0,1156,10,1156,691200,1157,0,1157,1804800,1158,50,1158,1772775,1158,1804800,1159,33,1060,0,1159,1804800,1160,50,1160,1804800,1161,0,1161,550000,1162,0,
1254,691200,1255,0,1255,691200,1256,0,1256,691200,1256,0,1257,10,1257,691200,1257,0,1258,1804800,1258,22,1258,988921,1259,1804800,1259,40,1159,0,1259,1804800,1260,22,1260,1804800,1261,11,1261,550000,1261,0,
1354,691200,1355,0,1355,691200,1356,0,1356,691200,1356,0,1357,10,1357,691200,1357,0,1358,1804800,1358,10,1358,786041,1359,1804800,1359,0,1259,0,1359,1804800,1360,0,1360,1804800,1361,0,1361,550000,1361,0,
1454,1190400,1457,10,1457,691200,1459,0,1460,691200,1462,9,1462,10,1463,1190400,1464,0,1464,1804800,1465,45,1465,499741,1465,1804800,1466,40,1359,0,1467,1804800,1467,36,1468,1804800,1468,30,1469,550000,1469,0,
1555,691200,1556,40,1556,691200,1557,12,1558,691200,1558,30,1558,10,1559,1305600,1559,0,1559,1804800,1560,66,1560,1770152,1560,1804800,1561,80,1466,0,1561,1804800,1562,66,1562,1804800,1563,90,1563,550000,1563,0,
1708,1401600,1713,26,1713,1401600,1714,18,1714,1401600,1715,0,1716,10,1716,1401600,1717,7,1717,1804800,1718,55,1718,3011777,1718,1804800,1719,58,1561,0,1720,1804800,1721,46,1722,1804800,1724,86,1725,550000,1725,0,
1808,1305600,1808,12,1809,806400,1809,11,1810,806400,1811,11,1811,10,1811,806400,1812,20,1812,1804800,1813,25,1813,2173158,1813,1804800,1814,25,1719,0,1814,1804800,1815,40,1816,1804800,1817,45,1817,550000,1817,0,
1908,691200,1908,18,1909,691200,1909,30,1909,691200,1911,10,1911,10,1911,691200,1912,16,1912,1804800,1912,44,1913,1588221,1913,1804800,1913,44,1814,0,1914,1804800,1914,45,1915,1804800,1916,40,1916,550000,1916,0,
2009,1305600,2010,11,2010,1305600,2011,0,2011,1305600,2012,0,2012,10,2012,1305600,2013,0,2013,883200,2014,50,2014,1413532,2015,883200,2016,50,1913,0,2016,883200,2017,33,2017,883200,2018,30,2018,550000,2018,0,
2110,1305600,2111,66,2112,1305600,2112,63,2113,1305600,2114,54,2114,10,2114,1305600,2115,33,2115,883200,2116,0,2117,1506021,2117,883200,2118,10,2016,0,2118,0,2118,0,2118,0,2119,0,2120,266666,2121,0,
2210,1305600,2212,63,2212,1305600,2214,50,2214,1305600,2216,37,2217,10,2217,1305600,2219,66,2220,883200,2221,0,2222,1208878,2222,883200,2224,0,2118,0,2224,0,2225,0,2225,0,2227,0,2228,266666,2228,0,
2310,1017600,2312,54,2313,1017600,2315,54,2316,1017600,2318,54,2320,10,2321,1017600,2323,70,2323,1382400,2326,50,2326,1150016,2327,1382400,2328,0,2224,0,2329,0,2329,0,2329,0,2330,0,2330,266666,2331,0,
2411,1401600,2413,70,2413,1401600,2414,54,2415,1401600,2417,55,2417,10,2418,1401600,2419,72,2420,940800,2423,55,2424,1709482,2425,940800,2429,40,2328,0,2430,0,2431,0,2433,0,2433,0,2433,266666,2434,0,
2511,1401600,2513,72,2513,1401600,2515,58,2515,1401600,2517,66,2517,10,2518,1401600,2519,66,2520,883200,2522,50,2522,1872350,2523,883200,2525,18,2429,0,2526,0,2527,0,2528,0,2528,0,2529,266666,2530,0,
2612,1401600,2614,72,2614,1401600,2616,53,2616,1401600,2618,54,2619,10,2619,1401600,2622,75,2622,1382400,2624,0,2625,1604526,2625,1382400,2628,18,2526,0,2628,0,2629,0,2629,0,2629,0,2630,266666,2631,29,
2713,1401600,2714,60,2715,1401600,2716,28,2717,1401600,2719,44,2720,10,2720,1401600,2723,40,2724,883200,2731,0,2731,1693634,2732,883200,2734,0,2628,0,2734,0,2735,0,2735,0,2735,0,2736,266666,2737,29,
2813,1401600,2815,44,2815,1401600,2816,50,2817,1401600,2819,70,2819,10,2820,1401600,2821,44,2825,883200,2827,0,2827,1804641,2828,883200,2829,0,2734,0,2830,0,2830,0,2831,0,2831,0,2832,266666,2833,29,
2913,1401600,2915,63,2915,1401600,2917,50,2917,1401600,2919,40,2920,10,2920,1401600,2922,54,2922,1382400,2924,66,2928,2187724,2928,1382400,2930,0,2829,0,2930,0,2931,0,2931,0,2931,0,2932,266666,2932,29,
3014,1305600,3016,54,3016,1305600,3018,50,3019,1305600,3020,40,3021,10,3021,1305600,3023,37,3024,883200,3026,10,3026,1550499,3026,883200,3028,36,2930,0,3028,0,3029,0,3029,0,3030,0,3030,266666,3031,29,
3115,1401600,3116,61,3117,1401600,3118,50,3119,1401600,3120,50,3121,10,3121,1401600,3122,55,3123,883200,3124,0,3125,1956748,3126,883200,3128,0,3028,0,3129,0,3130,0,3130,0,3131,0,3131,266666,3132,29,
3215,1401600,3216,69,3217,1401600,3218,50,3219,1401600,3220,57,3221,10,3221,1401600,3223,75,3223,883200,3225,0,3225,2063990,3226,883200,3228,0,3129,0,3229,0,3229,0,3229,0,3230,0,3230,266666,3231,29,
3316,1401600,3318,60,3319,1401600,3325,40,3326,1190400,3328,50,3328,10,3329,1190400,3330,63,3331,1382400,3333,16,3333,1769611,3333,1382400,3335,0,3228,0,3335,0,3336,0,3336,0,3336,0,3337,266666,3337,29,
3417,806400,3420,50,3421,806400,3423,60,3427,806400,3429,33,3430,10,3430,806400,3432,28,3433,883200,3435,0,3435,979355,3436,883200,3439,50,3335,0,3440,0,3440,0,3441,0,3441,0,3442,266666,3443,29,
3517,1382400,3520,60,3520,1382400,3522,44,3523,1382400,3530,50,3531,10,3531,1382400,3533,37,3533,883200,3535,30,3535,1906979,3536,883200,3537,0,3439,0,3538,0,3538,0,3539,0,3539,0,3540,266666,3540,29,
3618,1305600,3620,66,3621,1305600,3623,37,3623,1305600,3625,25,3626,10,3626,1305600,3628,44,3629,883200,3630,0,3631,1473342,3631,883200,3633,0,3537,0,3633,0,3634,0,3634,0,3635,0,3635,266666,3635,29,
3719,1401600,3721,44,3722,1401600,3726,50,3726,1401600,3728,60,3729,10,3729,1401600,3731,44,3731,883200,3733,9,3733,1770292,3734,883200,3736,0,3633,0,3736,0,3737,0,3737,0,3737,0,3738,266666,3739,31,
3820,1401600,3822,63,3822,1401600,3824,40,3826,1401600,3829,58,3830,10,3830,1401600,3832,63,3832,883200,3834,0,3834,1937659,3835,883200,3837,0,3736,0,3837,0,3838,0,3838,0,3839,0,3839,266666,3840,31,
3921,1401600,3922,81,3922,1401600,3923,66,3924,1401600,3925,60,3925,10,3925,1401600,3926,66,3926,1382400,3927,10,3927,2292153,3927,1382400,3927,0,3837,0,3928,0,3928,0,3928,0,3928,0,3928,266666,3929,31,
4021,1401600,4023,66,4023,1401600,4026,45,4027,1401600,4028,58,4029,10,4029,1401600,4031,33,4031,883200,4033,10,4034,1833818,4035,883200,4037,9,3927,0,4038,0,4039,0,4039,0,4040,0,4040,266666,4041,31,
4122,1017600,4126,54,4127,1017600,4129,44,4129,1017600,4132,54,4132,10,4133,1017600,4135,70,4136,883200,4138,0,4139,1411225,4139,883200,4141,0,4038,0,4142,0,4143,0,4144,0,4145,0,4145,266666,4146,31,
4222,1401600,4224,50,4225,1401600,4228,44,4228,1401600,4230,60,4231,10,4232,1401600,4235,60,4235,883200,4237,0,4237,1877346,4238,883200,4239,0,4142,0,4240,0,4240,0,4241,0,4241,0,4242,266666,4242,31,
4324,1401600,4325,60,4326,1401600,4329,44,4330,1401600,4332,33,4332,10,4332,1401600,4334,63,4335,883200,4336,9,4337,1818870,4337,883200,4339,0,4240,0,4339,0,4340,0,4340,0,4340,0,4341,266666,4341,31,
4424,1401600,4427,50,4428,1401600,4429,44,4430,1401600,4431,44,4432,10,4432,1401600,4434,50,4435,883200,4436,0,4437,1720530,4437,883200,4438,0,4339,0,4439,0,4440,0,4440,0,4440,0,4441,266666,4441,31,
4525,1401600,4528,76,4530,1401600,4531,69,4532,1401600,4533,50,4534,10,4534,1401600,4536,57,4536,883200,4538,0,4538,2106538,4538,883200,4540,0,4439,0,4540,0,4540,0,4541,0,4541,0,4541,266666,4542,31,
