App,Package,Start Time,Duration,Filename
"CellMate",edu.berkeley.cs.sdb.cellmate,"Apr 7, 2018 @ 11:42:41 PM","1 min 33 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU5 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU6 Load [%]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",
0,1190400,4,11,5,1190400,7,6,9,1190400,11,5,12,10,12,1190400,14,2,15,0,15,0,15,916604,16,883200,17,2,17,0,18,883200,19,1,20,0,21,0,21,266666,22,32,
100,1305600,101,36,102,1305600,103,25,104,1190400,105,22,106,10,106,1190400,107,25,107,1804800,108,4,108,1194982,108,1804800,109,37,76,0,110,1804800,111,30,111,1804800,112,36,112,550000,112,32,
200,691200,201,18,202,691200,203,10,203,691200,204,0,204,10,204,691200,205,0,205,1804800,206,40,206,3354560,207,1804800,208,63,109,0,208,1804800,209,40,209,1804800,210,30,210,550000,211,32,
300,691200,302,0,302,691200,303,0,303,691200,304,0,304,10,305,691200,305,0,306,1804800,307,18,307,3372549,307,1804800,308,100,208,0,308,1804800,308,0,309,1804800,309,10,309,550000,310,49,
401,691200,402,0,402,691200,402,0,403,691200,403,0,404,10,404,691200,404,0,405,1804800,405,11,405,4136840,405,1804800,406,33,308,0,406,1804800,407,77,407,1804800,408,36,408,550000,408,49,
501,691200,502,0,502,691200,503,0,504,691200,504,0,505,10,505,691200,506,0,506,1804800,507,10,507,4459603,507,1804800,508,0,406,0,508,1804800,509,100,510,1804800,510,11,511,550000,511,49,
601,691200,602,0,603,691200,603,0,603,691200,604,0,604,10,604,691200,605,0,605,1804800,606,33,606,4348942,606,1804800,607,30,508,0,607,1804800,608,27,608,1804800,609,30,609,550000,609,0,
702,691200,703,0,703,691200,704,0,704,691200,705,0,705,10,705,691200,706,0,707,1804800,707,66,707,1431568,708,1804800,708,9,607,0,709,1804800,710,27,710,1804800,711,11,711,550000,711,0,
802,691200,803,0,803,691200,804,0,804,691200,805,0,805,10,805,691200,806,0,806,1804800,807,70,807,1099583,807,1804800,808,10,709,0,808,1804800,809,18,809,1804800,810,0,810,550000,811,0,
903,691200,903,0,904,691200,904,0,905,691200,905,0,906,10,906,691200,907,0,907,1804800,908,81,908,1025808,908,1804800,909,30,808,0,909,1804800,910,27,910,1804800,910,0,911,550000,911,0,
1003,691200,1004,0,1004,691200,1005,0,1005,691200,1006,0,1006,10,1007,691200,1007,0,1008,1804800,1009,44,1009,952034,1009,1804800,1010,70,909,0,1010,1804800,1011,22,1011,1804800,1012,16,1012,550000,1013,0,
1103,691200,1104,0,1104,691200,1105,9,1105,691200,1106,0,1106,10,1106,691200,1107,0,1107,1804800,1108,70,1108,1680044,1109,1804800,1109,44,1010,0,1110,1804800,1110,20,1111,1804800,1112,0,1112,550000,1112,0,
1204,691200,1204,0,1205,691200,1205,0,1205,691200,1206,0,1207,10,1207,691200,1208,0,1208,1804800,1208,54,1209,1108805,1209,1804800,1210,50,1109,0,1210,1804800,1211,22,1211,1804800,1211,0,1212,550000,1212,0,
1307,1401600,1308,0,1308,1401600,1309,0,1309,1401600,1310,0,1310,10,1310,1401600,1311,0,1311,1804800,1312,30,1312,961256,1312,1804800,1313,50,1210,0,1313,1804800,1313,18,1314,1804800,1314,46,1314,550000,1315,0,
1407,691200,1408,0,1409,691200,1409,0,1409,691200,1410,0,1410,10,1410,691200,1411,0,1411,1804800,1412,0,1412,1071917,1412,1804800,1413,10,1313,0,1413,1804800,1414,0,1414,1804800,1415,0,1415,550000,1415,0,
1508,1190400,1509,10,1509,691200,1510,10,1511,1305600,1511,0,1512,10,1512,1305600,1512,0,1513,1804800,1513,30,1513,455624,1514,1804800,1516,45,1413,0,1516,1804800,1519,50,1519,1804800,1522,36,1522,550000,1522,0,
