App,Package,Start Time,Duration,Filename
"System",,"Apr 4, 2018 @ 04:23:44 PM","2 min 13 sec",""

Time  [ms],"Mobile Data State",Time  [ms],"CPU1 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"Battery Status",Time  [ms],"Bluetooth State",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",
0,0,0,4,3,3,3,2,5,2,6,2,5,104,7,1035089,7,0,8,1,10,0,9,0,11,2,11,0,11,266666,12,26,13,1305600,13,1305600,13,1305600,13,1305600,14,0,14,883200,14,883200,15,0,
36,0,101,50,36,3,103,20,105,40,107,40,105,104,108,1497305,108,0,110,0,112,0,37,0,112,2,112,0,113,266666,113,26,114,1305600,114,1305600,114,1305600,115,1305600,115,0,115,883200,116,883200,116,0,
102,0,202,54,104,3,204,33,206,22,208,20,207,104,209,1381701,209,0,211,0,213,0,110,0,215,2,214,0,215,266666,217,26,217,1305600,217,1305600,218,1305600,218,1305600,219,0,219,883200,220,883200,220,0,
202,0,303,50,204,3,305,10,307,27,309,12,307,104,310,1220673,309,0,312,0,314,0,211,0,314,2,314,0,315,266666,316,48,316,1401600,317,1401600,317,1401600,317,1401600,318,0,318,883200,319,883200,319,0,
303,0,405,22,305,3,409,0,413,0,416,20,414,104,417,1344280,417,0,421,0,424,0,312,0,425,2,425,0,426,266666,426,48,427,1305600,427,1305600,427,1305600,428,1305600,428,0,428,883200,429,883200,429,0,
406,0,505,12,409,3,508,27,511,0,515,20,512,104,516,1407650,515,0,518,0,522,0,421,0,523,2,522,0,523,266666,523,48,524,1305600,524,1305600,525,1305600,525,1305600,525,0,525,883200,526,883200,526,0,
506,0,606,14,509,3,608,11,611,0,613,40,611,104,614,1439855,614,0,616,0,619,0,519,0,620,2,620,0,620,266666,621,0,622,1017600,622,1017600,622,1017600,623,1017600,623,0,623,883200,624,883200,624,0,
606,0,707,22,608,3,711,0,714,0,718,10,715,104,719,329689,719,0,723,0,733,0,617,0,735,2,735,0,736,266666,737,0,738,691200,739,691200,739,691200,740,691200,740,0,741,883200,742,883200,743,0,
708,0,807,30,711,3,808,27,810,20,812,11,811,104,813,389895,813,0,814,0,816,0,724,0,817,2,817,0,817,266666,818,0,818,1305600,818,1305600,819,1305600,819,1305600,819,0,819,883200,820,883200,820,0,
807,0,908,0,809,3,912,20,915,9,918,0,915,104,919,370231,919,0,922,0,926,0,815,0,927,2,927,0,927,266666,928,0,929,691200,930,691200,930,691200,931,691200,931,0,932,883200,932,883200,933,0,
