App,Package,Start Time,Duration,Filename
"CellMate",edu.berkeley.cs.sdb.cellmate,"Apr 4, 2018 @ 06:41:39 PM","1 min 30 sec",""

Time  [ms],"Mobile Data State",Time  [ms],"CPU1 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"Battery Status",Time  [ms],"Bluetooth State",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",
0,0,0,8,1,3,1,5,3,4,5,3,3,104,6,781677,6,0,7,15,9,4,7,0,10,2,10,0,10,266666,11,37,11,1305600,12,1305600,12,1305600,13,1305600,13,0,14,883200,14,883200,15,0,
70,0,100,50,71,3,101,20,103,27,104,20,103,104,105,1572942,105,37,106,50,107,33,71,0,108,2,108,2,108,550000,108,37,108,691200,109,691200,109,691200,109,691200,110,1804800,110,1804800,110,1804800,110,1804800,
100,0,200,0,102,3,201,0,202,0,204,0,203,104,205,3632882,205,40,206,45,207,50,106,0,207,2,207,27,208,550000,208,37,208,691200,208,691200,208,691200,208,691200,208,1804800,209,1804800,209,1804800,209,1804800,
200,0,300,0,201,3,302,0,303,0,304,0,303,104,305,3835762,305,25,306,20,307,100,206,0,307,2,307,11,308,550000,308,37,308,691200,308,691200,308,691200,308,691200,308,1804800,309,1804800,309,1804800,309,1804800,
300,0,400,0,302,3,401,0,402,0,402,0,402,104,403,3872649,403,20,404,10,405,100,306,0,406,2,406,20,406,550000,406,37,406,691200,407,691200,407,691200,407,691200,407,1804800,407,1804800,407,1804800,407,1804800,
400,0,501,0,401,3,502,0,503,0,504,0,503,104,506,3771209,505,10,507,0,508,100,404,0,509,2,509,0,509,550000,510,37,510,691200,510,691200,510,691200,510,691200,510,1804800,510,1804800,511,1804800,511,1804800,
501,0,601,0,502,3,601,9,602,0,603,0,602,104,604,3918245,604,54,605,36,606,33,507,0,607,2,606,10,607,550000,607,0,607,691200,607,691200,608,691200,608,691200,608,1804800,608,1804800,608,1804800,608,1804800,
601,0,701,0,602,3,702,0,703,0,704,0,704,104,705,1524068,705,63,706,30,707,0,605,0,708,2,708,0,708,550000,708,0,708,691200,709,691200,709,691200,709,691200,709,1804800,709,1804800,709,1804800,709,1804800,
701,0,801,0,702,3,802,0,803,0,804,0,803,104,805,952316,805,50,806,20,806,33,706,0,807,2,807,10,807,550000,808,0,808,691200,808,691200,808,691200,808,691200,808,1804800,808,1804800,809,1804800,809,1804800,
801,0,902,0,802,3,903,0,904,9,905,0,904,104,906,979469,906,18,907,88,909,11,806,0,910,2,910,18,910,550000,911,0,911,691200,911,691200,911,691200,911,691200,912,1804800,912,1804800,912,1804800,912,1804800,
902,0,1002,0,903,3,1003,0,1004,0,1005,0,1004,104,1006,1597842,1006,33,1007,80,1007,27,908,0,1008,2,1008,0,1008,550000,1009,0,1009,691200,1009,691200,1009,691200,1010,691200,1010,1804800,1010,1804800,1010,1804800,1010,1804800,
1002,0,1102,0,1003,3,1104,0,1105,0,1106,0,1105,104,1107,1385741,1107,20,1108,36,1109,72,1007,0,1110,2,1110,18,1111,550000,1111,0,1111,691200,1112,691200,1112,691200,1112,691200,1112,1804800,1113,1804800,1113,1804800,1113,1804800,
1103,0,1203,0,1104,3,1204,0,1204,0,1205,0,1205,104,1206,1680839,1206,33,1207,27,1208,33,1108,0,1209,2,1208,37,1209,550000,1209,0,1210,691200,1210,691200,1210,691200,1210,691200,1210,1804800,1210,1804800,1211,1804800,1211,1804800,
1203,0,1304,0,1204,3,1305,0,1306,0,1307,10,1306,104,1308,1590100,1308,50,1309,40,1310,41,1207,0,1311,2,1310,90,1311,550000,1311,0,1311,691200,1311,691200,1311,691200,1311,691200,1312,1804800,1312,1804800,1312,1804800,1312,1804800,
1304,0,1404,0,1305,3,1405,0,1406,0,1406,0,1406,104,1407,2298700,1407,55,1408,27,1409,22,1309,0,1410,2,1409,0,1410,550000,1410,0,1411,691200,1411,691200,1411,691200,1411,691200,1412,1804800,1412,1804800,1412,1804800,1412,1804800,
1404,0,1504,18,1405,3,1505,9,1506,0,1507,9,1506,104,1508,1448242,1508,77,1509,44,1510,54,1408,0,1511,2,1511,45,1511,550000,1511,0,1512,1401600,1512,1401600,1512,1401600,1513,1401600,1513,1804800,1513,1804800,1513,1804800,1513,1804800,
1504,0,1605,12,1505,3,1606,10,1607,10,1608,0,1607,104,1609,2233493,1609,55,1609,83,1610,61,1509,0,1611,2,1611,55,1611,550000,1611,0,1612,691200,1612,691200,1612,691200,1612,691200,1612,1804800,1612,1804800,1612,1804800,1612,1804800,
1606,0,1705,11,1606,3,1706,11,1707,18,1708,18,1707,104,1709,2626355,1709,50,1710,50,1712,60,1610,0,1713,2,1713,33,1713,550000,1714,36,1715,691200,1715,691200,1716,1401600,1716,691200,1717,1804800,1717,1804800,1717,1804800,1717,1804800,
1705,0,1805,11,1706,3,1806,11,1808,11,1809,0,1808,104,1810,4308909,1809,50,1810,44,1811,44,1710,0,1812,2,1812,33,1813,550000,1813,36,1813,691200,1813,691200,1814,691200,1814,691200,1814,1804800,1815,1804800,1815,1804800,1818,1804800,
1806,0,1906,20,1807,3,1907,10,1908,10,1909,10,1908,104,1910,4095469,1910,50,1911,40,1912,55,1810,0,1913,2,1913,33,1913,550000,1913,36,1913,691200,1913,691200,1914,691200,1914,691200,1914,1804800,1915,1804800,1915,1804800,1915,1804800,
