App,Package,Start Time,Duration,Filename
"CellMate",edu.berkeley.cs.sdb.cellmate,"Apr 4, 2018 @ 03:02:14 PM","2 min 27 sec",""

Time  [ms],"Mobile Data State",Time  [ms],"CPU1 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"Battery Status",Time  [ms],"Bluetooth State",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",
0,0,0,14,2,3,2,11,4,7,6,4,5,104,8,1268625,8,7,8,0,9,0,8,0,10,2,10,2,11,266666,12,39,12,1382400,12,1382400,12,1382400,13,1382400,13,883200,13,0,13,0,14,883200,
68,0,100,20,69,3,101,36,102,10,103,30,102,104,104,1593593,104,33,105,57,106,60,69,0,107,2,107,40,107,550000,107,39,108,1401600,108,1401600,108,1401600,108,1401600,108,1804800,109,1804800,109,1804800,109,1804800,
100,0,200,0,101,3,202,10,203,0,204,0,203,104,205,4387412,205,30,206,54,207,63,105,0,208,2,207,27,208,550000,208,39,208,691200,209,691200,209,691200,209,691200,209,1804800,209,1804800,210,1804800,210,1804800,
201,0,301,0,202,3,301,0,302,0,303,0,302,104,304,4022779,304,10,305,50,305,60,206,0,306,2,306,11,306,550000,307,39,307,691200,307,691200,307,691200,307,691200,307,1804800,308,1804800,308,1804800,308,1804800,
301,0,401,0,302,3,401,0,402,0,403,0,402,104,404,3810677,404,10,405,100,406,0,305,0,407,2,407,20,407,550000,407,39,407,691200,407,691200,407,691200,408,691200,408,1804800,408,1804800,408,1804800,409,1804800,
401,0,501,0,402,3,502,0,503,0,505,0,504,104,506,3801455,506,10,507,100,508,0,405,0,509,2,509,0,509,550000,510,39,510,691200,510,691200,510,691200,510,691200,510,1804800,510,1804800,511,1804800,511,1804800,
501,0,601,0,502,3,602,9,603,0,604,0,603,104,604,4049931,604,55,605,11,606,44,507,0,608,2,607,10,608,550000,608,0,608,691200,609,691200,609,691200,609,691200,609,1804800,610,1804800,610,1804800,610,1804800,
601,0,701,0,602,3,702,0,703,0,704,0,704,104,705,1477959,705,72,706,0,707,40,605,0,708,2,708,30,708,550000,708,0,708,691200,709,691200,709,691200,709,691200,709,1804800,709,1804800,709,1804800,709,1804800,
702,0,802,0,702,3,803,0,804,0,805,0,804,104,806,1321188,806,50,807,22,807,22,706,0,808,2,808,10,808,550000,809,0,809,691200,809,691200,809,691200,809,691200,809,1804800,810,1804800,810,1804800,810,1804800,
802,0,902,0,803,3,903,0,904,0,905,0,904,104,906,896985,906,20,907,70,908,10,807,0,909,2,909,18,910,550000,910,0,910,691200,911,691200,911,691200,911,691200,911,1804800,912,1804800,912,1804800,912,1804800,
902,0,1002,9,903,3,1004,0,1004,0,1006,0,1005,104,1006,1505112,1006,40,1007,37,1008,66,907,0,1009,2,1009,22,1009,550000,1010,0,1010,691200,1010,691200,1010,691200,1011,691200,1011,1804800,1011,1804800,1011,1804800,1011,1804800,
1003,0,1103,0,1004,3,1104,0,1105,0,1106,0,1105,104,1107,1570177,1107,22,1107,30,1108,88,1007,0,1109,2,1109,0,1110,550000,1110,0,1110,691200,1111,691200,1111,691200,1111,691200,1111,1804800,1111,1804800,1112,1804800,1112,1804800,
1103,0,1203,0,1104,3,1204,0,1205,0,1206,0,1205,104,1207,1634730,1207,36,1208,40,1209,70,1108,0,1210,2,1210,11,1210,550000,1211,0,1211,691200,1211,691200,1211,691200,1211,691200,1211,1804800,1212,1804800,1212,1804800,1212,1804800,
1203,0,1304,0,1204,3,1304,0,1305,0,1306,0,1305,104,1307,1994380,1307,72,1308,37,1308,50,1208,0,1309,2,1309,20,1310,550000,1310,0,1310,691200,1310,691200,1310,691200,1310,691200,1311,1804800,1311,1804800,1311,1804800,1311,1804800,
1304,0,1404,0,1304,3,1405,0,1406,0,1407,0,1406,104,1408,1450294,1408,27,1408,40,1409,45,1308,0,1411,2,1410,11,1411,550000,1411,0,1411,691200,1412,691200,1412,691200,1412,691200,1412,1804800,1412,1804800,1412,1804800,1412,1804800,
