App,Package,Start Time,Duration,Filename
"CellMate",edu.berkeley.cs.sdb.cellmate,"Apr 4, 2018 @ 04:36:47 PM","1 min 39 sec",""

Time  [ms],"Mobile Data State",Time  [ms],"CPU1 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"Battery Status",Time  [ms],"Bluetooth State",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",
0,0,0,12,3,3,3,7,6,4,9,5,6,104,10,1150292,9,0,11,1,12,0,12,0,14,2,14,0,14,266666,15,38,15,1305600,16,1305600,16,1305600,16,1305600,16,0,17,883200,17,0,17,883200,
65,0,99,30,66,3,101,11,102,41,104,10,103,104,105,1405083,105,36,106,40,107,62,66,0,108,2,108,33,108,550000,109,38,109,1305600,109,1305600,109,1305600,109,1305600,110,1804800,110,1804800,110,1804800,110,1804800,
100,0,200,27,101,3,201,18,203,18,204,0,203,104,205,4355035,205,25,207,45,208,90,106,0,210,2,210,90,210,550000,211,38,211,691200,211,691200,211,691200,211,691200,211,1804800,212,1804800,212,1804800,212,1804800,
200,0,300,9,202,3,302,0,303,0,305,0,304,104,306,4883214,306,27,307,11,308,100,207,0,309,2,309,100,309,550000,310,38,310,691200,310,691200,310,691200,310,691200,310,1804800,311,1804800,311,1804800,311,1804800,
301,0,400,9,302,3,401,9,402,9,403,9,402,104,404,4660353,403,11,404,30,405,66,307,0,406,2,406,100,406,550000,406,38,406,691200,407,691200,407,691200,407,691200,407,1804800,407,1804800,407,1804800,407,1804800,
400,0,501,0,401,3,502,0,503,0,504,0,503,104,505,4441081,505,10,506,27,507,18,404,0,508,2,508,90,509,550000,509,38,509,691200,509,691200,510,691200,510,691200,510,1804800,510,1804800,510,1804800,510,1804800,
501,0,602,0,502,3,603,0,605,0,606,0,605,104,606,3989212,606,22,607,18,608,54,506,0,609,2,609,40,609,550000,609,0,610,691200,610,691200,610,691200,610,691200,610,1804800,610,1804800,610,1804800,610,1804800,
602,0,701,0,604,3,703,0,703,0,705,0,704,104,706,1800722,706,60,707,30,708,10,607,0,709,2,709,10,709,550000,709,0,710,691200,710,691200,710,691200,710,691200,710,1804800,710,1804800,711,1804800,711,1804800,
702,0,802,0,703,3,803,0,804,0,805,0,804,104,806,979981,805,33,806,30,807,44,707,0,808,2,808,0,808,550000,809,0,809,691200,809,691200,809,691200,809,691200,809,1804800,809,1804800,810,1804800,810,1804800,
802,0,902,0,803,3,903,0,904,0,905,0,905,104,906,989203,906,10,907,11,908,81,806,0,909,2,909,20,910,550000,910,0,910,691200,911,691200,911,1401600,911,691200,911,1804800,912,1804800,912,1804800,912,1804800,
902,0,1002,0,903,3,1003,0,1004,0,1005,0,1005,104,1006,1551733,1006,33,1007,12,1008,50,907,0,1009,2,1009,90,1009,550000,1010,0,1010,691200,1010,691200,1010,691200,1010,691200,1011,1804800,1011,1804800,1011,1804800,1011,1804800,
1003,0,1103,0,1004,3,1104,0,1105,0,1106,0,1105,104,1107,2031267,1107,45,1108,22,1108,44,1007,0,1109,2,1109,18,1110,550000,1110,0,1110,691200,1110,691200,1110,691200,1110,691200,1111,1804800,1111,1804800,1111,1804800,1111,1804800,
1103,0,1203,0,1104,3,1204,0,1205,0,1206,0,1205,104,1207,1450294,1207,50,1208,45,1209,22,1108,0,1210,2,1210,18,1210,550000,1210,0,1210,691200,1210,691200,1211,691200,1211,691200,1211,1804800,1211,1804800,1211,1804800,1211,1804800,
