App,Package,Start Time,Duration,Filename
"CellMate",edu.berkeley.cs.sdb.cellmate,"Apr 4, 2018 @ 04:45:14 PM","1 min 46 sec",""

Time  [ms],"Mobile Data State",Time  [ms],"CPU1 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"Battery Status",Time  [ms],"Bluetooth State",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",
1,0,0,20,3,3,2,13,5,6,8,8,6,104,12,1123192,12,6,14,4,15,0,14,0,15,2,15,0,15,266666,16,32,16,1305600,17,1305600,17,1305600,17,1305600,17,883200,18,883200,18,0,18,0,
76,0,100,33,76,3,101,40,102,11,103,11,102,104,106,1447226,106,44,108,0,109,60,76,0,110,2,110,50,110,550000,111,32,111,1401600,111,691200,112,691200,112,691200,112,1804800,112,1804800,112,1804800,112,1804800,
100,0,200,10,101,3,201,0,202,0,203,0,203,104,205,3479254,204,25,205,54,206,55,108,0,207,2,207,36,208,550000,208,32,208,691200,208,691200,208,691200,209,691200,209,1804800,209,1804800,209,1804800,209,1804800,
200,0,300,0,201,3,302,0,303,0,305,0,304,104,306,3603376,306,10,307,18,308,100,206,0,309,2,309,18,309,550000,310,32,310,691200,310,691200,310,691200,310,691200,310,1804800,311,1804800,311,1804800,311,1804800,
301,0,401,9,302,3,402,0,402,0,403,0,403,104,404,3695082,404,27,405,27,406,100,307,0,407,2,406,25,407,550000,407,32,407,691200,407,691200,407,691200,407,691200,408,1804800,408,1804800,408,1804800,408,1804800,
401,0,501,0,402,3,503,0,503,0,505,0,504,104,506,3667929,505,10,506,60,507,45,405,0,509,2,508,18,509,550000,509,32,509,691200,509,691200,510,691200,510,691200,510,1804800,510,1804800,510,1804800,510,1804800,
502,0,601,0,503,3,602,0,603,0,604,0,603,104,605,3861587,605,60,606,30,606,22,507,0,607,2,607,10,607,550000,607,0,608,691200,608,691200,608,691200,608,691200,608,1804800,608,1804800,608,1804800,608,1804800,
601,0,702,0,602,3,703,0,703,0,704,0,704,104,705,1367297,705,63,706,11,707,20,606,0,708,2,708,0,708,550000,709,0,709,691200,709,691200,709,691200,709,691200,709,1804800,709,1804800,710,1804800,710,1804800,
702,0,802,0,703,3,803,0,804,0,805,0,804,104,806,998425,806,54,807,44,808,12,706,0,808,2,808,0,809,550000,809,0,809,691200,809,691200,809,691200,810,691200,810,1804800,810,1804800,810,1804800,810,1804800,
802,0,902,0,803,3,903,0,904,0,906,0,905,104,907,933872,907,22,908,18,909,70,807,0,910,2,910,0,910,550000,910,0,910,691200,911,691200,911,691200,911,691200,911,1804800,911,1804800,911,1804800,912,1804800,
902,0,1003,0,904,3,1004,0,1005,0,1005,0,1005,104,1006,1330410,1006,33,1007,90,1008,11,908,0,1009,2,1009,11,1009,550000,1009,0,1009,691200,1010,691200,1010,691200,1010,691200,1010,1804800,1010,1804800,1010,1804800,1011,1804800,
1003,0,1103,9,1004,3,1104,0,1105,0,1106,0,1105,104,1107,1680326,1107,45,1108,70,1108,11,1007,0,1109,2,1109,10,1110,550000,1110,0,1110,691200,1110,691200,1110,691200,1110,691200,1111,1804800,1111,1804800,1111,1804800,1111,1804800,
1103,0,1203,0,1104,3,1204,0,1205,0,1206,0,1205,104,1207,1422628,1207,40,1208,54,1208,50,1108,0,1209,2,1209,9,1209,550000,1210,0,1210,691200,1210,691200,1210,691200,1210,691200,1210,1804800,1211,1804800,1211,1804800,1211,1804800,
1204,0,1306,0,1204,3,1307,0,1308,0,1309,0,1308,104,1310,1634730,1310,41,1311,12,1311,58,1208,0,1312,2,1312,77,1313,550000,1313,0,1313,691200,1313,691200,1313,691200,1314,691200,1314,1804800,1314,1804800,1314,1804800,1314,1804800,
1306,0,1407,0,1307,3,1408,0,1409,0,1410,0,1409,104,1410,1671617,1410,11,1411,60,1412,10,1311,0,1413,2,1413,30,1413,550000,1414,0,1414,691200,1414,691200,1414,691200,1414,691200,1414,1804800,1415,1804800,1415,1804800,1415,1804800,
