App,Package,Start Time,Duration,Filename
"CellMate",edu.berkeley.cs.sdb.cellmate,"Apr 3, 2018 @ 05:04:18 PM","1 min 58 sec",""

Time  [ms],"Mobile Data State",Time  [ms],"CPU1 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"Battery Status",Time  [ms],"Bluetooth State",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",
0,0,0,15,2,3,2,11,4,14,6,9,4,104,7,1293506,7,0,8,0,10,4,8,0,13,2,13,4,13,266666,14,41,15,1305600,15,1305600,15,1305600,15,1305600,16,0,16,0,16,883200,17,883200,
71,0,100,50,72,3,101,11,101,0,102,30,102,104,103,1474685,103,24,104,2,105,33,73,0,106,2,106,27,107,550000,107,41,108,1401600,108,1401600,108,1401600,108,1401600,108,1804800,109,1804800,109,1804800,109,1804800,
100,0,200,10,101,3,201,9,202,0,203,9,202,104,203,3742370,203,30,204,70,205,70,104,0,206,2,206,40,207,550000,207,41,207,691200,207,691200,208,691200,208,691200,208,1804800,208,1804800,208,1804800,208,1804800,
200,0,300,0,201,3,301,0,302,0,303,0,302,104,304,4551003,304,18,305,72,306,10,204,0,307,2,307,41,307,550000,308,41,308,691200,308,691200,308,691200,308,691200,308,1804800,309,1804800,309,1804800,309,1804800,
301,0,401,0,301,3,402,0,402,0,403,0,403,104,404,4043804,404,20,405,100,406,27,305,0,407,2,407,27,407,550000,407,41,408,691200,408,691200,408,691200,408,691200,408,1804800,408,1804800,408,1804800,408,1804800,
401,0,501,0,402,3,502,0,503,0,504,0,503,104,505,4394232,504,27,505,90,506,18,405,0,507,2,507,9,507,550000,507,41,508,691200,508,691200,508,691200,508,691200,508,1804800,508,1804800,508,1804800,508,1804800,
501,0,601,0,502,3,602,0,603,0,604,0,603,104,605,4302014,605,54,605,22,606,20,505,0,607,2,607,22,607,550000,608,0,608,691200,608,691200,608,691200,608,691200,608,1804800,608,1804800,608,1804800,609,1804800,
601,0,702,0,602,3,703,0,703,0,704,0,704,104,705,1302745,705,54,706,33,707,20,605,0,708,2,708,0,708,550000,708,0,709,691200,709,691200,709,691200,709,691200,709,1804800,709,1804800,709,1804800,709,1804800,
702,0,802,0,703,3,803,0,804,0,805,0,804,104,806,1035312,806,36,807,55,808,27,706,0,809,2,809,0,809,550000,810,0,810,691200,810,691200,810,691200,810,691200,810,1804800,811,1804800,811,1804800,811,1804800,
802,0,902,0,803,3,903,0,904,0,906,0,905,104,907,1247414,907,30,908,81,909,25,807,0,910,2,910,0,910,550000,911,0,911,691200,911,691200,911,691200,912,691200,912,1804800,912,1804800,912,1804800,913,1804800,
