App,Package,Start Time,Duration,Filename
"CellMate",edu.berkeley.cs.sdb.cellmate,"Apr 3, 2018 @ 05:14:10 PM","1 min 34 sec",""

Time  [ms],"Mobile Data State",Time  [ms],"CPU1 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"Battery Status",Time  [ms],"Bluetooth State",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",
0,0,0,15,3,3,3,15,6,11,9,10,6,104,10,1218643,10,0,14,10,15,0,15,0,19,2,18,4,20,266666,21,38,21,1305600,21,1305600,22,1305600,22,1305600,22,0,22,883200,23,0,23,883200,
85,0,101,54,86,3,102,22,104,50,106,20,105,104,106,1732436,106,0,108,11,108,0,86,0,110,2,109,22,110,550000,110,0,110,691200,111,691200,111,691200,112,691200,113,0,113,1382400,114,0,115,1113600,
101,0,201,20,103,3,204,10,205,0,206,0,205,104,207,430507,207,0,208,70,208,0,108,0,209,2,209,72,209,550000,210,0,210,691200,210,691200,210,691200,210,691200,212,0,212,1305600,212,0,212,1305600,
201,0,301,37,204,3,302,30,303,36,304,30,303,104,304,1241746,304,0,304,80,305,0,208,0,305,2,305,100,305,550000,306,35,306,691200,306,691200,306,691200,306,691200,306,0,306,1804800,307,0,307,1804800,
301,0,401,18,302,3,402,10,403,0,404,0,404,104,405,4073402,405,0,405,75,405,0,304,0,406,2,406,61,406,550000,407,35,407,691200,407,691200,407,691200,407,691200,407,0,407,1804800,408,0,408,1804800,
401,0,502,20,403,3,503,0,504,18,505,0,504,104,505,3687566,505,0,506,55,506,0,405,0,507,2,507,90,507,550000,508,0,508,1401600,508,1401600,508,1401600,509,1401600,509,0,509,1113600,509,0,509,1113600,
502,0,603,14,503,3,605,33,607,12,610,22,608,104,614,1304951,612,0,615,80,616,0,506,0,618,2,617,80,618,550000,619,0,619,1305600,620,1305600,620,1305600,620,1305600,621,0,621,1804800,621,0,621,1804800,
604,0,705,45,606,3,707,40,708,20,709,27,708,104,710,2398581,710,0,711,66,711,0,615,0,713,2,712,14,713,550000,713,0,713,1017600,714,1017600,714,1017600,714,1017600,714,0,715,883200,715,0,715,883200,
705,0,806,44,707,3,808,41,809,22,811,50,810,104,811,1010157,811,0,813,10,813,0,711,0,815,2,815,0,816,550000,816,0,816,691200,817,691200,817,691200,817,691200,817,0,818,883200,818,0,818,883200,
807,0,909,50,808,3,913,44,916,50,920,50,917,104,921,629929,920,0,922,9,923,0,813,0,925,2,925,0,925,266666,926,0,926,1305600,927,1305600,927,1305600,927,1305600,927,0,928,883200,928,0,928,883200,
910,0,1009,55,913,3,1012,54,1014,60,1017,55,1015,104,1018,1442874,1018,0,1021,0,1021,0,923,0,1024,2,1023,0,1024,266666,1024,0,1025,1305600,1025,1305600,1026,1305600,1026,1305600,1026,0,1027,883200,1027,0,1028,883200,
1009,0,1147,75,1012,3,1149,53,1153,53,1155,41,1153,104,1155,1406175,1155,0,1157,0,1157,0,1021,0,1159,2,1159,0,1160,266666,1160,0,1160,1401600,1161,1401600,1161,1401600,1161,1401600,1162,0,1162,883200,1162,0,1162,883200,
1148,0,1249,44,1149,3,1253,40,1256,30,1260,50,1257,104,1260,1203715,1260,0,1262,10,1263,0,1157,0,1265,2,1265,0,1265,266666,1266,0,1266,1305600,1267,1305600,1268,1305600,1268,1305600,1269,0,1269,883200,1270,0,1270,883200,
1249,0,1349,81,1254,3,1351,77,1353,66,1356,72,1354,104,1357,1832225,1357,0,1360,10,1361,0,1262,0,1365,2,1364,0,1365,266666,1365,0,1366,1401600,1366,1401600,1366,1401600,1366,1401600,1366,0,1367,883200,1367,0,1367,883200,
