App,Package,Start Time,Duration,Filename
"CellMate",edu.berkeley.cs.sdb.cellmate,"Apr 3, 2018 @ 03:40:24 PM","2 min 30 sec",""

Time  [ms],"Mobile Data State",Time  [ms],"CPU1 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"Battery Status",Time  [ms],"Bluetooth State",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",
0,0,0,17,2,3,1,9,3,6,6,4,4,104,9,2807297,9,4,9,0,12,2,10,0,14,2,14,0,14,266666,15,38,15,1305600,15,1305600,16,1305600,16,1305600,16,883200,16,0,17,883200,17,0,
83,0,100,12,83,3,101,20,102,36,103,0,102,104,105,1394541,105,40,107,4,110,33,83,0,111,2,111,4,111,550000,112,38,113,1305600,113,1305600,113,691200,114,1401600,114,1804800,114,1804800,114,1804800,114,1804800,
100,0,201,22,101,3,203,10,203,0,205,10,204,104,206,3649536,206,54,207,50,208,81,107,0,208,2,208,50,209,550000,209,48,209,691200,209,691200,209,691200,209,691200,210,1804800,210,1804800,210,1804800,210,1804800,
201,0,301,0,203,3,302,0,303,0,305,0,303,104,306,5237838,306,45,307,30,308,63,207,0,309,2,309,11,309,550000,310,48,310,691200,310,691200,310,691200,310,691200,310,1804800,311,1804800,311,1804800,311,1804800,
301,0,401,0,302,3,403,9,404,9,405,0,404,104,406,4379184,406,25,407,33,408,50,307,0,409,2,409,70,409,550000,409,48,410,691200,410,691200,410,691200,410,691200,410,1804800,411,1804800,411,1804800,411,1804800,
402,0,501,33,403,3,502,0,503,0,505,0,504,104,507,5128370,507,54,509,44,511,40,407,0,512,2,512,54,512,550000,513,48,513,691200,513,691200,513,691200,513,691200,513,1804800,513,1804800,513,1804800,514,1804800,
502,0,602,0,502,3,603,0,604,9,605,0,604,104,606,4647129,606,22,607,20,609,22,509,0,610,2,610,22,610,550000,610,48,611,691200,611,691200,611,691200,611,691200,612,1804800,614,1804800,614,1804800,615,1804800,
602,0,702,12,603,3,704,0,705,0,710,0,706,104,712,4413339,712,70,715,72,716,54,608,0,717,2,717,58,717,550000,717,48,718,691200,718,691200,718,691200,718,691200,718,1804800,718,1804800,718,1804800,718,1804800,
702,0,802,10,704,3,803,0,804,0,806,0,805,104,808,4870445,808,0,809,12,810,50,715,0,811,2,811,44,811,550000,812,48,812,691200,812,691200,812,691200,813,691200,813,1804800,813,1804800,813,1804800,813,1804800,
802,0,903,11,804,3,904,0,905,9,907,0,905,104,908,4752041,908,63,909,54,910,44,809,0,911,2,911,54,911,550000,911,48,911,691200,911,691200,911,691200,912,691200,912,1804800,912,1804800,912,1804800,912,1804800,
903,0,1006,10,904,3,1007,0,1009,0,1010,0,1009,104,1011,4676787,1011,11,1012,20,1013,20,909,0,1014,2,1013,36,1014,550000,1014,48,1014,691200,1014,691200,1014,691200,1014,691200,1015,1804800,1015,1804800,1015,1804800,1015,1804800,
1006,0,1104,10,1007,3,1105,10,1106,9,1108,0,1107,104,1110,4216663,1109,33,1110,40,1111,30,1012,0,1112,2,1112,40,1113,550000,1113,48,1113,691200,1113,691200,1114,691200,1114,691200,1114,1804800,1114,1804800,1114,1804800,1114,1804800,
1104,0,1204,20,1105,3,1205,18,1207,11,1209,10,1208,104,1211,4626862,1210,37,1211,60,1212,60,1110,0,1213,2,1213,40,1213,550000,1213,31,1214,691200,1214,691200,1214,691200,1214,691200,1214,1804800,1214,1804800,1214,1804800,1214,1804800,
1204,0,1304,20,1205,3,1306,27,1307,0,1309,10,1307,104,1311,4162906,1311,50,1312,60,1312,63,1211,0,1313,2,1313,45,1313,550000,1314,31,1314,691200,1314,691200,1314,691200,1314,691200,1314,1804800,1314,1804800,1314,1804800,1314,1804800,
1304,0,1405,0,1306,3,1406,10,1407,0,1408,0,1407,104,1409,4023158,1408,37,1409,57,1410,55,1312,0,1411,2,1411,40,1411,550000,1411,31,1411,691200,1411,691200,1411,691200,1412,691200,1412,1804800,1412,1804800,1412,1804800,1412,1804800,
1405,0,1505,18,1406,3,1506,10,1507,10,1509,10,1507,104,1510,3840655,1510,25,1511,50,1512,60,1409,0,1512,2,1512,60,1513,550000,1513,31,1513,691200,1513,691200,1513,691200,1513,691200,1513,1804800,1513,1804800,1514,1804800,1514,1804800,
1505,0,1606,0,1506,3,1607,0,1608,9,1609,0,1608,104,1610,4196380,1610,54,1611,50,1612,44,1511,0,1613,2,1613,25,1613,550000,1613,31,1613,691200,1614,691200,1614,691200,1614,691200,1614,1804800,1614,1804800,1614,1804800,1614,1804800,
1606,0,1706,10,1607,3,1707,10,1708,10,1709,0,1708,104,1710,3767906,1710,54,1711,40,1711,28,1611,0,1712,2,1712,33,1712,550000,1713,31,1713,691200,1713,691200,1713,691200,1713,691200,1713,1804800,1713,1804800,1713,1804800,1713,1804800,
1706,0,1806,0,1707,3,1807,10,1808,0,1810,9,1809,104,1812,3266457,1812,20,1813,54,1814,63,1711,0,1814,2,1814,63,1815,550000,1815,31,1815,691200,1815,691200,1815,691200,1815,691200,1815,1804800,1816,1804800,1816,1804800,1816,1804800,
1806,0,1906,0,1807,3,1907,10,1908,0,1909,0,1909,104,1910,4069267,1910,30,1911,28,1911,33,1813,0,1912,2,1912,70,1913,550000,1913,31,1913,691200,1913,691200,1913,691200,1913,691200,1913,1804800,1913,1804800,1914,1804800,1914,1804800,
1907,0,2007,18,1908,3,2008,18,2009,10,2010,18,2009,104,2013,3817201,2013,40,2014,60,2015,33,1911,0,2016,2,2016,45,2016,550000,2016,31,2017,691200,2018,691200,2018,691200,2018,691200,2018,1804800,2018,1804800,2018,1804800,2018,1804800,
2007,0,2108,54,2008,3,2108,40,2109,22,2110,40,2109,104,2111,3972829,2110,30,2111,63,2112,0,2014,0,2113,2,2113,22,2113,550000,2114,31,2114,1305600,2114,1305600,2114,1305600,2114,1305600,2114,1804800,2114,1804800,2114,0,2115,1804800,
2108,0,2209,72,2108,3,2210,63,2211,66,2213,54,2211,104,2213,4265352,2213,0,2215,20,2215,0,2112,0,2216,2,2216,9,2216,432000,2217,31,2217,1401600,2217,1401600,2217,1401600,2218,1401600,2218,0,2218,883200,2218,0,2218,883200,
2209,0,2309,66,2210,3,2310,63,2310,37,2311,50,2310,104,2312,2852891,2311,0,2313,40,2313,0,2215,0,2314,2,2314,62,2314,432000,2315,31,2315,1401600,2315,1401600,2316,1401600,2317,1401600,2318,0,2318,883200,2318,0,2319,883200,
2309,0,2410,60,2310,3,2412,75,2413,66,2414,80,2413,104,2415,3455526,2415,0,2416,40,2416,0,2313,0,2417,2,2417,0,2418,300000,2418,31,2418,1401600,2418,1401600,2419,1401600,2419,1401600,2419,0,2419,883200,2420,0,2420,883200,
2411,0,2510,55,2412,3,2510,44,2511,50,2512,63,2511,104,2512,2292268,2512,0,2513,27,2513,0,2416,0,2514,2,2513,80,2514,266666,2514,31,2514,1305600,2514,1305600,2514,1305600,2514,1305600,2515,0,2515,1612800,2515,0,2515,1612800,
2510,0,2611,55,2510,3,2614,54,2616,54,2618,50,2617,104,2619,2739364,2619,0,2621,0,2621,0,2513,0,2623,2,2623,20,2623,266666,2624,31,2624,1401600,2624,1401600,2625,1401600,2625,1401600,2625,0,2625,883200,2626,0,2626,883200,
2612,0,2712,66,2614,3,2714,60,2715,70,2717,75,2716,104,2718,2472771,2718,0,2720,36,2720,0,2621,0,2722,2,2722,40,2723,266666,2723,31,2724,1401600,2724,1401600,2725,1401600,2725,1401600,2725,0,2726,1804800,2726,0,2726,1804800,
2712,0,2821,72,2714,3,2823,72,2825,58,2827,66,2825,104,2827,3097837,2827,0,2829,0,2830,0,2720,0,2832,2,2832,10,2832,266666,2833,31,2833,1401600,2834,1401600,2834,1401600,2834,1401600,2835,0,2835,1804800,2835,0,2835,1804800,
2822,0,2914,77,2823,3,2916,81,2918,88,2920,77,2918,104,2920,2820922,2920,0,2922,11,2922,0,2829,0,2924,2,2923,50,2924,266666,2924,31,2925,1401600,2925,1401600,2925,1401600,2925,1401600,2926,0,2926,1804800,2926,0,2926,1804800,
2914,0,3015,44,2916,3,3017,66,3019,70,3021,44,3019,104,3021,2694129,3021,0,3023,10,3023,0,2922,0,3025,2,3025,50,3025,266666,3026,31,3026,1401600,3026,1401600,3027,1401600,3027,1401600,3027,0,3028,1382400,3028,0,3028,1382400,
3015,0,3116,55,3017,3,3118,37,3119,50,3121,28,3120,104,3122,2159645,3122,0,3124,20,3125,0,3023,0,3126,2,3126,20,3127,266666,3127,31,3128,1401600,3128,1401600,3129,1401600,3129,1401600,3129,0,3130,1382400,3130,0,3130,1382400,
3116,0,3217,42,3118,3,3219,50,3221,63,3223,42,3221,104,3223,2204579,3223,0,3225,0,3225,0,3124,0,3227,2,3226,50,3227,266666,3228,31,3228,1401600,3229,1401600,3229,1401600,3229,1401600,3230,0,3230,1382400,3231,0,3231,1382400,
3217,0,3318,50,3219,3,3320,44,3322,66,3324,58,3323,104,3325,2390194,3325,0,3327,0,3327,0,3225,0,3329,2,3329,30,3329,266666,3330,42,3331,1305600,3331,1305600,3332,1305600,3333,1305600,3333,0,3334,883200,3336,0,3336,883200,
