App,Package,Start Time,Duration,Filename
"CellMate",edu.berkeley.cs.sdb.cellmate,"Apr 3, 2018 @ 05:25:20 PM","1 min 42 sec",""

Time  [ms],"Mobile Data State",Time  [ms],"CPU1 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"Battery Status",Time  [ms],"Bluetooth State",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",
0,0,0,27,4,3,4,19,7,16,11,4,8,104,13,1185211,13,1,16,0,16,0,16,0,17,2,17,0,17,300000,18,53,18,1305600,19,1305600,19,1305600,19,1305600,19,883200,20,883200,20,0,20,0,
75,0,101,40,75,3,105,27,107,28,109,10,108,104,110,2076811,110,45,111,50,112,45,75,0,113,2,113,62,113,550000,114,45,114,691200,114,691200,114,691200,115,1401600,115,1804800,115,1804800,115,1804800,116,1804800,
102,0,200,11,105,3,202,0,203,10,204,11,203,104,206,5023998,205,54,207,55,208,57,111,0,209,2,209,69,210,550000,210,45,210,1305600,210,1305600,210,1190400,211,1190400,211,1804800,211,1804800,211,1804800,211,1804800,
200,0,301,0,202,3,302,0,303,0,305,0,304,104,306,4823597,306,20,307,50,308,54,207,0,309,2,309,30,310,550000,310,45,310,691200,310,691200,310,691200,310,691200,310,1804800,311,1804800,311,1804800,311,1804800,
301,0,401,10,302,3,402,0,403,0,404,9,403,104,404,4446469,404,22,405,66,406,33,308,0,407,2,407,25,407,550000,407,45,407,691200,408,691200,408,691200,408,691200,408,1804800,408,1804800,408,1804800,408,1804800,
401,0,503,11,402,3,505,10,506,0,507,0,506,104,507,4708664,507,60,508,50,509,54,405,0,510,2,509,50,510,550000,510,45,510,691200,510,691200,510,691200,510,691200,511,1804800,511,1804800,511,1804800,511,1804800,
504,0,602,0,505,3,603,0,604,0,605,0,604,104,606,4694491,605,33,606,12,607,44,508,0,608,2,608,0,608,550000,609,45,609,691200,609,691200,609,691200,609,691200,609,1804800,609,1804800,610,1804800,610,1804800,
602,0,702,20,603,3,703,0,704,0,705,10,704,104,705,3850524,705,33,707,45,709,63,607,0,710,2,710,33,710,550000,710,45,710,691200,710,691200,710,691200,711,691200,711,1804800,711,1804800,711,1804800,711,1804800,
703,0,804,0,703,3,807,0,808,0,809,0,808,104,810,4546942,810,30,811,38,812,12,708,0,813,2,813,11,814,550000,814,45,814,691200,815,691200,815,691200,815,691200,815,1804800,815,1804800,815,1804800,815,1804800,
805,0,904,12,807,3,906,18,908,20,909,0,908,104,910,4240799,910,66,911,77,912,50,811,0,912,2,912,66,913,550000,913,45,913,1401600,913,1401600,913,1401600,913,1401600,913,1804800,914,1804800,914,1804800,914,1804800,
905,0,1006,0,907,3,1007,0,1007,0,1009,0,1008,104,1010,5026476,1010,30,1010,11,1011,12,911,0,1012,2,1012,30,1012,550000,1012,45,1013,691200,1013,691200,1013,691200,1013,691200,1013,1804800,1013,1804800,1013,1804800,1013,1804800,
1006,0,1106,0,1007,3,1109,0,1111,0,1112,0,1111,104,1113,3735423,1113,30,1113,25,1114,36,1011,0,1115,2,1115,30,1115,550000,1115,45,1115,691200,1115,691200,1115,691200,1115,691200,1116,1804800,1116,1804800,1116,1804800,1116,1804800,
1106,0,1207,11,1109,3,1210,0,1211,9,1212,0,1211,104,1213,4079589,1213,25,1214,40,1214,45,1113,0,1215,2,1215,30,1215,550000,1216,30,1216,691200,1216,691200,1216,691200,1216,691200,1216,1804800,1216,1804800,1217,1804800,1217,1804800,
1207,0,1309,27,1210,3,1310,20,1311,20,1312,18,1311,104,1313,3834695,1313,60,1314,60,1314,50,1214,0,1315,2,1315,100,1315,550000,1316,30,1316,1401600,1316,1401600,1316,1401600,1316,1401600,1316,1804800,1316,1804800,1317,1804800,1317,1804800,
1310,0,1409,10,1310,3,1410,10,1411,0,1412,10,1411,104,1413,4584034,1413,45,1413,50,1414,54,1314,0,1415,2,1415,57,1415,550000,1416,30,1416,691200,1416,691200,1416,691200,1416,691200,1416,1804800,1416,1804800,1417,1804800,1417,1804800,
1409,0,1509,18,1410,3,1510,0,1511,10,1512,10,1511,104,1513,4017711,1513,44,1514,70,1514,58,1413,0,1515,2,1515,40,1515,550000,1516,30,1516,691200,1516,691200,1516,691200,1516,691200,1516,1804800,1516,1804800,1516,1804800,1516,1804800,
1509,0,1610,10,1510,3,1611,10,1612,0,1613,0,1612,104,1614,4055623,1614,45,1615,40,1616,55,1514,0,1617,2,1617,36,1617,550000,1618,30,1618,691200,1618,691200,1619,691200,1619,691200,1619,1804800,1619,1804800,1619,1804800,1619,1804800,
