App,Package,Start Time,Duration,Filename
"CellMate",edu.berkeley.cs.sdb.cellmate,"Apr 3, 2018 @ 05:19:07 PM","2 min 4 sec",""

Time  [ms],"Mobile Data State",Time  [ms],"CPU1 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"Battery Status",Time  [ms],"Bluetooth State",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",
1,0,0,13,3,3,2,8,4,7,7,4,5,104,7,1007111,7,0,8,0,10,6,8,0,12,2,12,1,13,266666,14,35,14,1401600,14,1401600,15,1401600,15,1401600,15,0,15,0,16,883200,16,883200,
61,0,101,45,79,3,103,37,104,11,105,11,105,104,106,1501063,106,57,107,38,108,60,79,0,109,2,109,45,110,550000,110,35,110,1401600,111,1401600,111,1401600,111,1401600,111,1804800,111,1804800,112,1804800,112,1804800,
101,0,201,30,103,3,202,27,203,0,204,0,203,104,206,4361405,206,37,207,54,208,72,107,0,208,2,208,60,209,550000,209,35,209,691200,209,691200,209,691200,209,691200,209,1804800,210,1804800,210,1804800,210,1804800,
201,0,301,0,202,3,303,0,305,0,306,0,305,104,307,4423377,307,38,308,30,309,83,207,0,310,2,310,0,310,550000,310,35,310,691200,310,691200,310,691200,311,691200,311,1804800,311,1804800,311,1804800,311,1804800,
302,0,402,0,304,3,402,0,403,0,404,0,404,104,405,3630302,405,25,406,40,407,62,308,0,408,2,408,40,408,550000,408,35,409,691200,409,691200,409,691200,409,691200,409,1804800,409,1804800,409,1804800,409,1804800,
402,0,536,15,403,3,537,7,538,0,539,7,538,104,540,4186056,540,50,540,46,541,46,406,0,542,2,542,30,542,550000,543,0,543,691200,543,691200,543,691200,543,691200,543,1804800,544,1804800,544,1804800,544,1804800,
537,0,639,20,537,3,640,10,641,25,642,10,642,104,644,1838005,643,40,644,22,645,40,540,0,646,2,646,30,647,550000,647,0,647,1305600,647,1305600,648,1305600,648,1305600,648,1804800,648,1804800,649,1804800,649,1804800,
639,0,739,0,640,3,740,11,740,11,741,10,741,104,742,1695831,742,50,743,50,744,55,644,0,745,2,744,60,745,550000,745,0,745,691200,745,691200,745,691200,745,691200,745,1804800,745,1804800,746,1804800,746,1804800,
739,0,839,10,740,3,840,10,841,18,841,18,841,104,842,2216611,842,40,843,37,844,45,743,0,845,2,845,22,845,550000,845,0,845,691200,846,691200,846,691200,846,691200,846,1804800,846,1804800,846,1804800,846,1804800,
839,0,939,41,840,3,940,27,941,22,942,30,941,104,943,2104353,943,75,943,66,944,72,843,0,945,2,945,61,945,550000,945,0,945,691200,946,691200,946,691200,946,691200,946,1804800,946,1804800,946,1804800,946,1804800,
939,0,1044,18,940,3,1045,0,1046,0,1047,0,1046,104,1047,2509776,1047,46,1048,27,1049,41,943,0,1050,2,1050,33,1051,550000,1052,0,1053,691200,1053,691200,1053,691200,1054,691200,1054,1804800,1054,1804800,1055,1804800,1055,1804800,
1044,0,1142,0,1045,3,1143,11,1143,0,1144,0,1144,104,1145,1509096,1145,37,1146,50,1147,37,1048,0,1147,2,1147,50,1148,550000,1148,30,1148,691200,1148,691200,1148,691200,1148,691200,1148,1804800,1148,1804800,1148,1804800,1149,1804800,
1142,0,1242,11,1143,3,1243,11,1244,11,1245,18,1244,104,1246,3831509,1246,45,1247,55,1248,50,1146,0,1249,2,1248,50,1249,550000,1249,30,1250,1305600,1250,1305600,1250,1305600,1250,691200,1250,1804800,1250,1804800,1251,1804800,1251,1804800,
1242,0,1342,30,1243,3,1343,22,1344,20,1345,22,1344,104,1346,4519849,1346,66,1347,44,1348,70,1247,0,1348,2,1348,66,1349,550000,1349,30,1349,691200,1349,691200,1349,691200,1349,691200,1350,1804800,1350,1804800,1350,1804800,1350,1804800,
1343,0,1443,22,1344,3,1444,20,1445,22,1445,18,1445,104,1446,4372805,1446,54,1447,50,1448,60,1347,0,1448,2,1448,55,1449,550000,1449,30,1449,691200,1449,691200,1449,691200,1449,691200,1450,1804800,1450,1804800,1450,1804800,1450,1804800,
1443,0,1543,30,1444,3,1544,10,1545,11,1546,11,1545,104,1546,4037861,1546,37,1547,50,1548,60,1447,0,1549,2,1549,40,1549,550000,1549,30,1550,691200,1550,691200,1550,691200,1550,691200,1550,1804800,1551,1804800,1551,1804800,1551,1804800,
1543,0,1644,27,1544,3,1645,27,1646,10,1647,18,1646,104,1647,4151482,1647,60,1648,72,1649,58,1547,0,1650,2,1650,50,1650,550000,1651,30,1651,691200,1651,691200,1651,691200,1651,691200,1652,1804800,1652,1804800,1652,1804800,1652,1804800,
1644,0,1744,0,1645,3,1745,10,1746,0,1747,0,1746,104,1747,3731381,1747,0,1748,33,1749,22,1648,0,1750,2,1749,25,1750,550000,1750,30,1750,691200,1751,691200,1751,691200,1751,691200,1751,1804800,1751,1804800,1751,1804800,1751,1804800,
1744,0,1845,11,1745,3,1846,10,1847,0,1848,10,1847,104,1849,3256798,1848,44,1849,37,1850,28,1748,0,1851,2,1851,22,1851,550000,1851,30,1852,691200,1852,691200,1852,691200,1852,691200,1852,1804800,1852,1804800,1853,1804800,1853,1804800,
1845,0,1945,20,1846,3,1946,0,1947,0,1948,0,1947,104,1949,3299435,1949,44,1949,40,1950,33,1849,0,1951,2,1951,25,1951,550000,1952,30,1952,691200,1952,691200,1952,691200,1953,691200,1953,1804800,1953,1804800,1954,1804800,1954,1804800,
1945,0,2046,10,1947,3,2047,18,2048,0,2048,0,2048,104,2049,3315374,2049,33,2050,25,2051,37,1950,0,2052,2,2051,44,2052,550000,2052,30,2053,691200,2053,691200,2053,691200,2053,691200,2054,1804800,2054,1804800,2074,1804800,2075,1804800,
2046,0,2147,50,2047,3,2149,40,2151,50,2154,54,2152,104,2155,3415553,2155,0,2157,0,2160,33,2050,0,2162,2,2162,25,2162,480000,2163,29,2164,1401600,2164,1401600,2164,1401600,2164,1401600,2165,0,2165,0,2165,1804800,2165,1804800,
2148,0,2250,81,2150,3,2252,83,2255,83,2257,76,2255,104,2258,4099887,2258,0,2258,0,2260,40,2157,0,2262,2,2261,10,2262,480000,2262,29,2262,1305600,2263,1305600,2263,1305600,2263,1305600,2263,0,2264,0,2264,1612800,2264,1612800,
2250,0,2349,37,2252,3,2351,60,2352,60,2354,37,2353,104,2355,3039275,2355,0,2356,0,2357,40,2258,0,2359,2,2359,0,2359,300000,2360,29,2361,1401600,2361,1401600,2361,1401600,2361,1401600,2361,0,2362,0,2362,883200,2362,883200,
2350,0,2450,60,2351,3,2452,42,2454,70,2457,42,2455,104,2457,2260224,2457,0,2458,0,2459,0,2356,0,2461,2,2461,0,2462,300000,2462,29,2462,1401600,2462,1401600,2463,1401600,2463,1401600,2463,0,2463,0,2463,883200,2464,883200,
2450,0,2551,60,2452,3,2553,63,2555,55,2557,55,2555,104,2557,2259425,2557,0,2558,0,2559,0,2458,0,2561,2,2561,0,2561,266666,2562,29,2562,1401600,2562,1401600,2563,1401600,2563,1401600,2563,0,2563,0,2564,883200,2564,883200,
2551,0,2652,60,2553,3,2654,57,2656,70,2658,66,2656,104,2658,2269993,2658,0,2659,0,2660,63,2558,0,2662,2,2662,0,2662,266666,2663,29,2663,1401600,2663,1401600,2664,1401600,2664,1401600,2664,0,2664,0,2664,1382400,2665,1382400,
