App,Package,Start Time,Duration,Filename
"CellMate",edu.berkeley.cs.sdb.cellmate,"Apr 3, 2018 @ 05:16:14 PM","2 min 42 sec",""

Time  [ms],"Mobile Data State",Time  [ms],"CPU1 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"Battery Status",Time  [ms],"Bluetooth State",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",
0,0,0,7,2,3,2,4,4,3,7,1,5,104,8,810458,7,0,9,2,10,0,10,0,12,2,11,0,12,266666,12,37,13,1401600,13,1401600,13,1401600,13,1401600,14,0,14,883200,14,0,14,883200,
86,0,100,22,86,3,101,45,102,20,103,10,102,104,104,1480935,104,14,105,40,106,17,87,0,107,2,107,22,107,550000,107,37,108,1401600,108,1401600,108,1401600,108,1401600,109,1804800,109,1804800,109,1804800,109,1804800,
100,0,199,30,101,3,201,11,201,20,203,10,202,104,204,4097996,204,50,205,60,206,55,105,0,207,2,206,75,207,550000,207,37,207,1401600,207,1401600,207,1401600,207,1401600,208,1804800,208,1804800,208,1804800,208,1804800,
200,0,300,0,201,3,302,0,303,0,304,0,303,104,304,4481288,304,27,305,27,306,27,205,0,307,2,307,90,307,550000,307,37,308,691200,308,691200,308,691200,308,691200,308,1804800,308,1804800,309,1804800,309,1804800,
301,0,400,0,302,3,401,0,402,0,402,0,402,104,403,4140082,403,36,404,12,405,30,305,0,406,2,406,90,406,550000,407,37,407,1305600,407,1305600,407,1305600,407,1305600,407,1804800,408,1804800,408,1804800,408,1804800,
400,0,500,27,401,3,501,0,502,11,503,10,502,104,504,4360838,504,44,506,60,507,60,404,0,508,2,508,58,508,550000,509,37,509,1305600,509,691200,510,691200,510,691200,510,1804800,510,1804800,510,1804800,511,1804800,
500,0,600,0,501,3,602,0,603,0,604,0,603,104,606,4352183,605,25,606,12,608,30,506,0,612,2,609,11,613,550000,616,37,617,691200,618,691200,618,691200,619,691200,619,1804800,620,1804800,620,1804800,620,1804800,
601,0,701,22,602,3,702,0,703,20,705,0,703,104,706,3605898,705,60,706,57,707,66,607,0,708,2,708,77,709,550000,709,37,710,1305600,710,1305600,710,1305600,710,1305600,711,1804800,711,1804800,711,1804800,711,1804800,
701,0,801,11,702,3,802,0,803,0,804,0,803,104,805,4752433,805,40,806,36,807,14,706,0,808,2,808,40,808,550000,809,45,809,691200,809,691200,809,691200,810,691200,810,1804800,810,1804800,810,1804800,810,1804800,
801,0,902,33,802,3,903,20,904,18,904,10,904,104,905,4606880,905,70,906,55,906,69,806,0,907,2,907,75,907,550000,908,45,908,691200,908,691200,908,691200,908,691200,909,1804800,909,1804800,909,1804800,909,1804800,
