App,Package,Start Time,Duration,Filename
"CellMate",edu.berkeley.cs.sdb.cellmate,"Dec 8, 2017 @ 03:15:04 PM","1 min 47 sec",""

Time  [ms],"Mobile Data State",Time  [ms],"CPU1 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"Battery Status",Time  [ms],"Bluetooth State",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",
0,0,0,16,2,3,2,15,4,6,7,11,4,118,12,1267942,12,34,15,16,15,0,15,0,16,0,16,0,16,266666,17,50,17,1305600,17,1017600,18,1017600,18,1017600,19,883200,19,883200,20,0,20,0,
83,0,99,45,84,3,100,12,103,25,106,25,104,118,109,1762304,109,33,110,33,112,5,84,0,112,0,112,58,113,550000,113,27,113,691200,113,691200,113,806400,114,806400,114,1804800,114,1804800,114,1804800,114,1804800,
99,0,200,10,101,3,201,0,201,0,203,0,202,118,204,3263028,204,50,205,70,206,33,111,0,207,0,207,70,208,550000,208,27,208,691200,209,691200,209,691200,209,691200,209,1804800,209,1804800,210,1804800,210,1804800,
200,0,300,0,201,3,301,0,301,0,302,0,302,118,303,3694974,303,22,304,20,306,33,205,0,307,0,307,20,307,550000,307,27,307,691200,307,691200,308,691200,308,691200,308,1804800,308,1804800,308,1804800,308,1804800,
300,0,400,0,301,3,401,0,402,0,402,0,402,118,404,2735906,404,18,405,0,405,18,305,0,406,0,406,27,406,550000,407,27,407,691200,407,691200,407,691200,407,691200,407,1804800,407,1804800,407,1804800,407,1804800,
400,0,500,0,401,3,501,0,502,0,503,0,502,118,505,2477695,505,18,505,10,506,18,405,0,507,0,507,0,507,550000,508,27,508,691200,508,691200,508,691200,508,691200,508,1804800,508,1804800,508,1804800,509,1804800,
501,0,601,0,501,3,602,0,602,0,604,0,603,118,605,2247150,605,10,606,11,606,0,506,0,607,0,607,10,608,550000,608,0,608,691200,608,691200,609,691200,609,691200,609,1804800,609,1804800,609,1804800,609,1804800,
601,0,701,9,602,3,702,9,702,0,703,0,703,118,704,823405,704,38,705,0,706,10,606,0,706,0,706,0,707,550000,707,0,707,691200,707,691200,707,691200,707,691200,707,1804800,708,1804800,708,1804800,708,1804800,
701,0,801,0,702,3,802,0,803,0,804,0,803,118,805,418671,805,9,806,0,806,35,705,0,807,0,807,0,808,550000,808,0,808,691200,808,691200,808,691200,809,691200,809,1804800,809,1804800,809,1804800,809,1804800,
801,0,901,20,802,3,902,20,904,10,905,0,904,118,906,1219144,905,60,906,66,907,63,806,0,908,0,908,58,908,550000,909,0,909,691200,909,691200,909,691200,909,691200,909,1804800,910,1804800,910,1804800,910,1804800,
902,0,1002,0,903,3,1003,0,1003,0,1007,0,1004,118,1009,2373694,1009,44,1010,25,1011,33,907,0,1012,0,1011,30,1012,550000,1012,0,1012,691200,1013,691200,1013,691200,1013,691200,1013,1804800,1013,1804800,1013,1804800,1014,1804800,
1002,0,1104,20,1003,3,1106,0,1107,10,1109,20,1108,118,1113,1707900,1112,60,1115,54,1116,50,1010,0,1116,0,1116,63,1117,550000,1117,0,1117,1017600,1117,1017600,1117,1017600,1117,1017600,1117,1804800,1117,1804800,1117,1804800,1118,1804800,
1104,0,1203,0,1106,3,1204,0,1205,0,1207,10,1206,118,1209,2160679,1209,37,1210,33,1212,25,1115,0,1213,0,1213,33,1214,550000,1214,0,1214,1305600,1215,1305600,1215,1305600,1215,1305600,1215,1804800,1215,1804800,1216,1804800,1216,1804800,
1203,0,1303,12,1204,3,1304,11,1304,0,1305,10,1304,118,1306,1785414,1306,57,1307,60,1308,42,1211,0,1309,0,1309,63,1309,550000,1310,0,1310,691200,1311,691200,1311,691200,1311,691200,1311,1804800,1311,1804800,1311,1804800,1311,1804800,
1303,0,1403,0,1304,3,1404,0,1405,0,1406,0,1405,118,1408,2170814,1408,44,1410,37,1411,62,1307,0,1411,0,1411,44,1411,550000,1412,0,1412,691200,1412,691200,1412,691200,1412,691200,1413,1804800,1413,1804800,1413,1804800,1413,1804800,
1403,0,1504,25,1404,3,1504,0,1505,9,1506,0,1505,118,1508,1998786,1508,40,1510,33,1511,45,1410,0,1512,0,1511,45,1512,550000,1512,0,1512,691200,1512,691200,1512,691200,1512,691200,1512,1804800,1513,1804800,1513,1804800,1513,1804800,
1504,0,1604,20,1504,3,1605,27,1605,18,1607,10,1606,118,1608,1942144,1608,45,1611,54,1612,45,1510,0,1613,0,1613,44,1613,550000,1614,31,1614,691200,1614,691200,1614,691200,1614,691200,1615,1804800,1615,1804800,1615,1804800,1615,1804800,
1604,0,1705,14,1605,3,1706,30,1707,20,1708,20,1707,118,1710,4199474,1710,62,1713,72,1714,60,1611,0,1715,0,1714,66,1715,550000,1715,31,1715,1305600,1715,1305600,1715,1305600,1716,1305600,1716,1804800,1716,1804800,1716,1804800,1716,1804800,
1705,0,1805,22,1706,3,1806,0,1807,10,1809,0,1807,118,1811,4747969,1810,66,1812,88,1813,55,1713,0,1814,0,1814,55,1815,550000,1815,31,1815,691200,1816,1305600,1816,1401600,1816,1401600,1817,1804800,1817,1804800,1817,1804800,1817,1804800,
1805,0,1905,0,1806,3,1906,0,1907,0,1908,0,1907,118,1910,4382548,1910,45,1912,33,1913,25,1813,0,1914,0,1914,25,1914,550000,1915,31,1915,691200,1915,691200,1915,691200,1915,691200,1916,1804800,1916,1804800,1916,1804800,1916,1804800,
1905,0,2005,10,1906,3,2006,11,2007,0,2009,0,2007,118,2011,3253218,2010,33,2013,50,2014,40,1912,0,2015,0,2015,36,2015,550000,2015,31,2015,691200,2016,691200,2016,691200,2016,691200,2016,1804800,2016,1804800,2016,1804800,2016,1804800,
2006,0,2107,41,2006,3,2109,36,2110,33,2113,30,2111,118,2114,3582521,2114,0,2115,0,2116,22,2013,0,2118,0,2118,0,2119,480000,2119,31,2120,1401600,2120,1401600,2121,1401600,2121,1401600,2121,0,2122,0,2122,998400,2122,998400,
2107,0,2208,55,2109,3,2210,75,2214,54,2218,66,2215,118,2219,3327136,2218,0,2219,0,2221,0,2115,0,2223,0,2222,0,2223,432000,2224,31,2225,1401600,2225,1401600,2225,1401600,2226,1401600,2226,0,2227,0,2227,883200,2227,883200,
2208,0,2308,70,2211,3,2310,75,2314,62,2317,63,2315,118,2318,3123808,2318,0,2318,0,2320,0,2219,0,2322,0,2322,0,2322,300000,2323,31,2323,1401600,2324,1401600,2324,1401600,2325,1401600,2325,0,2325,0,2326,883200,2326,883200,
2309,0,2409,70,2311,3,2411,60,2413,44,2415,66,2413,118,2416,2374636,2415,0,2416,0,2418,0,2319,0,2419,0,2419,0,2420,266666,2421,31,2421,1401600,2421,1401600,2422,1401600,2422,1401600,2422,0,2422,0,2422,883200,2423,883200,
2409,0,2510,55,2411,3,2513,62,2516,66,2521,55,2517,118,2521,2244923,2521,0,2522,0,2523,72,2416,0,2525,0,2525,9,2525,266666,2526,31,2526,1401600,2527,1401600,2527,1401600,2527,1401600,2527,0,2528,0,2528,1612800,2528,1612800,
2510,0,2611,80,2513,3,2615,87,2618,75,2620,50,2618,118,2621,3187954,2620,0,2621,0,2623,63,2522,0,2625,0,2625,33,2626,266666,2626,35,2627,1401600,2627,1401600,2628,1401600,2628,1401600,2629,0,2629,0,2629,1804800,2630,1804800,
2611,0,2713,72,2615,3,2716,70,2719,70,2721,60,2719,118,2722,3408316,2721,0,2722,0,2724,58,2622,0,2726,0,2726,9,2726,266666,2727,35,2727,1401600,2728,1401600,2728,1401600,2729,1401600,2729,0,2729,0,2729,883200,2730,883200,
2713,0,2813,70,2717,3,2817,63,2818,63,2820,55,2819,118,2821,2589651,2821,0,2821,0,2824,66,2723,0,2825,0,2825,0,2826,266666,2826,35,2827,1401600,2827,1401600,2828,1401600,2828,1401600,2828,0,2829,0,2829,1612800,2829,1612800,
2814,0,2913,60,2817,3,2915,70,2916,80,2918,69,2917,118,2919,3068258,2919,0,2920,0,2921,55,2822,0,2924,0,2924,0,2924,266666,2925,35,2926,1401600,2926,1401600,2926,1401600,2927,1401600,2927,0,2928,0,2928,883200,2929,883200,
2913,0,3014,60,2915,3,3015,66,3017,70,3018,50,3017,118,3018,2524876,3018,0,3018,0,3019,72,2920,0,3021,0,3021,20,3021,266666,3021,35,3021,1401600,3022,1401600,3022,1401600,3022,1401600,3022,0,3022,0,3023,998400,3023,998400,
3014,0,3116,70,3016,3,3118,62,3121,60,3125,66,3122,118,3126,2759775,3125,0,3126,0,3128,63,3019,0,3130,0,3130,41,3130,266666,3131,35,3131,1401600,3132,1401600,3132,1401600,3134,1401600,3134,0,3134,0,3134,940800,3135,940800,
3116,0,3216,70,3119,3,3219,63,3221,50,3223,60,3221,118,3224,2678980,3223,0,3224,0,3225,72,3126,0,3227,0,3227,0,3228,266666,3228,35,3229,1401600,3229,1401600,3230,1401600,3230,1401600,3230,0,3231,0,3231,1382400,3231,1382400,
3217,0,3316,55,3219,3,3318,70,3320,50,3322,55,3320,118,3322,2694193,3322,0,3323,0,3325,60,3224,0,3328,0,3327,18,3328,266666,3329,35,3330,1401600,3330,1401600,3331,1401600,3331,1401600,3331,0,3332,0,3332,1382400,3334,1382400,
3316,0,3417,70,3318,3,3419,70,3421,66,3424,55,3421,118,3425,2916539,3424,0,3425,0,3427,55,3323,0,3429,0,3429,0,3430,266666,3430,35,3431,1401600,3431,1401600,3431,1401600,3432,1401600,3432,0,3432,0,3432,1382400,3434,1382400,
