App,Package,Start Time,Duration,Filename
"CellMate",edu.berkeley.cs.sdb.cellmate,"Dec 8, 2017 @ 03:04:33 PM","1 min 3 sec",""

Time  [ms],"Mobile Data State",Time  [ms],"CPU1 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"Battery Status",Time  [ms],"Bluetooth State",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",
0,0,0,24,1,3,1,19,2,12,3,3,2,118,4,836607,4,1,5,44,6,0,5,0,8,0,8,25,8,550000,8,36,9,691200,9,691200,9,691200,9,691200,9,1804800,9,1804800,10,1804800,10,1804800,
17,0,47,0,17,3,48,20,49,0,50,16,50,118,51,3893582,51,80,52,80,53,50,18,0,54,0,54,60,54,550000,55,36,55,1190400,55,1190400,55,691200,55,691200,55,1804800,56,1804800,56,1804800,56,1804800,
47,0,146,0,48,3,148,0,149,0,151,0,149,118,152,4605712,152,44,153,50,154,60,52,0,155,0,155,54,156,550000,156,36,156,691200,156,691200,156,691200,157,691200,157,1804800,157,1804800,157,1804800,157,1804800,
147,0,247,9,148,3,248,0,249,0,249,0,249,118,250,3978117,250,0,251,36,252,33,153,0,252,0,252,30,252,550000,253,36,253,691200,253,691200,253,691200,253,691200,253,1804800,253,1804800,253,1804800,254,1804800,
247,0,347,0,248,3,348,0,349,0,350,0,349,118,351,3545204,351,20,352,20,353,25,251,0,354,0,353,30,354,550000,354,36,354,691200,355,691200,355,691200,355,691200,355,1804800,355,1804800,355,1804800,356,1804800,
347,0,447,10,348,3,448,0,449,0,449,0,449,118,450,3436022,450,30,451,36,451,22,352,0,452,0,452,18,452,550000,453,36,453,691200,453,691200,453,691200,453,691200,453,1804800,453,1804800,453,1804800,453,1804800,
447,0,547,0,448,3,548,0,549,0,550,0,549,118,550,3148667,550,0,551,0,552,0,451,0,552,0,552,0,553,550000,553,36,553,691200,553,691200,553,691200,553,691200,553,1804800,554,1804800,554,1804800,554,1804800,
548,0,653,10,548,3,654,0,655,0,656,0,655,118,657,3021041,657,60,658,60,659,44,551,0,660,0,660,50,660,550000,661,36,661,806400,661,691200,661,1305600,661,1401600,662,1804800,662,1804800,662,1804800,662,1804800,
653,0,786,0,654,3,787,0,788,0,788,7,788,118,789,4076180,789,18,790,30,791,33,658,0,792,0,792,10,792,550000,792,0,793,691200,793,691200,793,691200,793,1305600,793,1804800,793,1804800,794,1804800,794,1804800,
786,0,886,20,787,3,887,20,888,11,889,0,888,118,889,1322576,889,33,890,33,891,37,790,0,892,0,892,37,892,550000,893,0,893,691200,894,691200,894,691200,895,691200,895,1804800,895,1804800,896,1804800,896,1804800,
