App,Package,Start Time,Duration,Filename
"CellMate",edu.berkeley.cs.sdb.cellmate,"Dec 8, 2017 @ 04:19:12 PM","1 min 23 sec",""

Time  [ms],"Mobile Data State",Time  [ms],"CPU1 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"Battery Status",Time  [ms],"Bluetooth State",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",
0,0,0,18,2,3,2,8,4,5,6,6,4,10,7,934221,6,0,9,4,9,0,9,0,11,0,11,2,12,266666,13,43,14,1305600,14,1305600,15,1305600,15,1305600,15,0,16,883200,16,0,16,883200,
66,0,100,36,66,3,101,20,102,12,102,30,102,10,103,1349064,103,37,104,30,105,80,66,0,106,0,106,22,106,550000,106,43,106,691200,107,691200,107,691200,107,691200,107,1804800,107,1804800,107,1804800,107,1804800,
100,0,200,0,101,3,202,0,203,0,204,0,203,10,205,3999993,205,14,206,55,207,70,104,0,208,0,208,33,208,550000,209,33,209,691200,209,691200,210,691200,210,691200,210,1804800,210,1804800,210,1804800,211,1804800,
200,0,302,10,202,3,303,9,306,0,307,0,306,10,308,3665293,308,14,309,63,309,44,206,0,311,0,310,36,311,550000,311,33,311,691200,311,691200,312,691200,312,691200,312,1804800,312,1804800,312,1804800,312,1804800,
302,0,401,0,303,3,402,0,402,0,403,0,403,10,404,3562887,404,22,405,0,405,0,309,0,406,0,406,10,406,550000,406,33,407,691200,407,691200,407,691200,407,691200,407,1804800,407,1804800,407,1804800,407,1804800,
401,0,501,0,402,3,503,0,504,0,505,0,504,10,506,2566931,506,47,507,0,508,18,405,0,509,0,509,10,509,550000,510,33,510,691200,510,691200,510,691200,510,691200,510,1804800,510,1804800,511,1804800,511,1804800,
502,0,601,33,503,3,602,10,603,18,604,0,604,10,606,3066557,605,70,606,58,607,55,507,0,608,0,608,50,608,550000,609,0,609,1401600,609,691200,610,1382400,610,691200,610,1804800,610,1804800,610,1804800,611,1804800,
602,0,702,20,602,3,703,0,703,0,704,10,703,10,705,2125427,705,50,706,45,706,14,606,0,707,0,707,54,707,550000,707,0,707,691200,707,691200,708,691200,708,691200,708,1804800,708,1804800,708,1804800,708,1804800,
702,0,803,0,703,3,803,0,804,0,805,0,804,10,806,1468455,806,44,807,25,807,40,706,0,808,0,808,44,808,550000,808,0,809,691200,809,691200,809,691200,809,691200,809,1804800,809,1804800,809,1804800,810,1804800,
803,0,903,12,803,3,904,11,904,10,905,0,905,10,906,1460427,906,40,907,25,908,54,807,0,909,0,908,50,909,550000,909,0,909,691200,909,691200,909,691200,909,691200,910,1804800,910,1804800,910,1804800,910,1804800,
