App,Package,Start Time,Duration,Filename
"CellMate",edu.berkeley.cs.sdb.cellmate,"Dec 8, 2017 @ 07:08:00 PM","1 min 51 sec",""

Time  [ms],"Mobile Data State",Time  [ms],"CPU1 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"Battery Status",Time  [ms],"Bluetooth State",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",
1,0,0,18,4,3,3,14,5,9,6,9,5,10,7,704507,7,18,8,17,10,18,9,0,11,0,11,14,12,550000,12,52,13,691200,13,691200,13,691200,13,691200,13,1804800,13,1804800,14,1804800,14,1804800,
21,0,52,33,21,3,54,0,55,20,56,28,55,10,57,4555688,57,80,58,80,59,80,21,0,60,0,60,100,60,550000,60,52,60,1401600,61,1401600,61,1401600,61,1401600,61,1804800,61,1804800,61,1804800,61,1804800,
53,0,152,10,54,3,153,0,154,9,156,10,155,10,157,6238367,157,50,158,60,159,33,58,0,160,0,159,40,160,550000,160,52,160,691200,160,691200,161,691200,161,691200,161,1804800,161,1804800,161,1804800,161,1804800,
152,0,253,0,153,3,255,9,256,0,263,8,262,10,265,4797052,264,36,266,40,268,36,158,0,269,0,269,55,270,550000,270,52,271,691200,271,1305600,272,691200,272,691200,272,1804800,272,1804800,272,1804800,273,1804800,
253,0,352,20,255,3,353,0,353,0,354,11,353,10,355,4677396,355,22,356,12,357,22,267,0,357,0,357,12,357,550000,358,52,358,691200,358,691200,358,691200,358,691200,358,1804800,358,1804800,358,1804800,359,1804800,
352,0,452,0,353,3,453,0,454,0,456,0,454,10,457,3794893,457,18,458,0,459,0,356,0,460,0,460,10,460,550000,461,52,461,691200,461,691200,461,691200,462,691200,462,1804800,462,1804800,462,1804800,462,1804800,
452,0,553,20,453,3,553,0,554,18,555,10,555,10,557,3798306,556,44,557,50,559,55,458,0,560,0,559,60,560,550000,560,0,560,691200,560,691200,560,691200,560,691200,560,1804800,561,1804800,561,1804800,561,1804800,
553,0,653,10,554,3,654,10,655,16,656,0,655,10,657,2102709,657,53,658,45,659,41,558,0,660,0,660,41,660,550000,661,0,661,1305600,661,1305600,662,1305600,662,1305600,662,1804800,662,1804800,662,1804800,663,1804800,
653,0,756,66,654,3,759,60,760,54,761,50,760,10,762,3256307,762,90,764,81,765,77,658,0,767,0,767,66,768,550000,770,36,771,1305600,772,1401600,772,1305600,773,1305600,773,1804800,773,1804800,773,1804800,773,1804800,
756,0,855,33,759,3,857,22,857,36,858,30,858,10,859,5415840,859,50,860,62,861,55,764,0,861,0,861,55,861,550000,862,36,862,691200,862,691200,862,691200,862,691200,862,1804800,862,1804800,862,1804800,863,1804800,
856,0,956,0,857,3,957,0,958,0,959,10,958,10,960,4236818,960,44,961,44,962,50,860,0,963,0,963,37,963,550000,964,36,964,691200,964,691200,964,691200,964,691200,965,1804800,965,1804800,965,1804800,965,1804800,
956,0,1056,0,957,3,1057,0,1057,0,1058,0,1058,10,1059,3848022,1059,45,1060,14,1060,33,961,0,1061,0,1061,33,1061,550000,1061,36,1061,691200,1062,691200,1062,691200,1062,691200,1062,1804800,1062,1804800,1062,1804800,1062,1804800,
