App,Package,Start Time,Duration,Filename
"CellMate",edu.berkeley.cs.sdb.cellmate,"Dec 8, 2017 @ 03:17:03 PM","1 min 40 sec",""

Time  [ms],"Mobile Data State",Time  [ms],"CPU1 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"Battery Status",Time  [ms],"Bluetooth State",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",
1,0,0,19,2,3,2,10,5,8,7,6,5,118,9,1194984,9,3,10,0,11,4,10,0,12,0,12,0,12,266666,13,40,14,1305600,14,1305600,15,1305600,15,1305600,15,883200,15,0,16,883200,16,0,
80,0,101,27,81,3,102,22,103,20,104,27,103,118,105,1595810,105,33,107,25,109,40,81,0,111,0,111,18,112,550000,112,40,112,691200,113,691200,113,691200,113,691200,113,1804800,113,1804800,113,1804800,113,1804800,
101,0,201,36,102,3,203,10,204,16,205,0,204,118,206,4088871,206,55,207,63,208,50,107,0,210,0,209,80,210,550000,210,40,211,691200,211,691200,211,691200,211,691200,211,1804800,212,1804800,212,1804800,212,1804800,
201,0,301,9,203,3,301,0,302,0,303,0,302,118,305,4490478,304,0,306,30,306,45,207,0,308,0,307,20,308,550000,308,40,308,691200,308,691200,308,691200,309,691200,309,1804800,309,1804800,309,1804800,309,1804800,
301,0,401,0,302,3,402,0,402,0,404,0,403,118,405,3753246,404,20,405,0,406,10,306,0,407,0,407,10,407,550000,407,40,407,691200,407,691200,407,691200,408,691200,408,1804800,408,1804800,408,1804800,408,1804800,
401,0,501,0,402,3,502,0,503,0,504,9,503,118,505,2987324,505,10,506,30,507,10,405,0,508,0,508,25,508,550000,509,40,509,691200,509,691200,509,691200,509,691200,510,1804800,510,1804800,510,1804800,510,1804800,
501,0,602,18,502,3,603,10,603,0,604,0,603,118,605,3550820,605,22,606,11,606,27,506,0,607,0,607,22,607,550000,608,0,608,691200,608,691200,608,691200,608,691200,608,1804800,608,1804800,608,1804800,609,1804800,
602,0,702,0,603,3,703,0,704,0,705,0,704,118,706,796765,706,0,706,0,707,30,606,0,708,0,708,10,708,550000,709,0,709,691200,709,691200,709,691200,709,691200,709,1804800,709,1804800,709,1804800,709,1804800,
702,0,812,10,703,3,813,9,814,0,815,9,814,118,817,1036986,816,40,817,55,818,45,706,0,819,0,819,45,819,550000,820,0,820,1190400,820,1305600,820,1190400,821,1401600,821,1804800,821,1804800,821,1804800,821,1804800,
812,0,943,0,813,3,944,7,945,0,946,0,945,118,947,2005507,947,42,947,35,948,25,817,0,949,0,949,18,950,550000,950,0,950,691200,950,691200,951,691200,951,691200,951,1804800,951,1804800,951,1804800,951,1804800,
943,0,1043,11,944,3,1044,11,1045,0,1046,0,1046,118,1047,1237133,1047,25,1048,25,1049,30,948,0,1050,0,1050,28,1051,550000,1051,0,1051,1305600,1051,1305600,1052,1382400,1052,1382400,1052,1804800,1052,1804800,1053,1804800,1053,1804800,
1043,0,1145,20,1044,3,1146,20,1147,11,1148,0,1147,118,1149,1749512,1149,50,1150,60,1151,66,1048,0,1152,0,1151,60,1152,550000,1152,0,1152,691200,1152,691200,1153,691200,1153,691200,1153,1804800,1153,1804800,1153,1804800,1153,1804800,
