App,Package,Start Time,Duration,Filename
"CellMate",edu.berkeley.cs.sdb.cellmate,"Dec 8, 2017 @ 03:41:55 PM","46 sec",""

Time  [ms],"Mobile Data State",Time  [ms],"CPU1 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"Battery Status",Time  [ms],"Bluetooth State",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",
0,0,0,9,2,3,2,5,4,3,6,3,4,118,6,989843,6,0,7,0,9,2,7,1,11,0,11,0,11,266666,12,22,13,1190400,14,1190400,14,1190400,15,1190400,15,0,16,0,17,883200,17,883200,
76,0,101,30,76,3,102,40,103,11,104,40,103,118,105,1209889,105,55,106,37,106,30,77,1,107,0,107,33,108,550000,108,22,108,1401600,109,1401600,109,1401600,109,1401600,109,1804800,109,1804800,109,1804800,109,1804800,
101,0,200,44,102,3,202,22,203,20,205,20,203,118,206,3760706,206,66,207,77,208,66,106,1,209,0,209,81,209,550000,209,22,210,1017600,210,1017600,210,1017600,210,1017600,210,1804800,211,1804800,211,1804800,211,1804800,
200,0,300,9,202,3,301,0,302,0,303,0,302,118,304,4057495,304,40,304,27,305,20,207,1,306,0,306,28,306,550000,306,22,306,691200,306,691200,306,691200,307,691200,307,1804800,307,1804800,307,1804800,307,1804800,
301,0,400,0,302,3,401,0,402,0,403,0,402,118,404,2466633,404,20,405,33,405,33,304,1,406,0,406,10,406,550000,407,22,407,691200,407,691200,407,691200,407,691200,407,1804800,408,1804800,408,1804800,408,1804800,
400,0,501,0,401,3,501,10,502,9,503,9,502,118,503,2531640,503,20,504,20,505,20,405,1,506,0,505,30,506,550000,506,22,506,691200,506,691200,506,691200,506,691200,506,1804800,507,1804800,507,1804800,507,1804800,
501,0,601,0,501,3,602,0,602,0,603,0,603,118,604,2236088,604,0,605,0,605,10,504,1,606,0,606,0,606,550000,606,22,607,691200,607,691200,607,691200,607,691200,607,1804800,607,1804800,607,1804800,607,1804800,
601,0,701,20,602,3,702,0,703,0,705,0,704,118,706,2257491,705,58,706,44,708,50,605,1,709,0,709,58,709,550000,709,0,710,691200,710,691200,710,691200,710,691200,710,1804800,711,1804800,711,1804800,711,1804800,
701,0,802,22,702,3,803,18,804,25,805,18,804,118,806,2271623,806,50,806,63,807,53,706,1,809,0,809,50,809,550000,810,0,810,691200,810,691200,810,691200,810,691200,810,1804800,811,1804800,811,1804800,811,1804800,
802,0,903,33,803,3,904,33,905,33,906,25,905,118,907,2629963,907,66,908,61,909,71,807,1,910,0,910,69,910,550000,911,0,911,691200,911,691200,911,691200,911,691200,911,1804800,911,1804800,912,1804800,912,1804800,
903,0,1003,11,904,3,1004,11,1005,0,1006,0,1005,118,1008,2445190,1008,33,1009,40,1010,25,908,1,1011,0,1010,25,1011,550000,1011,0,1011,1305600,1012,806400,1012,806400,1012,806400,1012,1804800,1012,1804800,1012,1804800,1012,1804800,
