App,Package,Start Time,Duration,Filename
"CellMate",edu.berkeley.cs.sdb.cellmate,"Dec 8, 2017 @ 03:11:24 PM","1 min 9 sec",""

Time  [ms],"Mobile Data State",Time  [ms],"CPU1 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"Battery Status",Time  [ms],"Bluetooth State",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",
1,0,0,21,4,3,3,14,9,9,12,6,9,118,15,1231003,15,4,16,0,16,0,16,0,18,0,17,4,18,266666,19,34,19,1305600,20,1305600,20,1305600,20,1305600,21,883200,21,0,21,0,22,883200,
76,0,101,30,76,3,103,54,104,30,106,27,105,118,107,1747998,107,40,108,75,108,80,76,0,109,0,109,45,110,550000,110,34,110,691200,110,691200,110,691200,111,691200,111,1804800,111,1804800,111,1804800,111,1804800,
101,0,201,11,103,3,202,0,204,10,205,0,204,118,207,4598861,206,42,208,70,209,44,108,0,210,0,210,60,210,550000,211,34,211,691200,211,691200,211,691200,211,691200,212,1804800,212,1804800,212,1804800,212,1804800,
201,0,301,0,203,3,302,0,303,0,304,0,303,118,305,4206594,305,30,306,25,307,20,208,0,308,0,308,10,309,550000,309,34,309,691200,309,691200,309,691200,309,691200,310,1804800,310,1804800,310,1804800,310,1804800,
301,0,401,0,302,3,401,0,402,0,403,0,402,118,404,3016981,404,20,404,33,405,22,306,0,406,0,406,12,406,550000,406,34,406,691200,406,691200,406,691200,407,691200,407,1804800,407,1804800,407,1804800,407,1804800,
401,0,501,0,402,3,502,0,503,0,504,0,503,118,506,3035425,506,10,507,9,508,11,404,0,509,0,509,36,509,550000,509,34,510,691200,510,691200,510,691200,510,691200,511,1804800,511,1804800,511,1804800,512,1804800,
501,0,601,0,502,3,602,0,603,10,604,0,603,118,605,2972351,605,12,605,11,606,11,507,0,607,0,607,22,607,550000,607,0,607,691200,608,691200,608,691200,608,691200,608,1804800,608,1804800,608,1804800,608,1804800,
601,0,702,0,602,3,703,0,703,0,704,0,704,118,705,796765,705,16,706,0,707,0,605,0,707,0,707,9,708,550000,708,0,708,691200,708,691200,708,691200,708,691200,708,1804800,708,1804800,709,1804800,709,1804800,
702,0,803,11,703,3,805,18,806,0,807,0,806,118,807,937538,807,60,808,58,809,45,706,0,810,0,810,50,810,550000,811,0,811,691200,811,691200,811,691200,812,691200,813,1804800,813,1804800,814,1804800,814,1804800,
803,0,936,21,805,3,937,20,938,7,939,7,938,118,940,2142064,940,41,941,50,942,50,808,0,944,0,944,52,944,550000,946,0,946,1401600,946,1401600,946,1401600,947,1401600,947,1804800,947,1804800,947,1804800,947,1804800,
936,0,1040,11,937,3,1042,0,1043,0,1045,0,1043,118,1046,2172606,1046,50,1047,50,1048,50,941,0,1048,0,1048,50,1048,550000,1049,45,1049,1190400,1049,1190400,1049,1190400,1049,1190400,1049,1804800,1049,1804800,1049,1804800,1050,1804800,
1040,0,1138,0,1042,3,1140,0,1141,0,1142,0,1141,118,1143,4723376,1143,37,1143,33,1144,44,1047,0,1145,0,1145,50,1145,550000,1146,45,1146,691200,1146,691200,1146,691200,1146,691200,1146,1804800,1146,1804800,1146,1804800,1147,1804800,
1139,0,1237,20,1140,3,1238,0,1240,10,1241,0,1240,118,1242,4737037,1242,55,1243,37,1244,44,1144,0,1246,0,1246,70,1246,550000,1247,45,1247,1401600,1248,1401600,1248,1401600,1248,1401600,1248,1804800,1249,1804800,1249,1804800,1249,1804800,
1237,0,1342,10,1238,3,1344,0,1346,10,1347,9,1346,118,1348,4935173,1348,40,1348,25,1349,41,1243,0,1350,0,1350,33,1350,550000,1350,45,1351,691200,1351,691200,1351,691200,1351,691200,1351,1804800,1351,1804800,1351,1804800,1352,1804800,
1342,0,1440,20,1344,3,1442,18,1442,18,1443,18,1443,118,1444,4335943,1444,30,1445,40,1446,37,1349,0,1447,0,1447,36,1447,550000,1447,45,1447,1305600,1447,1305600,1447,1305600,1448,1305600,1448,1804800,1448,1804800,1448,1804800,1448,1804800,
1441,0,1543,33,1442,3,1545,27,1546,11,1547,11,1546,118,1548,5117409,1548,69,1549,64,1550,63,1445,0,1551,0,1551,61,1551,550000,1551,45,1551,1305600,1552,1305600,1552,1305600,1552,1305600,1552,1804800,1552,1804800,1552,1804800,1553,1804800,
1543,0,1641,22,1545,3,1643,11,1646,0,1650,0,1648,118,1651,5416928,1651,55,1652,77,1659,55,1549,0,1661,0,1660,66,1661,550000,1661,45,1661,1401600,1662,1401600,1662,1401600,1662,1401600,1662,1804800,1662,1804800,1663,1804800,1663,1804800,
1641,0,1742,12,1643,3,1743,11,1744,20,1745,0,1744,118,1746,5489924,1746,44,1747,50,1748,33,1652,0,1749,0,1749,42,1749,550000,1749,45,1750,1305600,1750,806400,1750,806400,1750,806400,1750,1804800,1751,1804800,1751,1804800,1751,1804800,
1742,0,1842,0,1743,3,1843,0,1844,0,1845,0,1844,118,1846,4455944,1846,33,1846,22,1847,40,1747,0,1848,0,1848,40,1849,550000,1849,45,1849,691200,1849,691200,1849,691200,1849,691200,1850,1804800,1850,1804800,1850,1804800,1850,1804800,
1842,0,1942,0,1843,3,1944,10,1945,10,1946,0,1945,118,1947,4320576,1947,37,1948,25,1949,46,1847,0,1950,0,1950,33,1950,550000,1950,45,1950,691200,1951,691200,1951,691200,1951,691200,1951,1804800,1951,1804800,1951,1804800,1952,1804800,
