App,Package,Start Time,Duration,Filename
"CellMate",edu.berkeley.cs.sdb.cellmate,"Dec 8, 2017 @ 04:37:43 PM","1 min 21 sec",""

Time  [ms],"Mobile Data State",Time  [ms],"CPU1 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"Battery Status",Time  [ms],"Bluetooth State",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",
0,0,0,23,2,3,2,14,4,12,6,6,4,10,8,1033677,8,2,10,5,11,0,10,0,12,0,11,0,12,266666,13,39,13,1305600,14,1305600,14,1305600,14,1305600,14,883200,15,883200,15,0,15,0,
73,0,100,44,73,3,101,45,102,20,103,22,102,10,105,1507974,105,20,106,30,106,0,74,0,108,0,107,0,108,550000,109,39,110,691200,111,691200,111,691200,112,691200,112,1113600,112,1113600,113,0,113,0,
100,0,200,11,101,3,202,0,203,0,204,0,203,10,205,2762645,205,50,206,28,207,0,106,0,207,0,207,0,208,550000,209,39,209,691200,209,691200,210,691200,210,691200,210,1113600,211,1113600,211,0,211,0,
201,0,301,0,202,3,302,0,303,0,304,0,303,10,305,2649416,305,30,306,11,307,0,207,0,307,0,307,0,308,550000,309,39,309,691200,309,691200,310,691200,310,691200,310,1113600,310,1113600,311,0,311,0,
301,0,402,0,302,3,403,0,405,20,407,10,405,10,409,2788047,408,66,410,60,411,0,306,0,412,0,412,0,412,550000,414,39,414,1401600,415,1401600,416,1401600,416,1401600,416,1113600,416,1113600,417,0,417,0,
402,0,502,50,403,3,505,25,507,20,510,22,508,10,514,3682984,514,77,517,66,517,0,411,0,518,0,518,0,519,550000,519,39,519,1401600,519,1401600,520,1401600,520,1401600,520,1190400,520,1190400,520,0,520,0,
503,0,603,18,506,3,604,9,605,10,606,10,606,10,608,3228040,607,50,609,50,609,0,517,0,609,0,609,0,610,550000,610,39,611,691200,611,691200,611,691200,612,691200,612,1113600,612,1113600,612,0,612,0,
603,0,707,41,604,3,709,27,712,25,715,30,713,10,718,3031441,718,41,722,50,723,0,609,0,723,0,723,0,724,550000,724,39,725,1017600,726,1305600,726,1305600,726,1305600,727,883200,727,883200,728,0,728,0,
707,0,808,66,710,3,810,60,812,55,815,44,812,10,823,3643800,823,0,826,0,826,0,722,0,827,0,827,0,827,266666,828,39,829,1305600,829,1305600,830,1305600,831,1401600,831,883200,832,883200,833,0,833,0,
808,0,909,70,810,3,912,90,914,57,917,62,915,10,918,2271409,918,0,920,0,921,0,826,0,921,0,921,0,922,266666,926,39,927,1401600,927,1401600,928,1401600,928,1401600,928,883200,928,883200,928,0,929,0,
909,0,1009,90,912,3,1011,66,1013,70,1018,60,1013,10,1022,2544215,1021,30,1023,9,1024,0,920,0,1025,0,1024,0,1025,266666,1026,0,1026,1305600,1026,1305600,1027,1305600,1027,1305600,1027,1113600,1028,1113600,1028,0,1028,0,
1009,0,1109,81,1011,3,1112,70,1115,62,1119,66,1115,10,1121,1630254,1121,18,1122,0,1123,0,1023,0,1123,0,1123,0,1124,266666,1124,0,1125,1401600,1125,1401600,1125,1401600,1125,1401600,1125,883200,1126,883200,1126,0,1126,0,
1110,0,1210,80,1112,3,1211,63,1213,66,1216,70,1214,10,1219,1735116,1219,11,1221,0,1221,0,1123,0,1222,0,1222,0,1223,266666,1224,0,1225,1401600,1226,1401600,1226,1401600,1227,1401600,1227,883200,1227,883200,1228,0,1228,0,
1210,0,1311,60,1212,3,1312,55,1315,60,1317,50,1315,10,1320,1377689,1319,0,1323,0,1324,0,1221,0,1325,0,1324,0,1325,266666,1325,0,1326,1401600,1326,1401600,1326,1401600,1327,1401600,1327,883200,1327,883200,1327,0,1327,0,
1311,0,1411,63,1312,3,1413,64,1415,61,1417,50,1416,10,1421,1456096,1421,0,1422,0,1423,0,1323,0,1424,0,1424,0,1424,266666,1425,28,1425,1401600,1426,1401600,1426,1401600,1426,1401600,1427,883200,1427,883200,1427,0,1428,0,
